rank,publication_id,doi,url,pmid,pmcid,title,source_title,anthology_title,publisher,mesh_terms,pubyear,volume,issue,pagination,open_access,publication_type,authors,authors_affiliations,research_organizations_-_standardized,grid_ids,city_of_research_organization,state_of_research_organization,country_of_research_organization,funder,funder_group,funder_country,uids_of_supporting_grants,supporting_grants,times_cited,recent_citations,rcr,fcr,source_linkout,dimensions_url,for_(anzsrc)_categories,for_1,for_2,for_3,for_4,for_5,rcdc_categories,rcdc_1,rcdc_2,rcdc_3,rcdc_4,rcdc_5,hrcs_hc_categories,hrcs_hc_1,hrcs_hc_2,hrcs_hc_3,hrcs_hc_4,hrcs_hc_5,hrcs_rac_categories,hrcs_rac_1,hrcs_rac_2,hrcs_rac_3,hrcs_rac_4,hrcs_rac_5,health_research_areas,broad_research_areas,icrp_cancer_types,icrp_cancer_types_1,icrp_cancer_types_2,icrp_cancer_types_3,icrp_cancer_types_4,icrp_cancer_types_5,icrp_cso_categories,icrp_cso_1,icrp_cso_2,icrp_cso_3,icrp_cso_4,icrp_cso_5,domain,search_note,norm_rank,dataset
112,pub.1050852951,10.1016/j.jmwh.2007.03.024,www.doi.org/10.1016/j.jmwh.2007.03.024,17983982,,Lactation Resources for Clinicians,Journal of Midwifery & Women's Health,,Wiley,"Breast Feeding; Clinical Medicine; Education, Medical, Continuing; Health Knowledge, Attitudes, Practice; Health Promotion; Humans; Internet; Maternal Health Services; Physician's Role",2007,52,6,e57-e65,Closed,article,"Turner‐Maffei, Cynthia","Turner‐Maffei, Cynthia ()",,,,,,,,,,,4,1,0.24,0.33,,https://app.dimensions.ai/details/publication/pub.1050852951,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Infant Mortality/ (LBW); Pediatric,Infant Mortality/ (LBW),Pediatric,,,,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,Health services & systems,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.178743961,dataset-346
112,pub.1032387656,10.1017/s1368980015003067,www.doi.org/10.1017/s1368980015003067,26553172,,Food insecurity in veteran households: findings from nationally representative data,Public Health Nutrition,,Cambridge University Press (CUP),"Dietary Supplements; Family Characteristics; Food Supply; Humans; Models, Theoretical; Nutrition Surveys; Poverty; Veterans",2016,19,10,1731-1740,All OA; Bronze,article,"Miller, Daniel P; Larson, Mary Jo; Byrne, Thomas; DeVoe, Ellen","Miller, Daniel P (Boston University); Larson, Mary Jo (); Byrne, Thomas (Boston University); DeVoe, Ellen (Boston University)",Boston University,grid.189504.1,Boston,Massachusetts,United States,,,,,,2,2,0.43,0.64,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/FD829FE0E1259F5FAD0CCCBE81AC201F/S1368980015003067a.pdf/div-class-title-food-insecurity-in-veteran-households-findings-from-nationally-representative-data-div.pdf,https://app.dimensions.ai/details/publication/pub.1032387656,1111 Nutrition and Dietetics,1111 Nutrition and Dietetics,,,,,Prevention,Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.178743961,dataset-346
110,pub.1022556874,10.1017/s1368980012005599,www.doi.org/10.1017/s1368980012005599,23340255,,Time to eat? The relationship between food security and food-related time use,Public Health Nutrition,,Cambridge University Press (CUP),Adult; Aged; Empirical Research; Employment; Family Characteristics; Feeding Behavior; Female; Food Assistance; Food Supply; Humans; Male; Middle Aged; Poverty; Surveys and Questionnaires; Time Factors,2014,17,1,66-72,All OA; Bronze,article,"Beatty, Timothy KM; Nanney, M Susie; Tuttle, Charlotte","Beatty, Timothy KM (University of Minnesota System); Nanney, M Susie (University of Minnesota System); Tuttle, Charlotte (University of Minnesota System)",University of Minnesota System,grid.437349.e,Minneapolis,Minnesota,United States,,,,,,9,4,0.34,1.54,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A2431187643246845DAEE4A12B79B4D7/S1368980012005599a.pdf/div-class-title-time-to-eat-the-relationship-between-food-security-and-food-related-time-use-div.pdf,https://app.dimensions.ai/details/publication/pub.1022556874,1111 Nutrition and Dietetics,1111 Nutrition and Dietetics,,,,,Nutrition,Nutrition,,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.175523349,dataset-346
109,pub.1023962066,10.1016/j.cppeds.2016.02.004,www.doi.org/10.1016/j.cppeds.2016.02.004,27101890,PMC6039226,Screening for Social Determinants of Health Among Children and Families Living in Poverty: A Guide for Clinicians,Current Problems in Pediatric and Adolescent Health Care,,Elsevier,Child; Child Abuse; Child Care; Child of Impaired Parents; Early Intervention (Education); Environment; Family Health; Firearms; Health Literacy; Humans; Mass Screening; Poverty; Social Determinants of Health; Social Support; Substance-Related Disorders,2016,46,5,135-153,Closed,article,"Chung, Esther K.; Siegel, Benjamin S.; Garg, Arvin; Conroy, Kathleen; Gross, Rachel S.; Long, Dayna A.; Lewis, Gena; Osman, Cynthia J.; Messito, Mary Jo; Wade, Roy; Yin, H. Shonna; Cox, Joanne; Fierman, Arthur H.","Chung, Esther K. (Thomas Jefferson University; Alfred I. duPont Hospital for Children); Siegel, Benjamin S. (Boston University); Garg, Arvin (Boston University); Conroy, Kathleen (Boston Children's Hospital); Gross, Rachel S. (Albert Einstein College of Medicine); Long, Dayna A. (UCSF Benioff Children's Hospital); Lewis, Gena (UCSF Benioff Children's Hospital); Osman, Cynthia J. (New York University); Messito, Mary Jo (New York University); Wade, Roy (Children's Hospital of Philadelphia); Yin, H. Shonna (New York University); Cox, Joanne (Boston Children's Hospital); Fierman, Arthur H. (New York University)",Boston Children's Hospital; Alfred I. duPont Hospital for Children; Albert Einstein College of Medicine; Thomas Jefferson University; UCSF Benioff Children's Hospital; Children's Hospital of Philadelphia; Boston University; New York University,grid.2515.3; grid.239281.3; grid.251993.5; grid.265008.9; grid.414016.6; grid.239552.a; grid.189504.1; grid.137628.9,Boston; Wilmington; The Bronx; Philadelphia; Oakland; Philadelphia; Boston; New York,Massachusetts; Delaware; New York; Pennsylvania; California; Pennsylvania; Massachusetts; New York,United States; United States; United States; United States; United States; United States; United States; United States,National Institute of Child Health and Human Development,NIH,United States,grant.4454720,K12HD085848,51,46,6.46,17.16,,https://app.dimensions.ai/details/publication/pub.1023962066,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Behavioral and Social Science; Prevention; Basic Behavioral and Social Science; Mental Health; Child Abuse and Neglect Research; Violence Research; Health Services; Rural Health; Clinical Research,Pediatric,Behavioral and Social Science,Prevention,Basic Behavioral and Social Science,Mental Health,Mental Health; Generic Health Relevance,Mental Health,Generic Health Relevance,,,,"2.3 Psychological, social and economic factors","2.3 Psychological, social and economic factors",,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.173913043,dataset-346
109,pub.1022227395,10.1542/peds.2016-0339,www.doi.org/10.1542/peds.2016-0339,26962238,,Poverty and Child Health in the United States,Pediatrics,,American Academy of Pediatrics (AAP),"Child; Child Health; Child Health Services; Financing, Government; Humans; Organizational Policy; Patient-Centered Care; Poverty; Public Policy; Quality of Life; Societies, Medical; United States",2016,137,4,e20160339,All OA; Bronze,article,"PEDIATRICS, COUNCIL ON COMMUNITY","PEDIATRICS, COUNCIL ON COMMUNITY ()",,,,,,,,,,,131,112,14.32,63.68,http://pediatrics.aappublications.org/content/137/4/e20160339.full.pdf,https://app.dimensions.ai/details/publication/pub.1022227395,1117 Public Health and Health Services; 1605 Policy and Administration; 1402 Applied Economics,1117 Public Health and Health Services,1605 Policy and Administration,1402 Applied Economics,,,Pediatric; Behavioral and Social Science; Pediatric Research Initiative; Prevention; Basic Behavioral and Social Science,Pediatric,Behavioral and Social Science,Pediatric Research Initiative,Prevention,Basic Behavioral and Social Science,Generic Health Relevance,Generic Health Relevance,,,,,1.2 Psychological and socioeconomic processes,1.2 Psychological and socioeconomic processes,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.173913043,dataset-346
109,pub.1029640450,10.1080/13557850600565707,www.doi.org/10.1080/13557850600565707,16774878,,Using Focus Group Results to Inform Preschool Childhood Obesity Prevention Programming,Ethnicity and Health,,Taylor & Francis,"Child Nutrition Sciences; Child, Preschool; Continental Population Groups; Cultural Characteristics; Diet; Female; Focus Groups; Health Education; Health Knowledge, Attitudes, Practice; Humans; Maternal Health Services; Mothers; Motor Activity; Obesity; Parenting; Poverty; Virginia",2006,11,3,265-285,Closed,article,"McGarvey, Elizabeth L; Collie, Kate R; Fraser, Gertrude; Shufflebarger, Cindy; Lloyd, Bronwyn; Norman Oliver, M","McGarvey, Elizabeth L (University of Virginia Health System); Collie, Kate R (); Fraser, Gertrude (); Shufflebarger, Cindy (); Lloyd, Bronwyn (); Norman Oliver, M ()",University of Virginia Health System,grid.412587.d,Charlottesville,Virginia,United States,United States Department of Agriculture,USDA,United States,,,33,6,1.3,2.43,,https://app.dimensions.ai/details/publication/pub.1029640450,1117 Public Health and Health Services; 1111 Nutrition and Dietetics,1117 Public Health and Health Services,1111 Nutrition and Dietetics,,,,Nutrition; Pediatric; Clinical Research; Obesity; Behavioral and Social Science; Prevention,Nutrition,Pediatric,Clinical Research,Obesity,Behavioral and Social Science,Oral and Gastrointestinal; Metabolic and Endocrine; Cancer; Stroke,Oral and Gastrointestinal,Metabolic and Endocrine,Cancer,Stroke,,"3.1 Primary prevention interventions to modify behaviours or promote well-being; 2.3 Psychological, social and economic factors",3.1 Primary prevention interventions to modify behaviours or promote well-being,"2.3 Psychological, social and economic factors",,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.173913043,dataset-346
109,pub.1015325931,10.1017/s1368980016002858,www.doi.org/10.1017/s1368980016002858,27890021,PMC5607137,The relationship between food insecurity and overweight/obesity differs by birthplace and length of US residence,Public Health Nutrition,,Cambridge University Press (CUP),Adult; California; Cross-Sectional Studies; Emigrants and Immigrants; Female; Food Supply; Health Surveys; Humans; Middle Aged; Obesity; Overweight; Time Factors; Women's Health,2017,20,4,7-Jan,All OA; Bronze,article,"Ryan-Ibarra, Suzanne; Sanchez-Vaznaugh, Emma V; Leung, Cindy; Induni, Marta","Ryan-Ibarra, Suzanne (Public Health Institute); Sanchez-Vaznaugh, Emma V (San Francisco State University); Leung, Cindy (University of California System); Induni, Marta (Public Health Institute)",San Francisco State University; University of California System; Public Health Institute,grid.263091.f; grid.30389.31; grid.20505.32,San Francisco; Oakland; Oakland,California; California; California,United States; United States; United States,National Heart Lung and Blood Institute; National Institute of Child Health and Human Development,NIH,United States; United States,grant.2404756; grant.4244145,K99HD084758; K01HL115471,3,3,0.59,1.66,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4BEE4D6C09F9FFCABEE404F9E313BE7C/S1368980016002858a.pdf/div-class-title-the-relationship-between-food-insecurity-and-overweight-obesity-differs-by-birthplace-and-length-of-us-residence-div.pdf,https://app.dimensions.ai/details/publication/pub.1015325931,1117 Public Health and Health Services; 1111 Nutrition and Dietetics,1117 Public Health and Health Services,1111 Nutrition and Dietetics,,,,Obesity; Prevention; Nutrition; Clinical Research,Obesity,Prevention,Nutrition,Clinical Research,,Cancer; Metabolic and Endocrine; Cardiovascular,Cancer,Metabolic and Endocrine,Cardiovascular,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.173913043,dataset-346
109,pub.1051036268,10.1016/s1499-4046(06)60072-9,www.doi.org/10.1016/s1499-4046(06)60072-9,12047814,,Food Security Stakeholders in Hawai`i: Perceptions of Food Security Monitoring,Journal of Nutrition Education and Behavior,,Elsevier,Adult; Female; Focus Groups; Food Supply; Hawaii; Humans; Hunger; Male; Perception; Security Measures,2002,34,2,72-84,Closed,article,"Derrickson, Joda P.; Brown, Amy Christine","Derrickson, Joda P. (); Brown, Amy Christine (University of Hawaii at Manoa)",University of Hawaii at Manoa,grid.410445.0,Honolulu,Hawaii,United States,,,,,,7,1,0.1,0.57,,https://app.dimensions.ai/details/publication/pub.1051036268,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Trials and Supportive Activities; Clinical Research; Behavioral and Social Science,Clinical Trials and Supportive Activities,Clinical Research,Behavioral and Social Science,,,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.173913043,dataset-346
108,pub.1034707278,10.1097/01.npr.0000421430.62425.e5,www.doi.org/10.1097/01.npr.0000421430.62425.e5,23076236,,Immunizations,The Nurse Practitioner,,Wolters Kluwer,"Adolescent; Child; Female; Forecasting; Health Services Accessibility; Healthy People Programs; Humans; Immunization; Male; Models, Organizational; Nurse Practitioners; Nursing Evaluation Research; Patient Education as Topic; Pediatric Nursing; Preventive Health Services; Socioeconomic Factors",2012,37,11,46-52,Closed,article,"Baker, Dian; Niederhauser, Victoria","Baker, Dian (University of Hawaii System); Niederhauser, Victoria (University of Hawaii System)",University of Hawaii System,grid.162346.4,Honolulu,Hawaii,United States,,,,,,1,0,0.07,0,,https://app.dimensions.ai/details/publication/pub.1034707278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.172302738,dataset-346
108,pub.1053272001,10.1111/1552-6909.12752,www.doi.org/10.1111/1552-6909.12752,26402435,,Implications for Policy to Support Healthy Weight for Women,Journal of Obstetric Gynecologic & Neonatal Nursing,,Elsevier,Adult; Aged; Body Weight; Community Health Services; Female; Food Supply; Health Policy; Health Promotion; Humans; Life Style; Middle Aged; Motor Activity; Needs Assessment; Obesity; Patient Protection and Affordable Care Act; Policy Making; Public Health; Risk Assessment; Women's Health; Young Adult,2015,44,6,793-801,Closed,article,"Kendig, Sue","Kendig, Sue (University of Missouri–St. Louis)",University of Missouri–St. Louis,grid.266757.7,St Louis,Missouri,United States,,,,,,1,1,0.13,0.24,,https://app.dimensions.ai/details/publication/pub.1053272001,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Prevention; Obesity,Nutrition,Prevention,Obesity,,,Cancer; Oral and Gastrointestinal; Cardiovascular; Stroke,Cancer,Oral and Gastrointestinal,Cardiovascular,Stroke,,3.1 Primary prevention interventions to modify behaviours or promote well-being,3.1 Primary prevention interventions to modify behaviours or promote well-being,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.172302738,dataset-346
108,pub.1051685422,10.1186/s40064-016-3154-9,www.doi.org/10.1186/s40064-016-3154-9,27652013,PMC5005247,"Breastfeeding practices, timing of introduction of complementary beverages and foods and weight status in infants and toddlers participants of a WIC clinic in Puerto Rico",SpringerPlus,,Springer Nature,,2016,5,1,1437,All OA; Pure Gold,article,"Sinigaglia, Olga E.; Ríos, Elaine M.; Campos, Maribel; Díaz, Beatriz; Palacios, Cristina","Sinigaglia, Olga E. (University of Puerto Rico System); Ríos, Elaine M. (University of Puerto Rico System); Campos, Maribel (University of Puerto Rico System); Díaz, Beatriz (University of Puerto Rico System); Palacios, Cristina (University of Puerto Rico System)",University of Puerto Rico System,grid.267033.3,San Juan,Puerto Rico,United States,National Institute On Minority Health and Health Disparities,NIH,United States,grant.2699418; grant.2392353,G12MD007600; U54MD007587,4,4,0.28,1.35,https://springerplus.springeropen.com/track/pdf/10.1186/s40064-016-3154-9,https://app.dimensions.ai/details/publication/pub.1051685422,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention; Pediatric; Nutrition; Obesity,Prevention,Pediatric,Nutrition,Obesity,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.172302738,dataset-346
108,pub.1009192298,10.1111/josh.12164,www.doi.org/10.1111/josh.12164,24889077,PMC4888955,The School Breakfast Program: A View of the Present and Preparing for the Future—A Commentary,Journal of School Health,,Wiley,"Breakfast; Child; Child Nutritional Physiological Phenomena; Child, Preschool; Food Services; Humans; Schools; United States",2014,84,7,417-420,"All OA; Green, Accepted",article,"Egner, Rebecca; Oza‐Frank, Reena; Cunningham, Solveig Argeseanu","Egner, Rebecca (Duke University); Oza‐Frank, Reena (Nationwide Children's Hospital); Cunningham, Solveig Argeseanu (Emory University)",Duke University; Emory University; Nationwide Children's Hospital,grid.26009.3d; grid.189967.8; grid.240344.5,Durham; Atlanta; Columbus,North Carolina; Georgia; Ohio,United States; United States; United States,National Institute of Child Health and Human Development,NIH,United States,grant.2575344,R03HD061509,4,1,0.37,0,http://europepmc.org/articles/pmc4888955?pdf=render,https://app.dimensions.ai/details/publication/pub.1009192298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.172302738,dataset-346
108,pub.1063940312,10.1177/1059840508319631,www.doi.org/10.1177/1059840508319631,18757355,,An Evaluation of Elementary School Nutrition Practices and Policies in a Southern Illinois County,The Journal of School Nursing,,SAGE Publications,"Administrative Personnel; Child; Child Nutrition Sciences; Child Welfare; Credentialing; Curriculum; Food Dispensers, Automatic; Food Handling; Food Services; Health Knowledge, Attitudes, Practice; Humans; Illinois; Menu Planning; Nutrition Policy; Organizational Policy; Program Evaluation; Rural Health; School Health Services; School Nursing; Schools; Surveys and Questionnaires; United States; United States Department of Agriculture",2008,24,4,222-228,Closed,article,"Sherry, Jennifer S","Sherry, Jennifer S (Southern Illinois University Carbondale)",Southern Illinois University Carbondale,grid.263856.c,Carbondale,Illinois,United States,,,,,,2,1,0.06,0.26,,https://app.dimensions.ai/details/publication/pub.1063940312,1117 Public Health and Health Services; 1302 Curriculum and Pedagogy,1117 Public Health and Health Services,1302 Curriculum and Pedagogy,,,,Clinical Research; Nutrition,Clinical Research,Nutrition,,,,,,,,,,8.1 Organisation and delivery of services,8.1 Organisation and delivery of services,,,,,Population & Society,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.172302738,dataset-346
107,pub.1112467067,10.1016/j.acap.2019.02.009,www.doi.org/10.1016/j.acap.2019.02.009,30831248,,TOTAL BREASTFEEDING DURATION AND HOUSEHOLD FOOD INSECURITY IN HEALTHY URBAN CHILDREN,Academic Pediatrics,,Elsevier,,2019,,Pediatrics 125 2010,,Closed,article,"Wong, Peter D.; Parkin, Patricia C.; Moodie, Rosemary G.; Dai, David W.H.; Maguire, Jonathan L.; Birken, Catherine S.; Borkhoff, Cornelia M.; Collaboration, TARGet Kids!","Wong, Peter D. (University of Toronto; Hospital for Sick Children); Parkin, Patricia C. (University of Toronto; Hospital for Sick Children); Moodie, Rosemary G. (University of Toronto; Hospital for Sick Children); Dai, David W.H. (St. Michael's Hospital); Maguire, Jonathan L. (University of Toronto; Hospital for Sick Children; St. Michael's Hospital); Birken, Catherine S. (University of Toronto; Hospital for Sick Children); Borkhoff, Cornelia M. (University of Toronto; Hospital for Sick Children); Collaboration, TARGet Kids! (University of Toronto; Hospital for Sick Children; St. Michael's Hospital)",St. Michael's Hospital; Hospital for Sick Children; University of Toronto,grid.415502.7; grid.42327.30; grid.17063.33,Toronto; Toronto; Toronto,Ontario; Ontario; Ontario,Canada; Canada; Canada,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1112467067,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention; Behavioral and Social Science; Pediatric; Nutrition,Prevention,Behavioral and Social Science,Pediatric,Nutrition,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.170692432,dataset-346
107,pub.1019686286,10.1201/9781420008890.ch23,www.doi.org/10.1201/9781420008890.ch23,,,Nutrition Monitoring in the United States,,"Handbook of Nutrition and Food, Second Edition",Taylor & Francis,,2007,,,451-469,Closed,chapter,"Pennington, Jean","Pennington, Jean ()",,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1019686286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.170692432,dataset-346
107,pub.1038050680,10.1016/j.pcl.2012.10.001,www.doi.org/10.1016/j.pcl.2012.10.001,23178062,,Overcoming Clinical Barriers to Exclusive Breastfeeding,Pediatric Clinics of North America,,Elsevier,"Attitude to Health; Breast Feeding; Employment; Female; Hospitals; Humans; Infant; Infant Care; Infant Formula; Infant, Newborn; Lactation; Maternal Health Services; Organizational Policy; Physician's Role; Pregnancy; Prenatal Care; Social Environment; Socioeconomic Factors; United States",2013,60,1,115-145,Closed,article,"Neifert, Marianne; Bunik, Maya","Neifert, Marianne (); Bunik, Maya ()",,,,,,National Institute of Diabetes and Digestive and Kidney Diseases,NIH,United States,grant.2439010,P30DK048520,35,18,2.74,5.65,,https://app.dimensions.ai/details/publication/pub.1038050680,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Prevention; Nutrition,Pediatric,Prevention,Nutrition,,,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.170692432,dataset-346
110,pub.1002159194,10.3945/jn.109.105593,www.doi.org/10.3945/jn.109.105593,19535426,,"Transient, but Not Persistent, Adult Food Insecurity Influences Toddler Development",Journal of Nutrition,,Oxford University Press (OUP),"Adult; Child Development; Child, Preschool; Cohort Studies; Female; Food Supply; Growth; Health Status; Humans; Infant; Least-Squares Analysis; Logistic Models; Longitudinal Studies; Male; Risk Factors; Socioeconomic Factors; Time Factors; Young Adult",2009,139,8,1517-1524,All OA; Bronze,article,"Hernandez, Daphne C.; Jacknowitz, Alison","Hernandez, Daphne C. (Pennsylvania State University); Jacknowitz, Alison (Pennsylvania State University)",Pennsylvania State University,grid.29857.31,State College,Pennsylvania,United States,,,,,,30,10,1.06,2.97,https://academic.oup.com/jn/article-pdf/139/8/1517/23903670/1517.pdf,https://app.dimensions.ai/details/publication/pub.1002159194,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; Pediatric,Behavioral and Social Science,Pediatric,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND (WIC OR ""women, infants and Children"") AND ""Program Data""'",0.1703125,dataset-346
110,pub.1002159194,10.3945/jn.109.105593,www.doi.org/10.3945/jn.109.105593,19535426,,"Transient, but Not Persistent, Adult Food Insecurity Influences Toddler Development",Journal of Nutrition,,Oxford University Press (OUP),"Adult; Child Development; Child, Preschool; Cohort Studies; Female; Food Supply; Growth; Health Status; Humans; Infant; Least-Squares Analysis; Logistic Models; Longitudinal Studies; Male; Risk Factors; Socioeconomic Factors; Time Factors; Young Adult",2009,139,8,1517-1524,All OA; Bronze,article,"Hernandez, Daphne C.; Jacknowitz, Alison","Hernandez, Daphne C. (Pennsylvania State University); Jacknowitz, Alison (Pennsylvania State University)",Pennsylvania State University,grid.29857.31,State College,Pennsylvania,United States,,,,,,30,10,1.06,2.97,https://academic.oup.com/jn/article-pdf/139/8/1517/23903670/1517.pdf,https://app.dimensions.ai/details/publication/pub.1002159194,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; Pediatric,Behavioral and Social Science,Pediatric,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND (WIC OR ""women, infants and Children"") AND ""Program Data""'",0.170046802,dataset-346
106,pub.1044313404,10.1215/03616878-1538638,www.doi.org/10.1215/03616878-1538638,22147944,,Prevention Spending,Journal of Health Politics Policy and Law,,Duke University Press,Costs and Cost Analysis; Humans; Preventive Health Services; United States,2012,37,2,329-342,Closed,article,"Grogan, Colleen M","Grogan, Colleen M (University of Chicago)",University of Chicago,grid.170205.1,Chicago,Illinois,United States,,,,,,3,1,0.09,0,,https://app.dimensions.ai/details/publication/pub.1044313404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.169082126,dataset-346
106,pub.1107899163,10.1016/j.cden.2018.08.003,www.doi.org/10.1016/j.cden.2018.08.003,30447790,PMC6242348,Added Sugar and Dental Caries in Children A Scientific Update and Future Steps,Dental Clinics of North America,,Elsevier,,2019,63,J Dent Res 92 7 2013,17-33,Closed,article,"Chi, Donald L.; Scott, JoAnna M.","Chi, Donald L. (); Scott, JoAnna M. (University of Missouri–Kansas City)",University of Missouri–Kansas City,grid.266756.6,Kansas City,Missouri,United States,National Institute of Dental and Craniofacial Research,NIH,United States,grant.7027853,R56DE025813,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1107899163,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention; Pediatric; Dental/Oral and Craniofacial Disease; Clinical Research; Behavioral and Social Science; Nutrition,Prevention,Pediatric,Dental/Oral and Craniofacial Disease,Clinical Research,Behavioral and Social Science,Oral and Gastrointestinal,Oral and Gastrointestinal,,,,,,,,,,,,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.169082126,dataset-346
