ISSN,datasets,doi,journal,title,url
2045-2322,dataset-623,10.1038/s41598-017-01329-8,Scientific reports,The paradox of a long grounding during West Antarctic Ice Sheet retreat in Ross Sea.,https://doi.org/10.1038/s41598-017-01329-8
1741-3850,dataset-623,10.1093/pubmed/fdx041,"Journal of public health (Oxford, England)",Association between salinity and hospital admission for hypertension: an ecological case-control study in the Mekong Delta Region in Vietnam.,https://doi.org/10.1093/pubmed/fdx041
0012-9658,dataset-623,10.1002/ecy.1861,Ecology,Regulation of salt marsh mosquito populations by the 18.6-yr lunar-nodal cycle.,https://doi.org/10.1002/ecy.1861
1424-8220,dataset-623,,"Sensors (Basel, Switzerland)",A Review of Wetland Remote Sensing.,
2041-1723,dataset-623,10.1038/ncomms14730,Nature communications,A tipping point in refreezing accelerates mass loss of Greenland's glaciers and ice caps.,https://doi.org/10.1038/ncomms14730
2045-2322,dataset-623,10.1038/srep44615,Scientific reports,Evidence for coseismic subsidence events in a southern California coastal saltmarsh.,https://doi.org/10.1038/srep44615
1051-0761,dataset-623,10.1002/eap.1534,Ecological applications : a publication of the Ecological Society of America,Top-down control of carbon sequestration: grazing affects microbial structure and function in salt marsh soils.,https://doi.org/10.1002/eap.1534
2041-1723,dataset-623,10.1038/ncomms14792,Nature communications,Vulnerability of Louisiana's coastal wetlands to present-day rates of relative sea-level rise.,https://doi.org/10.1038/ncomms14792
1095-8630,dataset-623,,Journal of environmental management,Life cycle GHG evaluation of organic rice production in northern Thailand.,
1932-6203,dataset-623,10.1371/journal.pone.0173670,PloS one,"Dynamics of marsh-mangrove ecotone since the mid-Holocene: A palynological study of mangrove encroachment and sea level rise in the Shark River Estuary, Florida.",https://doi.org/10.1371/journal.pone.0173670
1932-6203,dataset-623,10.1371/journal.pone.0170949,PloS one,Sea level rise drives increased tidal flooding frequency at tide gauges along the U.S. East and Gulf Coasts: Projections for 2030 and 2045.,https://doi.org/10.1371/journal.pone.0170949
2375-2548,dataset-623,10.1126/sciadv.1601426,Science advances,Accelerated freshening of Antarctic Bottom Water over the last decade in the Southern Indian Ocean.,https://doi.org/10.1126/sciadv.1601426
1879-0135,dataset-623,,International journal for parasitology,Anisakis simplex complex: ecological significance of recombinant genotypes in an allopatric area of the Adriatic Sea inferred by genome-derived simple sequence repeats.,
1476-4687,dataset-623,10.1038/nature20147,Nature,A persistent and dynamic East Greenland Ice Sheet over the past 7.5 million years.,https://doi.org/10.1038/nature20147
1932-6203,dataset-623,10.1371/journal.pone.0163495,PloS one,Modeling Coastal Vulnerability through Space and Time.,https://doi.org/10.1371/journal.pone.0163495
2375-2548,dataset-623,,Science advances,Geodetic measurements reveal similarities between post-Last Glacial Maximum and present-day mass loss from the Greenland ice sheet.,
1537-2197,dataset-623,10.3732/ajb.1600233,American journal of botany,Isolated coastal populations of Tilia americana var. caroliniana persist long-term through vegetative growth.,https://doi.org/10.3732/ajb.1600233
1932-6203,dataset-623,10.1371/journal.pone.0162637,PloS one,Assessment of Hammocks (Petenes) Resilience to Sea Level Rise Due to Climate Change in Mexico.,https://doi.org/10.1371/journal.pone.0162637
2041-1723,dataset-623,10.1038/ncomms12511,Nature communications,Mid-Holocene pulse of thinning in the Weddell Sea sector of the West Antarctic ice sheet.,https://doi.org/10.1038/ncomms12511
2375-2548,dataset-623,10.1126/sciadv.1600825,Science advances,Rising sea levels will reduce extreme temperature variations in tide-dominated reef habitats.,https://doi.org/10.1126/sciadv.1600825
2045-2322,dataset-623,10.1038/srep31245,Scientific reports,Is the detection of accelerated sea level rise imminent?,https://doi.org/10.1038/srep31245
1879-1026,dataset-623,,The Science of the total environment,Sea level rise impacts on rice production: The Ebro Delta as an example.,
1365-2486,dataset-623,10.1111/gcb.13430,Global change biology,"A meta-analysis of soil salinization effects on nitrogen pools, cycles and fluxes in coastal ecosystems.",https://doi.org/10.1111/gcb.13430
2035-3006,dataset-623,10.4084/MJHID.2016.036,Mediterranean journal of hematology and infectious diseases,Surveillance and Control of Antibiotic Resistance in the Mediterranean Region.,https://doi.org/10.4084/MJHID.2016.036
1879-1026,dataset-623,,The Science of the total environment,Assessment of the impact of sea-level rise due to climate change on coastal groundwater discharge.,
2045-2322,dataset-623,10.1038/srep28160,Scientific reports,"Time-varying land subsidence detected by radar altimetry: California, Taiwan and north China.",https://doi.org/10.1038/srep28160
1091-6490,dataset-623,10.1073/pnas.1600019113,Proceedings of the National Academy of Sciences of the United States of America,Millennial-scale sustainability of the Chesapeake Bay Native American oyster fishery.,https://doi.org/10.1073/pnas.1600019113
1476-4687,dataset-623,10.1038/nature17447,Nature,Repeated large-scale retreat and advance of Totten Glacier indicated by inland bed erosion.,https://doi.org/10.1038/nature17447
2045-7758,dataset-623,10.1002/ece3.2140,Ecology and evolution,Mangrove response to environmental change in Australia's Gulf of Carpentaria.,https://doi.org/10.1002/ece3.2140
1879-3363,dataset-623,,Marine pollution bulletin,Modeling oil weathering and transport in sea ice.,
1879-1026,dataset-623,,The Science of the total environment,Human impacts and changes in the coastal waters of south China.,
1873-6424,dataset-623,,"Environmental pollution (Barking, Essex : 1987)",The effect of drinking water salinity on blood pressure in young adults of coastal Bangladesh.,
2154-4700,dataset-623,10.1080/19338244.2016.1175413,Archives of environmental & occupational health,Drinking water salinity and risk of hypertension: A systematic review and meta-analysis.,https://doi.org/10.1080/19338244.2016.1175413
1523-1739,dataset-623,10.1111/cobi.12726,Conservation biology : the journal of the Society for Conservation Biology,Using global sensitivity analysis of demographic models for ecological impact assessment.,https://doi.org/10.1111/cobi.12726
1476-4687,dataset-623,10.1038/nature17145,Nature,Contribution of Antarctica to past and future sea-level rise.,https://doi.org/10.1038/nature17145
1083-8155,dataset-623,,Urban ecosystems,Ecological concerns following Superstorm Sandy: stressor level and recreational activity levels affect perceptions of ecosystem.,
1932-6203,dataset-623,10.1371/journal.pone.0150950,PloS one,Contrasting Effects of Historical Sea Level Rise and Contemporary Ocean Currents on Regional Gene Flow of Rhizophora racemosa in Eastern Atlantic Mangroves.,https://doi.org/10.1371/journal.pone.0150950
1879-1026,dataset-623,,The Science of the total environment,Will a rising sea sink some estuarine wetland ecosystems?,
1932-6203,dataset-623,10.1371/journal.pone.0148975,PloS one,Use of a Florida Gulf Coast Barrier Island by Spring Trans-Gulf Migrants and the Projected Effects of Sea Level Rise on Habitat Availability.,https://doi.org/10.1371/journal.pone.0148975
1091-6490,dataset-623,10.1073/pnas.1517056113,Proceedings of the National Academy of Sciences of the United States of America,Temperature-driven global sea-level variability in the Common Era.,https://doi.org/10.1073/pnas.1517056113
1932-6203,dataset-623,10.1371/journal.pone.0149565,PloS one,"Continental Island Formation and the Archaeology of Defaunation on Zanzibar, Eastern Africa.",https://doi.org/10.1371/journal.pone.0149565
1471-2164,dataset-623,10.1186/s12864-016-2445-4,BMC genomics,Isolation and genome sequencing of four Arctic marine Psychrobacter strains exhibiting multicopper oxidase activity.,https://doi.org/10.1186/s12864-016-2445-4
2041-1723,dataset-623,10.1038/ncomms10325,Nature communications,Evidence for the stability of the West Antarctic Ice Sheet divide for 1.4 million years.,https://doi.org/10.1038/ncomms10325
2041-1723,dataset-623,10.1038/ncomms10266,Nature communications,Clouds enhance Greenland ice sheet meltwater runoff.,https://doi.org/10.1038/ncomms10266
1862-4057,dataset-623,10.1007/s11625-016-0374-4,Sustainability science,"Co-evolution of wetland landscapes, flooding, and human settlement in the Mississippi River Delta Plain.",https://doi.org/10.1007/s11625-016-0374-4
1862-4057,dataset-623,10.1007/s11625-016-0372-6,Sustainability science,"Population dynamics, delta vulnerability and environmental change: comparison of the Mekong, Ganges-Brahmaputra and Amazon delta regions.",https://doi.org/10.1007/s11625-016-0372-6
1091-6490,dataset-623,10.1073/pnas.1510095112,Proceedings of the National Academy of Sciences of the United States of America,A linear relationship between wave power and erosion determines salt-marsh resilience to violent storms and hurricanes.,https://doi.org/10.1073/pnas.1510095112
1476-4687,dataset-623,10.1038/nature16183,Nature,Spatial and temporal distribution of mass loss from the Greenland Ice Sheet since AD 1900.,https://doi.org/10.1038/nature16183
1471-2962,dataset-623,,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",Antarctic Cenozoic climate history from sedimentary records: ANDRILL and beyond.,
2045-7758,dataset-623,10.1002/ece3.1669,Ecology and evolution,The conservation value of elevation data accuracy and model sophistication in reserve design under sea-level rise.,https://doi.org/10.1002/ece3.1669
1876-7478,dataset-623,,Marine genomics,Evaluation of potential candidate genes involved in salinity tolerance in striped catfish (Pangasianodon hypophthalmus) using an RNA-Seq approach.,
1440-1665,dataset-623,10.1177/1039856215609767,Australasian psychiatry : bulletin of Royal Australian and New Zealand College of Psychiatrists,Mental health issues from rising sea level in a remote coastal region of the Solomon Islands: current and future.,https://doi.org/10.1177/1039856215609767
1476-4687,dataset-623,10.1038/nature16147,Nature,Potential sea-level rise from Antarctic ice-sheet instability constrained by observations.,https://doi.org/10.1038/nature16147
1573-2959,dataset-623,10.1007/s10661-015-4959-7,Environmental monitoring and assessment,Assessment of the climate change impacts on fecal coliform contamination in a tidal estuarine system.,https://doi.org/10.1007/s10661-015-4959-7
2045-2322,dataset-623,10.1038/srep16085,Scientific reports,Coastal sea level projections with improved accounting for vertical land motion.,https://doi.org/10.1038/srep16085
1089-7682,dataset-623,10.1063/1.4931801,"Chaos (Woodbury, N.Y.)",Nonlinear forecasting of intertidal shoreface evolution.,https://doi.org/10.1063/1.4931801
1879-1123,dataset-623,10.1007/s13361-015-1285-9,Journal of the American Society for Mass Spectrometry,Condensed Phase Membrane Introduction Mass  Spectrometry with Direct Electron Ionization: On-line  Measurement of PAHs in Complex Aqueous Samples.,https://doi.org/10.1007/s13361-015-1285-9
1476-4687,dataset-623,10.1038/nature15706,Nature,The multi-millennial Antarctic commitment to future sea-level rise.,https://doi.org/10.1038/nature15706
1476-4687,dataset-623,10.1038/nature15538,Nature,The vulnerability of Indo-Pacific mangrove forests to sea-level rise.,https://doi.org/10.1038/nature15538
1091-6490,dataset-623,10.1073/pnas.1511186112,Proceedings of the National Academy of Sciences of the United States of America,Carbon choices determine US cities committed to futures below sea level.,https://doi.org/10.1073/pnas.1511186112
2041-1723,dataset-623,10.1038/ncomms9566,Nature communications,Calving rates at tidewater glaciers vary strongly with ocean temperature.,https://doi.org/10.1038/ncomms9566
2045-2322,dataset-623,10.1038/srep14745,Scientific reports,Linking rapid erosion of the Mekong River delta to human activities.,https://doi.org/10.1038/srep14745
1091-6490,dataset-623,10.1073/pnas.1513127112,Proceedings of the National Academy of Sciences of the United States of America,Increased threat of tropical cyclones and coastal flooding to New York City during the anthropogenic era.,https://doi.org/10.1073/pnas.1513127112
1573-2959,dataset-623,10.1007/s10661-015-4868-9,Environmental monitoring and assessment,"Investigation of potential sea level rise impact on the Nile Delta, Egypt using digital elevation models.",https://doi.org/10.1007/s10661-015-4868-9
1879-1514,dataset-623,,"Aquatic toxicology (Amsterdam, Netherlands)",Xenobiotic-contaminated diets affect hepatic lipid metabolism: Implications for liver steatosis in Sparus aurata juveniles.,
1879-1026,dataset-623,,The Science of the total environment,Flood risk and adaptation strategies under climate change and urban expansion: A probabilistic analysis using global data.,
1551-3793,dataset-623,10.1002/ieam.1705,Integrated environmental assessment and management,"Population vulnerability to storm surge flooding in coastal Virginia, USA.",https://doi.org/10.1002/ieam.1705
2050-7895,dataset-623,10.1039/c5em00252d,Environmental science. Processes & impacts,A first look at the influence of anthropogenic climate change on the future delivery of fluvial sediment to the Ganges-Brahmaputra-Meghna delta.,https://doi.org/10.1039/c5em00252d
1095-9203,dataset-623,10.1126/science.aab3574,"Science (New York, N.Y.)",ENVIRONMENTAL SCIENCE. Profiling risk and sustainability in coastal deltas of the world.,https://doi.org/10.1126/science.aab3574
1932-6203,dataset-623,10.1371/journal.pone.0133044,PloS one,Landscape Analysis of Adult Florida Panther Habitat.,https://doi.org/10.1371/journal.pone.0133044
1873-6009,dataset-623,,Journal of contaminant hydrology,"Mobilization of arsenic, lead, and mercury under conditions of sea water intrusion and road deicing salt application.",
1932-6203,dataset-623,10.1371/journal.pone.0132079,PloS one,Modeled Sea Level Rise Impacts on Coastal Ecosystems at Six Major Estuaries on Florida's Gulf Coast: Implications for Adaptation Planning.,https://doi.org/10.1371/journal.pone.0132079
1476-4687,dataset-623,10.1038/nature14499,Nature,Bipolar seesaw control on last interglacial sea level.,https://doi.org/10.1038/nature14499
2045-7758,dataset-623,10.1002/ece3.1496,Ecology and evolution,Behavioral responses of Atlantic cod to sea temperature changes.,https://doi.org/10.1002/ece3.1496
1932-6203,dataset-623,10.1371/journal.pone.0126235,PloS one,Widespread albedo decreasing and induced melting of Himalayan snow and ice in the early 21st century.,https://doi.org/10.1371/journal.pone.0126235
2190-4286,dataset-623,10.3762/bjnano.6.78,Beilstein journal of nanotechnology,Statistics of work and orthogonality catastrophe in discrete level systems: an application to fullerene molecules and ultra-cold trapped Fermi gases.,https://doi.org/10.3762/bjnano.6.78
1180-4009,dataset-623,,Environmetrics,Multivariate spatio-temporal modelling for assessing Antarctica's present-day contribution to sea-level rise.,
1543-5865,dataset-623,,"Journal of emergency management (Weston, Mass.)","Evacuation planning for plausible worst case inundation scenarios in Honolulu, Hawaii.",
2050-7895,dataset-623,10.1039/c5em00095e,Environmental science. Processes & impacts,Simulating yield response of rice to salinity stress with the AquaCrop model.,https://doi.org/10.1039/c5em00095e
0094-8276,dataset-623,,Geophysical research letters,Changes in global net radiative imbalance 1985-2012.,
1361-6633,dataset-623,10.1088/0034-4885/78/4/046801,Reports on progress in physics. Physical Society (Great Britain),Greenland ice sheet mass balance: a review.,https://doi.org/10.1088/0034-4885/78/4/046801
1879-3363,dataset-623,,Marine pollution bulletin,'Tipping points' for sea level rise related flooding established.,
2050-7895,dataset-623,10.1039/c4em00682h,Environmental science. Processes & impacts,Projections of on-farm salinity in coastal Bangladesh.,https://doi.org/10.1039/c4em00682h
1932-6203,dataset-623,10.1371/journal.pone.0119128,PloS one,Saltmarsh boundary modulates dispersal of mangrove propagules: implications for mangrove migration with sea-level rise.,https://doi.org/10.1371/journal.pone.0119128
1932-6203,dataset-623,10.1371/journal.pone.0118571,PloS one,Future coastal population growth and exposure to sea-level rise and coastal flooding--a global assessment.,https://doi.org/10.1371/journal.pone.0118571
1083-351X,dataset-623,10.1074/jbc.M114.615211,The Journal of biological chemistry,A pore-forming toxin requires a specific residue for its activity in membranes with particular physicochemical properties.,https://doi.org/10.1074/jbc.M114.615211
1476-4687,dataset-623,10.1038/nature14093,Nature,Probabilistic reanalysis of twentieth-century  sea-level rise.,https://doi.org/10.1038/nature14093
2041-1723,dataset-623,10.1038/ncomms6916,Nature communications,Southern Hemisphere control on Australian monsoon variability during the late deglaciation and Holocene.,https://doi.org/10.1038/ncomms6916
1745-6584,dataset-623,10.1111/gwat.12306,Ground water,Long-term groundwater depletion in the United States.,https://doi.org/10.1111/gwat.12306
1180-4009,dataset-623,,Environmetrics,Resolving the Antarctic contribution to sea-level rise: a hierarchical modelling framework.,
1091-6490,dataset-623,10.1073/pnas.1416747111,Proceedings of the National Academy of Sciences of the United States of America,A complete Holocene record of trematode-bivalve infection and implications for the response of parasitism to climate change.,https://doi.org/10.1073/pnas.1416747111
1537-744X,dataset-623,10.1155/2014/626421,TheScientificWorldJournal,East China Sea Storm Surge Modeling and Visualization System: the Typhoon Soulik case.,https://doi.org/10.1155/2014/626421
1432-1009,dataset-623,10.1007/s00267-014-0397-5,Environmental management,Using scenario planning to evaluate the impacts of climate change on wildlife populations and communities in the Florida Everglades.,https://doi.org/10.1007/s00267-014-0397-5
1932-6203,dataset-623,10.1371/journal.pone.0108715,PloS one,Salinity in drinking water and the risk of (pre)eclampsia and gestational hypertension in coastal Bangladesh: a case-control study.,https://doi.org/10.1371/journal.pone.0108715
2041-1723,dataset-623,10.1038/ncomms6107,Nature communications,Antarctic contribution to meltwater pulse 1A from reduced Southern Ocean overturning.,https://doi.org/10.1038/ncomms6107
1941-0611,dataset-623,10.1146/annurev-marine-010213-135032,Annual review of marine science,"Construction and maintenance of the Ganges-Brahmaputra-Meghna delta: linking process, morphology, and stratigraphy.",https://doi.org/10.1146/annurev-marine-010213-135032
1932-6203,dataset-623,10.1371/journal.pone.0108727,PloS one,Incorporating DEM uncertainty in coastal inundation mapping.,https://doi.org/10.1371/journal.pone.0108727
1364-503X,dataset-623,,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",Sea level: measuring the bounding surfaces of the ocean.,
1537-744X,dataset-623,10.1155/2014/943697,TheScientificWorldJournal,Differential responses of net ecosystem exchange of carbon dioxide to light and temperature between spring and neap tides in subtropical mangrove forests.,https://doi.org/10.1155/2014/943697
1528-7394,dataset-623,10.1080/15287394.2014.914004,Journal of toxicology and environmental health. Part A,Effects on five species of shorebirds of experimental closure of a beach in New Jersey: implications for severe storms and sea-level rise.,https://doi.org/10.1080/15287394.2014.914004
1051-0761,dataset-623,,Ecological applications : a publication of the Ecological Society of America,Below the disappearing marshes of an urban estuary: historic nitrogen trends and soil structure.,
1476-4687,dataset-623,10.1038/nature13456,Nature,South Greenland ice-sheet collapse during Marine Isotope Stage 11.,https://doi.org/10.1038/nature13456
1471-2458,dataset-623,10.1186/1471-2458-14-584,BMC public health,How much salt do adults consume in climate vulnerable coastal Bangladesh?,https://doi.org/10.1186/1471-2458-14-584
1365-2486,dataset-623,10.1111/gcb.12598,Global change biology,Incorporating spatial autocorrelation into species distribution models alters forecasts of climate-mediated range shifts.,https://doi.org/10.1111/gcb.12598
2041-1723,dataset-623,10.1038/ncomms4635,Nature communications,Timescales for detecting a significant acceleration in sea level rise.,https://doi.org/10.1038/ncomms4635
0048-7554,dataset-623,,Reviews on environmental health,Climate change and managing water crisis: Pakistan's perspective.,
1091-6490,dataset-623,10.1073/pnas.1222469111,Proceedings of the National Academy of Sciences of the United States of America,Coastal flood damage and adaptation costs under 21st century sea-level rise.,https://doi.org/10.1073/pnas.1222469111
1879-1026,dataset-623,,The Science of the total environment,"Maintaining a way of life for São Miguel Island (the Azores archipelago, Portugal): an assessment of coastal processes and protection.",
1932-6203,dataset-623,10.1371/journal.pone.0088760,PloS one,"Modeling tidal marsh distribution with sea-level rise: evaluating the role of vegetation, sediment, and upland habitat in marsh resiliency.",https://doi.org/10.1371/journal.pone.0088760
1557-900X,dataset-623,10.1089/end.2013.0680,Journal of endourology,Monthly variations in urolithiasis presentations and their association with meteorologic factors in New York City.,https://doi.org/10.1089/end.2013.0680
1095-9513,dataset-623,,Molecular phylogenetics and evolution,"Biogeography in deep time - What do phylogenetics, geology, and paleoclimate tell us about early platyrrhine evolution?",
1932-6203,dataset-623,10.1371/journal.pone.0079420,PloS one,Tyrant dinosaur evolution tracks the rise and fall of Late Cretaceous oceans.,https://doi.org/10.1371/journal.pone.0079420
1520-5851,dataset-623,10.1021/es402950q,Environmental science & technology,Spatial distributions and deposition chronology of short chain chlorinated paraffins in marine sediments across the Chinese Bohai and Yellow Seas.,https://doi.org/10.1021/es402950q
1095-8649,dataset-623,10.1111/jfb.12203,Journal of fish biology,"The ecology, behaviour and physiology of fishes on coral reef flats, and the potential impacts of climate change.",https://doi.org/10.1111/jfb.12203
1319-562X,dataset-623,10.1016/j.sjbs.2012.02.001,Saudi journal of biological sciences,"Integrating spatial data and shorebird nesting locations to predict the potential future impact of global warming on coastal habitats: A case study on Farasan Islands, Saudi Arabia.",https://doi.org/10.1016/j.sjbs.2012.02.001
1091-6490,dataset-623,10.1073/pnas.1222843110,Proceedings of the National Academy of Sciences of the United States of America,Time-dependent climate sensitivity and the legacy of anthropogenic greenhouse gas emissions.,https://doi.org/10.1073/pnas.1222843110
1349-2896,dataset-623,,"Proceedings of the Japan Academy. Series B, Physical and biological sciences",Sea-level rise caused by climate change and its implications for society.,
2041-1723,dataset-623,10.1038/ncomms3146,Nature communications,Flow velocities of Alaskan glaciers.,https://doi.org/10.1038/ncomms3146
1476-4687,dataset-623,10.1038/nature12269,Nature,Allowable carbon emissions lowered by multiple climate targets.,https://doi.org/10.1038/nature12269
2045-2322,dataset-623,10.1038/srep01926,Scientific reports,Man made deltas.,https://doi.org/10.1038/srep01926
1432-1009,dataset-623,10.1007/s00267-013-0074-0,Environmental management,"A simple model that identifies potential effects of sea-level rise on estuarine and estuary-ecotone habitat locations for salmonids in Oregon, USA.",https://doi.org/10.1007/s00267-013-0074-0
1476-4687,dataset-623,10.1038/nature12068,Nature,Future sea-level rise from Greenland's main outlet glaciers in a warming climate.,https://doi.org/10.1038/nature12068
2233-4521,dataset-623,10.3961/jpmph.2013.46.2.105,Journal of preventive medicine and public health = Yebang Uihakhoe chi,Trends in reports on climate change in 2009-2011 in the Korean press based on daily newspapers' ownership structure.,https://doi.org/10.3961/jpmph.2013.46.2.105
1354-1013,dataset-623,10.1111/gcb.12218,Global change biology,Coastal retreat and improved water quality mitigate losses of seagrass from sea level rise.,https://doi.org/10.1111/gcb.12218
1476-4687,dataset-623,10.1038/nature12002,Nature,July 2012 Greenland melt extent enhanced by low-level liquid clouds.,https://doi.org/10.1038/nature12002
1678-2690,dataset-623,,Anais da Academia Brasileira de Ciencias,Late Quaternary landscape evolution of northeastern Amazonia from pollen and diatom records.,
1354-1013,dataset-623,10.1111/gcb.12064,Global change biology,Does more mean less? The value of information for conservation planning under sea level rise.,https://doi.org/10.1111/gcb.12064
1879-3363,dataset-623,,Marine pollution bulletin,"The role of highly sratified nutrient-rich small estuaries as a source of dissolved inorganic nitrogen to coastal seawater, the Qishon (SE Mediterranean) case.",
1932-6203,dataset-623,10.1371/journal.pone.0056932,PloS one,Harbour porpoises Phocoena phocoena in the eastern Scheldt: a resident stock or trapped by a storm surge barrier?,https://doi.org/10.1371/journal.pone.0056932
1932-6203,dataset-623,10.1371/journal.pone.0056255,PloS one,The impact of global warming and anoxia on marine benthic community dynamics: an example from the Toarcian (Early Jurassic).,https://doi.org/10.1371/journal.pone.0056255
1091-6490,dataset-623,10.1073/pnas.1218327110,Proceedings of the National Academy of Sciences of the United States of America,Vegetation engineers marsh morphology through multiple competing stable states.,https://doi.org/10.1073/pnas.1218327110
1932-6203,dataset-623,10.1371/journal.pone.0054326,PloS one,Sediment bacterial communities reflect the history of a sea basin.,https://doi.org/10.1371/journal.pone.0054326
1095-9203,dataset-623,10.1126/science.1228102,"Science (New York, N.Y.)",A reconciled estimate of ice-sheet mass balance.,https://doi.org/10.1126/science.1228102
0022-3646,dataset-623,10.1111/j.1529-8817.2012.01228.x,Journal of phycology,Patterns of Distribution and Environmental Correlates of Macroalgal Assemblages and Sediment Chlorophyll A in Oregon Tidal Wetlands.,https://doi.org/10.1111/j.1529-8817.2012.01228.x
1091-6490,dataset-623,10.1073/pnas.1206785109,Proceedings of the National Academy of Sciences of the United States of America,Mapping Greenland's mass loss in space and time.,https://doi.org/10.1073/pnas.1206785109
1460-2431,dataset-623,10.1093/jxb/ers321,Journal of experimental botany,Phenological response of grassland species to manipulative snowmelt and drought along an altitudinal gradient.,https://doi.org/10.1093/jxb/ers321
1476-4687,dataset-623,10.1038/nature11593,Nature,"Rapid coupling between ice volume and polar temperature over the past 150,000 years.",https://doi.org/10.1038/nature11593
1476-4687,dataset-623,10.1038/nature11566,Nature,Greenland ice-sheet contribution to sea-level rise buffered by meltwater storage in firn.,https://doi.org/10.1038/nature11566
1932-6203,dataset-623,10.1371/journal.pone.0047935,PloS one,Predictors of business return in New Orleans after Hurricane Katrina.,https://doi.org/10.1371/journal.pone.0047935
1932-6203,dataset-623,10.1371/journal.pone.0048191,PloS one,Uncertainties in measuring populations potentially impacted by sea level rise and coastal flooding.,https://doi.org/10.1371/journal.pone.0048191
1476-4687,dataset-623,10.1038/nature11440,Nature,Response of salt-marsh carbon accumulation to climate change.,https://doi.org/10.1038/nature11440
1879-1026,dataset-623,,The Science of the total environment,"Influence of fresh water, nutrients and DOC in two submarine-groundwater-fed estuaries on the west of Ireland.",
1091-6490,dataset-623,10.1073/pnas.1205385109,Proceedings of the National Academy of Sciences of the United States of America,Dynamics of the last glacial maximum Antarctic ice-sheet and its response to ocean forcing.,https://doi.org/10.1073/pnas.1205385109
2041-9139,dataset-623,10.1186/2041-9139-3-19,EvoDevo,Sequencing and analysis of the gastrula transcriptome of the brittle star Ophiocoma wendtii.,https://doi.org/10.1186/2041-9139-3-19
1476-4687,dataset-623,10.1038/nature11324,Nature,Contrasting patterns of early twenty-first-century glacier mass change in the Himalayas.,https://doi.org/10.1038/nature11324
1095-8630,dataset-623,,Journal of environmental management,Household perceptions of coastal hazards and climate change in the Central Philippines.,
1095-9203,dataset-623,10.1126/science.1219985,"Science (New York, N.Y.)",21st-century evolution of Greenland outlet glacier velocities.,https://doi.org/10.1126/science.1219985
1091-6490,dataset-623,10.1073/pnas.1117683109,Proceedings of the National Academy of Sciences of the United States of America,Estimating the sources of global sea level rise with data assimilation techniques.,https://doi.org/10.1073/pnas.1117683109
1879-0291,dataset-623,10.1016/j.marenvres.2012.02.004,Marine environmental research,Organic matter content and particle size modifications in mangrove sediments as responses to sea level rise.,https://doi.org/10.1016/j.marenvres.2012.02.004
1466-5034,dataset-623,10.1099/ijs.0.039594-0,International journal of systematic and evolutionary microbiology,"Parvibaculum hydrocarboniclasticum sp. nov., a mesophilic, alkane-oxidizing alphaproteobacterium isolated from a deep-sea hydrothermal vent on the East Pacific Rise.",https://doi.org/10.1099/ijs.0.039594-0
1879-1026,dataset-623,10.1016/j.scitotenv.2011.09.088,The Science of the total environment,Nutrients in estuaries--an overview and the potential impacts of climate change.,https://doi.org/10.1016/j.scitotenv.2011.09.088
1932-6203,dataset-623,10.1371/journal.pone.0027388,PloS one,Evaluating tidal marsh sustainability in the face of sea-level rise: a hybrid modeling approach applied to San Francisco Bay.,https://doi.org/10.1371/journal.pone.0027388
1539-6924,dataset-623,10.1111/j.1539-6924.2011.01710.x,Risk analysis : an official publication of the Society for Risk Analysis,"Prediction and impact of sea level rise on properties and infrastructure of Washington, DC.",https://doi.org/10.1111/j.1539-6924.2011.01710.x
1476-4687,dataset-623,10.1038/nature10499,Nature,A carbon isotope challenge to the snowball Earth.,https://doi.org/10.1038/nature10499
1879-1026,dataset-623,10.1016/j.scitotenv.2011.08.049,The Science of the total environment,Air pollution episodes associated with East Asian winter monsoons.,https://doi.org/10.1016/j.scitotenv.2011.08.049
1520-5851,dataset-623,10.1021/es200909g,Environmental science & technology,"Risk of inundation to coastal wetlands and soil organic carbon and organic nitrogen accounting in Louisiana, USA.",https://doi.org/10.1021/es200909g
1091-6490,dataset-623,10.1073/pnas.1102842108,Proceedings of the National Academy of Sciences of the United States of America,"Comparing the role of absolute sea-level rise and vertical tectonic motions in coastal flooding, Torres Islands (Vanuatu).",https://doi.org/10.1073/pnas.1102842108
1095-564X,dataset-623,10.1016/j.ydbio.2011.06.016,Developmental biology,Precise cis-regulatory control of spatial and temporal expression of the alx-1 gene in the skeletogenic lineage of s. purpuratus.,https://doi.org/10.1016/j.ydbio.2011.06.016
1932-6203,dataset-623,10.1371/journal.pone.0019795,PloS one,"Highly diverse, poorly studied and uniquely threatened by climate change: an assessment of marine biodiversity on South Georgia's continental shelf.",https://doi.org/10.1371/journal.pone.0019795
1756-3305,dataset-623,10.1186/1756-3305-4-84,Parasites & vectors,Multi-source analysis reveals latitudinal and altitudinal shifts in range of Ixodes ricinus at its northern distribution limit.,https://doi.org/10.1186/1756-3305-4-84
1552-9924,dataset-623,,Environmental health perspectives,Drinking Water Salinity and Maternal Health in Coastal Bangladesh: Implications of Climate Change.,
1439-6327,dataset-623,10.1007/s00421-011-1881-8,European journal of applied physiology,Effects of altitude exposure on brain natriuretic peptide in humans.,https://doi.org/10.1007/s00421-011-1881-8
