datasets,doi,journal,search_term,title,url
dataset-622,10.1130/b35164.1,"{'id': 'jour.1026121', 'title': 'Geological Society of America Bulletin'}",datums,Sequence stratigraphy and depositional history of the Baranof Fan: Insights for Cordilleran Ice Sheet outflow to the Gulf of Alaska,
dataset-622,10.1117/12.2518954,,datums,Concurrent engineering of a next-generation freeform telescope: mechanical design and manufacture,
dataset-622,10.1117/12.2520617,,datums,Photon counting camera for the NASA deep space optical communication demonstration on the PSYCHE mission,
dataset-622,10.1029/2019gc008182,"{'id': 'jour.1052077', 'title': 'Geochemistry Geophysics Geosystems'}",datums,Late Eocene Southern Ocean Cooling and Invigoration of Circulation Preconditioned Antarctica for Full‐Scale Glaciation,
dataset-622,10.5253/arde.v107i1.a9,"{'id': 'jour.1042864', 'title': 'Ardea'}",datums,Low Frequencies of Supernormal Clutches in the Southern Dunlin and the Temminck's Stint,
dataset-622,10.1515/sem-2018-0079,"{'id': 'jour.1042988', 'title': 'Semiotica'}",datums,Peirce and Dewey think about art: Quality and the theory of signs,
dataset-622,10.5194/isprs-archives-xlii-2-w11-127-2019,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",datums,RECONSTRUCTION OF HISTORICAL GEODETIC SYSTEMS FOR THEIR IMPLEMENTATION IN REPROJECTION ALGORITHMS,https://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XLII-2-W11/127/2019/isprs-archives-XLII-2-W11-127-2019.pdf
dataset-622,10.1007/s10468-019-09888-2,"{'id': 'jour.1136385', 'title': 'Algebras and Representation Theory'}",datums,Cotwists of Bicomonads and BiHom-bialgebras,
dataset-622,10.1109/icps.2019.8733376,,datums,Comprehensive Benhcmark System for Load Management Applications Using Morphological-based Load Profile Clustering,
dataset-622,10.1016/j.gloplacha.2019.02.013,"{'id': 'jour.1297393', 'title': 'Global and Planetary Change'}",datums,Magneto-biostratigraphic age models for Pleistocene sedimentary records from the Ross Sea,
dataset-622,10.1016/j.palaeo.2019.02.014,"{'id': 'jour.1312078', 'title': 'Palaeogeography Palaeoclimatology Palaeoecology'}",datums,"Recovery of benthic communities following the Toarcian oceanic anoxic event in the Cleveland Basin, UK",
dataset-622,10.1017/aap.2018.50,"{'id': 'jour.1148803', 'title': 'Advances in Archaeological Practice'}",datums,A New Era in Spatial Data Recording: Low-Cost GNSS,
dataset-622,10.1016/j.coal.2018.04.013,"{'id': 'jour.1052404', 'title': 'International Journal of Coal Geology'}",datums,Marine flooding surfaces recorded in Permian black shales and coal deposits of the Main Karoo Basin (South Africa): Implications for basin dynamics and cross-basin correlation: Discussion,
dataset-622,10.1016/j.ecss.2019.02.033,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",datums,Slough evolution and legacy mercury remobilization induced by wetland restoration in South San Francisco Bay,
dataset-622,10.1016/j.quaint.2017.11.052,Quaternary International,datums,Middle and Late Pleistocene mammal fossils of Arabia and surrounding regions: Implications for biogeography and hominin dispersals,https://ora.ox.ac.uk/objects/uuid:c56e5ff6-d4d2-44f7-a96a-8f4f8a7ae1c9/download_file?safe_filename=Stewart-et-al-2017.pdf&file_format=application%2Fpdf&type_of_work=Journal+article
dataset-622,10.14393/ufu.di.2019.39,,datums,"Obtenção do modelo matemático e mapa de calor do consumo de combustível de um caminhão na mineração à céu aberto, utilizando algoritmo genético e regressão linear múltipla",
dataset-622,10.3390/w11050902,Water,datums,The Use of Hydrodynamic Models in the Determination of the Chart Datum Shape in a Tropical Estuary,https://www.mdpi.com/2073-4441/11/5/902/pdf
dataset-622,10.3390/rs11080976,Remote Sensing,datums,Modeling Barrier Island Habitats Using Landscape Position Information,https://www.mdpi.com/2072-4292/11/8/976/pdf
dataset-622,10.20517/2574-1209.2018.70,Vessel Plus,datums,Computational evaluation of mitral valve repair with MitraClip,http://130.149.89.49:2080/v6.14/pdf_books/CAE.pdf
dataset-622,10.3390/rs11080937,Remote Sensing,datums,"Evidence of Instability in Previously-Mapped Landslides as Measured Using GPS, Optical, and SAR Data between 2007 and 2017: A Case Study in the Portuguese Bend Landslide Complex, California",https://www.mdpi.com/2072-4292/11/8/937/pdf
dataset-622,10.1080/14772019.2018.1466374,"{'id': 'jour.1052755', 'title': 'Journal of Systematic Palaeontology'}",datums,A skeleton of a Uintan machaeroidine ‘creodont’ and the phylogeny of carnivorous eutherian mammals,
dataset-622,10.1590/s1982-21702019000100006,Boletim de Ciências Geodésicas,datums,PHYSICAL CONNECTION BETWEEN BVRF SEGMENTS BASED ON LEVELING ASSOCIATED WITH GRAVIMETRY,http://www.scielo.br/pdf/bcg/v25n1/1982-2170-bcg-25-01-e2019006.pdf
dataset-622,10.3846/gac.2019.6053,Geodesy and Cartography,datums,Least squares support vector machine model for coordinate transformation,https://journals.vgtu.lt/index.php/GAC/article/download/6053/8452
dataset-622,10.2983/035.038.0105,"{'id': 'jour.1023024', 'title': 'Journal of Shellfish Research'}",datums,"Characterization of Ribbed Mussel Geukensia demissa (Dillwyn, 1817) Habitat in Relation to Tidal Elevation and Salinity in a South Carolina Estuary",
dataset-622,10.2112/jcoastres-d-18-00166.1,"{'id': 'jour.1137383', 'title': 'Journal of Coastal Research'}",datums,"A New Method for Determining the Territorial Sea Baseline Using an Unmanned, Hydrographic Surface Vessel",
dataset-622,,"{'id': 'jour.1371339', 'title': 'arXiv'}",datums,"Blow-up at space infinity for solutions of a system of non-autonomous
  semilinear heat equations",
dataset-622,10.1080/00396265.2019.1597490,"{'id': 'jour.1137680', 'title': 'Survey Review'}",datums,A local projection for integrating geodetic and terrestrial coordinate systems,
dataset-622,10.2493/jjspe.85.347,Journal of the Japan Society for Precision Engineering,datums,合成法を用いた真直形状測定に関する研究,https://www.jstage.jst.go.jp/article/jjspe/85/4/85_347/_pdf
dataset-622,10.1080/00927872.2018.1508583,"{'id': 'jour.1053175', 'title': 'Communications in Algebra'}",datums,Extending structures of lie conformal superalgebras,
dataset-622,10.14358/pers.85.4.253,Photogrammetric Engineering & Remote Sensing,datums,Grids and Datums,https://doi.org/10.14358/pers.85.4.253
dataset-622,10.1088/1361-6501/ab0267,"{'id': 'jour.1055181', 'title': 'Measurement Science and Technology'}",datums,Proposition and experimental evaluation of a point-based compensation approach to reduce systematic errors in CT measurements,
dataset-622,10.1016/j.geomorph.2019.04.009,"{'id': 'jour.1044680', 'title': 'Geomorphology'}",datums,"Trends in research on beaches and dunes on sandy shores, 1969–2019",
dataset-622,10.1016/j.ecss.2019.02.004,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",datums,Contribution of macroalgal wrack consumers to dissolved inorganic nitrogen concentrations in intertidal pore waters of sandy beaches,
dataset-622,10.1007/s10666-018-9622-6,"{'id': 'jour.1136031', 'title': 'Environmental Modeling & Assessment'}",datums,Sea-Level Rise Impact on Salt Marsh Sustainability and Migration for a Subtropical Estuary: GTMNERR (Guana Tolomato Matanzas National Estuarine Research Reserve),
dataset-622,10.1016/j.quascirev.2019.02.021,"{'id': 'jour.1040733', 'title': 'Quaternary Science Reviews'}",datums,Can we detect centennial sea-level variations over the last three thousand years in Israeli archaeological records?,
dataset-622,10.1007/s12517-019-4418-9,"{'id': 'jour.1135927', 'title': 'Arabian Journal of Geosciences'}",datums,Accuracy assessment of the PGM17 global geopotential model: a case study of Egypt and Northeast Africa,
dataset-622,10.1007/s00006-019-0949-0,"{'id': 'jour.1136750', 'title': 'Advances in Applied Clifford Algebras'}",datums,Drinfeld Codoubles of Hom–Hopf Algebras,
dataset-622,10.1007/s13157-018-1113-7,"{'id': 'jour.1045785', 'title': 'Wetlands'}",datums,Mathematical Formulations for Three Components of Hydroperiod in Tidal Wetlands,
dataset-622,10.1088/1755-1315/237/3/032031,IOP Conference Series Earth and Environmental Science,datums,On the Establishment Method of Marine Vertical Datum Seamless System,https://doi.org/10.1088/1755-1315/237/3/032031
dataset-622,10.3390/app9061069,Applied Sciences,datums,In-Line Dimensional Inspection of Warm-Die Forged Revolution Workpieces Using 3D Mesh Reconstruction,https://www.mdpi.com/2076-3417/9/6/1069/pdf
dataset-622,10.3390/foods8030097,Foods,datums,Study of the Chronology of Expression of Ten Extracellular Matrix Molecules during the Myogenesis in Cattle to Better Understand Sensory Properties of Meat,https://www.mdpi.com/2304-8158/8/3/97/pdf
dataset-622,10.1115/1.4041226,"{'id': 'jour.1049902', 'title': 'Journal of Computing and Information Science in Engineering'}",datums,Convexity and Optimality Conditions for Constrained Least-Squares Fitting of Planes and Parallel Planes to Establish Datums,
dataset-622,10.1093/bioinformatics/bty699,Bioinformatics,datums,Container-based bioinformatics with Pachyderm,https://academic.oup.com/bioinformatics/article-pdf/35/5/839/27994814/bty699.pdf
dataset-622,10.14358/pers.85.3.166,Photogrammetric Engineering & Remote Sensing,datums,Grids and Datums This month we look at the Republic of Angola,https://doi.org/10.14358/pers.85.3.166
dataset-622,10.25131/sajg.122.0001,"{'id': 'jour.1026217', 'title': 'South African Journal of Geology'}",datums,Palynostratigraphic correlation of the Springbok Flats coalfield to other coal-bearing successions in the Karoo basins of southern Africa,
dataset-622,10.1088/1755-1315/221/1/012064,IOP Conference Series Earth and Environmental Science,datums,Simulation of an Alternative Realisation of the Croatian Height Reference System,https://iopscience.iop.org/article/10.1088/1755-1315/221/1/012064/pdf
dataset-622,10.1088/1755-1315/221/1/012063,IOP Conference Series Earth and Environmental Science,datums,Quality Evaluation of the Earth’s Crust Height Movement Kinematic Model in the Northern Part of the Republic of Croatia,https://doi.org/10.1088/1755-1315/221/1/012063
dataset-622,10.1111/gto.12261,"{'id': 'jour.1137749', 'title': 'Geology Today'}",datums,Peering inside the peak ring of the Chicxulub Impact Crater—its nature and formation mechanism,
dataset-622,10.1007/s00025-019-0963-5,Results in Mathematics,datums,Extending Structures and Classifying Complements for Left-Symmetric Algebras,http://arxiv.org/pdf/1511.08571
dataset-622,10.1111/nyas.14015,Annals of the New York Academy of Sciences,datums,New York City Panel on Climate Change 2019 Report Chapter 5: Mapping Climate Risk,https://nyaspubs.onlinelibrary.wiley.com/doi/pdf/10.1111/nyas.14015
dataset-622,10.1111/iar.12286,"{'id': 'jour.1138665', 'title': 'Island Arc'}",datums,"Integrated Radiolaria, benthic foraminifera and conodont biochronology of the pelagic Permian blocks/tectonic slices and geochemistry of associated volcanic rocks from the Mersin Mélange, southern Turkey: Implications for the Permian evolution of the northern Neotethys",
dataset-622,10.1002/int.22061,"{'id': 'jour.1126167', 'title': 'International Journal of Intelligent Systems'}",datums,Learning the stress function pattern of ordered weighted average aggregation using DBSCAN clustering,
dataset-622,10.1016/j.earscirev.2018.11.015,"{'id': 'jour.1052623', 'title': 'Earth-Science Reviews'}",datums,Cyclostratigraphy and the problem of astrochronologic testing,
dataset-622,10.1016/j.measurement.2018.12.065,"{'id': 'jour.1052495', 'title': 'Measurement'}",datums,Regional gravimetric survey of central slovenia,
dataset-622,10.1016/j.ecss.2018.12.022,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",datums,Evolution of a salt marsh in the southeastern North Sea region – Anthropogenic and natural forcing,
dataset-622,10.1017/qua.2018.108,Quaternary Research,datums,"Lake-level variability in Salar de Coipasa, Bolivia during the past ∼40,000 yr",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/ACF88920D37FBDC1DBE9A64F134394A6/S0033589418001084a.pdf/div-class-title-lake-level-variability-in-salar-de-coipasa-bolivia-during-the-past-40-000-yr-div.pdf
dataset-622,10.1016/j.palaeo.2018.11.024,"{'id': 'jour.1312078', 'title': 'Palaeogeography Palaeoclimatology Palaeoecology'}",datums,New magnetobiostratigraphic results from the Ladinian of the Dolomites and implications for the Triassic geomagnetic polarity timescale,
dataset-622,10.1016/j.measurement.2018.12.007,"{'id': 'jour.1052495', 'title': 'Measurement'}",datums,"Comments on the article “Uncertainty and bias in electronic tide-gauge records: evidence from collocated sensors” by Stella Pytharouli, Spyros Chaikalis, Stathis C. Stiros in Measurement (Volume 125, September 2018)",
dataset-622,10.1088/1742-6596/1210/1/012049,Journal of Physics Conference Series,datums,Analysis of the technique for controlling the eccentricity of wheel sets of rolling stock,https://iopscience.iop.org/article/10.1088/1742-6596/1210/1/012049/pdf
dataset-622,10.1016/j.palaeo.2019.02.023,"{'id': 'jour.1312078', 'title': 'Palaeogeography Palaeoclimatology Palaeoecology'}",datums,Conodonts across the Silurian/Devonian boundary in the Carnic Alps (Austria and Italy),
dataset-622,10.1016/j.jobe.2019.01.002,"{'id': 'jour.1145724', 'title': 'Journal of Building Engineering'}",datums,Real-life implementation of a linear model predictive control in a building energy system,
dataset-622,10.3390/ijgi8030108,ISPRS International Journal of Geo-Information,datums,European Digital Elevation Model Validation against Extensive Global Navigation Satellite Systems Data and Comparison with SRTM DEM and ASTER GDEM in Central Macedonia (Greece),https://www.mdpi.com/2220-9964/8/3/108/pdf
dataset-622,10.1101/553933,bioRxiv,datums,Future sea-level rise drives rocky intertidal habitat loss and benthic community change,https://www.biorxiv.org/content/biorxiv/early/2019/02/18/553933.full.pdf
dataset-622,10.3390/ijerph16040572,International Journal of Environmental Research and Public Health,datums,Flow Dynamics and Contaminant Transport in Y-Shaped River Channel Confluences,https://www.mdpi.com/1660-4601/16/4/572/pdf
dataset-622,10.1088/1748-9326/aafe28,Environmental Research Letters,datums,Hydrothermal carbon release to the ocean and atmosphere from the eastern equatorial Pacific during the last glacial termination,https://iopscience.iop.org/article/10.1088/1748-9326/aafe28/pdf
dataset-622,10.3390/jmse7020044,Journal of Marine Science and Engineering,datums,Modeling Tidal Datums and Spatially Varying Uncertainty in the Texas and Western Louisiana Coastal Waters,https://www.mdpi.com/2077-1312/7/2/44/pdf
dataset-622,10.1163/24519359-12340005,"{'id': 'jour.1293332', 'title': 'Brill Research Perspectives in the Law of the Sea'}",datums,Baselines under the International Law of the Sea,
dataset-622,10.3390/ijgi8020075,ISPRS International Journal of Geo-Information,datums,Shoreline Detection using Optical Remote Sensing: A Review,https://www.mdpi.com/2220-9964/8/2/75/pdf
dataset-622,10.1016/j.earscirev.2018.04.004,"{'id': 'jour.1052623', 'title': 'Earth-Science Reviews'}",datums,China paleogeography: Current status and future challenges,
dataset-622,10.1007/s13157-018-1028-3,"{'id': 'jour.1045785', 'title': 'Wetlands'}",datums,Fine-Scale Mapping of Coastal Plant Communities in the Northeastern USA,
dataset-622,10.1016/j.earscirev.2018.01.001,"{'id': 'jour.1052623', 'title': 'Earth-Science Reviews'}",datums,"Integrated global stratigraphy and geologic timescales, with some future directions for stratigraphy in China",
dataset-622,10.1016/j.ecss.2018.11.003,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",datums,Salt marsh ecosystem restructuring enhances elevation resilience and carbon storage during accelerating relative sea-level rise,
dataset-622,10.1016/j.palaeo.2017.12.044,"{'id': 'jour.1312078', 'title': 'Palaeogeography Palaeoclimatology Palaeoecology'}",datums,Environmental controls on calcareous nannoplankton response to the Cretaceous/Paleogene mass extinction in the Tethys realm,
dataset-622,10.1016/j.earscirev.2019.01.011,"{'id': 'jour.1052623', 'title': 'Earth-Science Reviews'}",datums,Paleoclimate proxies for cyclostratigraphy: Comparative analysis using a Lower Triassic marine section in South China,
dataset-622,10.1017/s0016756818000560,"{'id': 'jour.1026120', 'title': 'Geological Magazine'}",datums,Palaeogeological hiatus surface mapping: a tool to visualize vertical motion of the continents,
dataset-622,10.1111/ter.12366,Terra Nova,datums,Post‐Eocene intensification of deep‐water circulation in the central South Pacific: Micropalaeontological clues from dredged sites along the eastern Manihiki Plateau margin,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ter.12366
dataset-622,10.1016/j.palaeo.2018.05.038,"{'id': 'jour.1312078', 'title': 'Palaeogeography Palaeoclimatology Palaeoecology'}",datums,"Late Jurassic–Early Cretaceous palynofloras in the Lhasa Block, central Xizang, China and their bearing on palaeoenvironments",
dataset-622,10.1016/j.envsoft.2018.11.003,"{'id': 'jour.1134509', 'title': 'Environmental Modelling & Software'}",datums,Object-based correction of LiDAR DEMs using RTK-GPS data and machine learning modeling in the coastal Everglades,
dataset-622,10.1007/s00211-018-1005-z,Numerische Mathematik,datums,Greedy optimal control for elliptic problems and its application to turnpike problems,https://hal.archives-ouvertes.fr/hal-01636643/file/p_greedy_preprint.pdf
dataset-622,10.1515/jag-2018-0017,"{'id': 'jour.1143297', 'title': 'Journal of Applied Geodesy'}",datums,Enhancing the predictability of least-squares collocation through the integration with least-squares-support vector machine,
dataset-622,10.1117/1.jatis.5.1.014003,Journal of Astronomical Telescopes Instruments and Systems,datums,Focal plate structure alignment of the Dark Energy Spectroscopic Instrument,http://discovery.ucl.ac.uk/10071531/1/Brooks_Focal%20plate%20structure%20alignment%20of%20the%20Dark%20Energy%20Spectroscopic%20Instrument_VoR.pdf
dataset-622,10.2112/jcoastres-d-18-00128.1,"{'id': 'jour.1137383', 'title': 'Journal of Coastal Research'}",datums,Determining the Accuracy of Visual Wave Height Observations and the Perception of Surf-Zone Hazards Made by Lifeguards,
dataset-622,10.3390/geosciences9020056,Geosciences,datums,Sub-Antarctic Auckland Islands Seafloor Mapping Investigations Using Legacy Data,https://www.mdpi.com/2076-3263/9/2/56/pdf
dataset-622,10.14714/cp92.1522,Cartographic Perspectives,datums,"Review of Lining up Data in ArcGIS: A Guide to Map Projections, Third Edition",https://cartographicperspectives.org/index.php/journal/article/download/1522/1699
dataset-622,10.5575/geosoc.2018.0056,The Journal of the Geological Society of Japan,datums,千葉セクション,https://www.jstage.jst.go.jp/article/geosoc/125/1/125_2018.0056/_pdf
dataset-622,10.1144/sp490-2019-118,Geological Society London Special Publications,datums,"Quantifying vertical movements in fold and thrust belts: subsidence, uplift and erosion in Kurdistan, northern Iraq",https://sp.lyellcollection.org/content/specpubgsl/early/2019/03/07/SP490-2019-118.full.pdf
dataset-622,10.2113/gsjfr.49.1.29,"{'id': 'jour.1023046', 'title': 'The Journal of Foraminiferal Research'}",datums,"Distribution of Modern Salt-marsh Foraminifera from the Eastern Mississippi Sound, U.s.a.",
dataset-622,10.2514/6.2019-0550,,datums,Automated Top Level Aircraft Structural Sizing Tool (ATLASS): A Framework for Preliminary Aircraft Design and Optimization,
dataset-622,10.2514/6.2019-0006,,datums,An Industry-Based Approach to Aircraft Design Education at the Pre-Collegiate Level,
dataset-622,10.1080/01916122.2017.1413018,"{'id': 'jour.1139538', 'title': 'Palynology'}",datums,"Late Triassic (Early Carnian-Norian) Palynology of the Sentralbanken High, Norwegian Barents Sea",
dataset-622,10.2989/1814232x.2019.1569160,"{'id': 'jour.1036394', 'title': 'African Journal of Marine Science'}",datums,"Bathymetry, substrate and fishing areas of Southeast Atlantic high-seas seamounts",
dataset-622,10.1080/03115518.2018.1462401,"{'id': 'jour.1138584', 'title': 'Alcheringa An Australasian Journal of Palaeontology'}",datums,"Anacoracid sharks and calcareous nannofossil stratigraphy of the mid-Cretaceous ‘upper’ Gearle Siltstone and Haycock Marl in the lower Murchison River area, Western Australia",
dataset-622,10.1080/03081087.2017.1416056,Linear and Multilinear Algebra,datums,Extending structures for associative conformal algebras,http://arxiv.org/pdf/1705.02827
dataset-622,10.1515/jogs-2019-0003,"{'id': 'jour.1146809', 'title': 'Journal of Geodetic Science'}",datums,Coordinate transformation parameters in Nepal by using neural network and SVD methods,
dataset-622,10.14358/pers.85.1.13,Photogrammetric Engineering & Remote Sensing,datums,Grids and Datums,https://doi.org/10.14358/pers.85.1.13
dataset-622,10.15446/esrj.v23n1.63860,Earth Sciences Research Journal,datums,"Coordinate Transformation between Global and Local Datums Based on Artificial Neural Network with K-Fold Cross-Validation: A Case Study, Ghana",https://revistas.unal.edu.co/index.php/esrj/article/download/63860/pdf
dataset-622,10.1007/s11664-018-6703-x,"{'id': 'jour.1136213', 'title': 'Journal of Electronic Materials'}",datums,Capacitance–Resistive PEDOT:PSS Cotton Fabric Satisfied Jonscher’s Law with Index Exceeding One,
dataset-622,10.1007/s12594-019-1118-8,"{'id': 'jour.1136575', 'title': 'Journal of the Geological Society of India'}",datums,Time Resolution of the Phanerozoic Rock Records: Challenges of High-Resolution Palaeobiological and Geochemical Proxy-Based Interpretations,
dataset-622,10.1016/j.earscirev.2018.10.013,Earth-Science Reviews,datums,Quaternary time scales for the Pontocaspian domain: Interbasinal connectivity and faunal evolution,https://doi.org/10.1016/j.earscirev.2018.10.013
dataset-622,10.1080/19475705.2019.1614682,Geomatics Natural Hazards and Risk,datums,Development of Saudi continuous chart datum: Arabian Gulf case study,https://www.tandfonline.com/doi/pdf/10.1080/19475705.2019.1614682?needAccess=true
dataset-622,10.1109/eiconrus.2019.8657228,"{'id': 'jour.1368698', 'title': '2019 IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering (EIConRus)'}",datums,Creation and Storage Techniques of Geo-Data Resources for a Terrain Model for Aircraft-Training Complexesбю,
dataset-622,10.1007/s12517-018-4158-2,"{'id': 'jour.1135927', 'title': 'Arabian Journal of Geosciences'}",datums,"Campanian–Maastrichtian unconformities and rudist diagenesis, Aruma Formation, central Saudi Arabia",
dataset-622,10.1029/2018gc007668,Geochemistry Geophysics Geosystems,datums,A New Seismic Stratigraphy in the Indian‐Atlantic Ocean Gateway Resembles Major Paleo‐Oceanographic Changes of the Last 7 Ma,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018GC007668
dataset-622,10.1007/s12237-018-0420-9,"{'id': 'jour.1295073', 'title': 'Chesapeake Science'}",datums,Vertical Zonation and Niche Breadth of Tidal Marsh Plants Along the Northeast Pacific Coast,
dataset-622,10.1007/978-3-030-18177-2_16,,datums,Training in the Aeronautic Industry for Geometrical Quality Control and Large Scale Metrology,
dataset-622,10.1007/978-3-030-12346-8_45,,datums,The Influence of Build Orientation on the Flatness Error in Artifact Produced by Direct Metal Laser Sintering (DMLS) Process,
dataset-622,10.1007/978-3-030-18180-2,,datums,"Proceedings of the 4th International Conference on the Industry 4.0 Model for Advanced Manufacturing, AMP 2019",https://link.springer.com/content/pdf/bfm%3A978-3-030-18180-2%2F1.pdf
dataset-622,10.1007/978-981-15-1699-3_4,,datums,Outlier Detection Based Accurate Geocoding of Historical Addresses,
dataset-622,10.1007/978-3-319-93587-4_6,,datums,Technological Assurance of Complex Parts Manufacturing,
dataset-622,10.1007/978-981-15-1699-3,,datums,"Data Mining, 17th Australasian Conference, AusDM 2019, Adelaide, SA, Australia, December 2–5, 2019, Proceedings",
dataset-622,10.1016/j.proci.2018.07.067,"{'id': 'jour.1048348', 'title': 'Proceedings of the Combustion Institute'}",datums,The stability of laminar explosion flames,
dataset-622,10.1016/b978-0-12-409548-9.11060-7,,datums,Intra-Americas Sea☆,
dataset-622,10.1007/978-3-030-26354-6,,datums,"Advances in Swarm Intelligence, 10th International Conference, ICSI 2019, Chiang Mai, Thailand, July 26–30, 2019, Proceedings, Part II",
dataset-622,10.1007/978-3-030-03635-5_1,,datums,The Rise of 3D in Maritime Archaeology,https://link.springer.com/content/pdf/10.1007%2F978-3-030-03635-5_1.pdf
dataset-622,10.1007/978-3-030-18177-2_24,,datums,Constrained Least-Squares Fitting for Tolerancing and Metrology,
dataset-622,10.1007/978-3-319-94785-3_2,,datums,Positioning,
dataset-622,10.1007/978-3-319-93806-6_309,,datums,Tafone,
dataset-622,10.1016/j.procir.2019.04.255,Procedia CIRP,datums,Design for metrology for freeform optics manufacturing,http://dx.doi.org/10.1016/j.procir.2019.04.255
dataset-622,10.1007/978-3-319-89421-8_2,,datums,"Fission-Track Analysis: Field Collection, Sample Preparation and Data Acquisition",https://link.springer.com/content/pdf/10.1007%2F978-3-319-89421-8_2.pdf
dataset-622,10.4337/9781784717254.00016,,datums,The UK and the UCH Convention,
dataset-622,10.1007/978-3-030-11500-5,,datums,"Relativistic Geodesy, Foundations and Applications",https://link.springer.com/content/pdf/bfm%3A978-3-030-11500-5%2F1.pdf
dataset-622,10.1007/978-3-319-95318-2,,datums,"International Symposium on Gravity, Geoid and Height Systems 2016, Proceedings Organized by IAG Commission 2 and the International Gravity Field Service, Thessaloniki, Greece, September 19-23, 2016",
dataset-622,10.1007/978-3-319-69395-8,,datums,Designing Electronic Product Enclosures,
dataset-622,10.1007/978-3-030-04750-4_16,,datums,The Pervasive Challenge of Error and Uncertainty in Geospatial Data,
dataset-622,10.1007/978-3-030-18408-7_1,,datums,"Connecting Population, Health and Place with Geospatial Tools and Data",
dataset-622,10.1007/978-3-319-93587-4,,datums,"Advances in Design, Simulation and Manufacturing, Proceedings of the International Conference on Design, Simulation, Manufacturing: The Innovation Exchange, DSMIE-2018, June 12-15, 2018, Sumy, Ukraine",
dataset-622,10.1007/978-3-030-18177-2,,datums,"Proceedings of the 12th International Conference on Measurement and Quality Control - Cyber Physical Issue, IMEKO TC 14 2019",https://link.springer.com/content/pdf/bfm%3A978-3-030-18177-2%2F1.pdf
dataset-622,10.1007/978-3-030-35333-9_15,,datums,Constraining the Implementation Through Architectural Security Rules: An Expert Study,
dataset-622,10.1007/978-3-030-11500-5_2,,datums,Chronometric Geodesy: Methods and Applications,http://arxiv.org/pdf/1804.09506
dataset-622,10.1071/aj18034,"{'id': 'jour.1270118', 'title': 'The APPEA Journal'}",datums,Rigorous gas field production data analysis,
dataset-622,10.1071/aj18071,"{'id': 'jour.1270118', 'title': 'The APPEA Journal'}",datums,"Integration of biostratigraphy into a sequence stratigraphic framework for the Surat Basin, eastern Australia",
dataset-622,10.1007/978-3-030-12346-8,,datums,"Advances on Mechanics, Design Engineering and Manufacturing II, Proceedings of the International Joint Conference on Mechanics, Design Engineering & Advanced Manufacturing (JCM 2018)",
dataset-622,10.1007/978-3-030-03017-9,,datums,"Environmental Geoinformatics, Extreme Hydro-Climatic and Food Security Challenges: Exploiting the Big Data",
dataset-622,10.1007/978-3-319-93806-6_200,,datums,Machair,
dataset-622,10.1016/j.cirp.2019.04.068,"{'id': 'jour.1137140', 'title': 'CIRP Annals'}",datums,Effect of form errors on the positioning precision of over-constrained systems,
dataset-622,10.1007/978-3-319-93806-6_130,,datums,Economics of Beaches,
dataset-622,10.1109/tkde.2019.2904068,"{'id': 'jour.1131238', 'title': 'IEEE Transactions on Knowledge and Data Engineering'}",datums,Learning Distilled Graph for Large-scale Social Network Data Clustering,
dataset-622,10.1016/b978-0-12-409548-9.12013-5,,datums,End-Triassic Extinctions,
dataset-622,10.1007/978-3-030-26354-6_19,,datums,Parkinson Disease Analysis Using Supervised and Unsupervised Techniques,
dataset-622,10.1016/j.procir.2019.04.242,Procedia CIRP,datums,Closed loop geometrical tolerance engineering with measuring data for reverse information processing,http://dx.doi.org/10.1016/j.procir.2019.04.242
dataset-622,10.1071/aj18067,"{'id': 'jour.1270118', 'title': 'The APPEA Journal'}",datums,"Revisions to the chronostratigraphic framework of the Upper Jurassic Walloon Coal Measures of the Surat Basin, Australia",
dataset-622,10.1016/b978-0-08-102391-4.00007-1,,datums,7 Standardization,
dataset-622,10.1007/978-3-030-18177-2_20,,datums,On the Association of Datums and Measurements Using Conventional Measuring Devices - Topics Within the GPS Toolbox Project,
dataset-622,10.1016/j.procir.2019.04.240,Procedia CIRP,datums,Design for Metrology – a new idea?,http://dx.doi.org/10.1016/j.procir.2019.04.240
dataset-622,10.1016/b978-0-444-63893-9.00030-7,,datums,Chapter 30 Living Shorelines for Coastal Resilience,
dataset-622,10.5334/oq.49,Open Quaternary,datums,"Testing the Utility of Geochemical Proxies to Reconstruct Holocene Coastal Environments and Relative Sea Level: A Case Study from Hungry Bay, Bermuda",http://www.openquaternary.com/articles/10.5334/oq.49/galley/65/download/
dataset-622,10.1007/978-3-319-93806-6_147,,datums,Geochronology,
