rank,publication_id,doi,pmid,pmcid,title,source_title,anthology_title,publisher,mesh_terms,pubyear,volume,issue,pagination,open_access,publication_type,authors,authors_affiliations,research_organizations_-_standardized,grid_ids,city_of_research_organization,state_of_research_organization,country_of_research_organization,funder,funder_group,funder_country,uids_of_supporting_grants,supporting_grants,times_cited,recent_citations,rcr,fcr,source_linkout,dimensions_url,for_(anzsrc)_categories,for_1,for_2,for_3,for_4,for_5,rcdc_categories,rcdc_1,rcdc_2,rcdc_3,rcdc_4,rcdc_5,hrcs_hc_categories,hrcs_hc_1,hrcs_hc_2,hrcs_hc_3,hrcs_hc_4,hrcs_hc_5,hrcs_rac_categories,hrcs_rac_1,hrcs_rac_2,hrcs_rac_3,hrcs_rac_4,hrcs_rac_5,health_research_areas,broad_research_areas,icrp_cancer_types,icrp_cancer_types_1,icrp_cancer_types_2,icrp_cancer_types_3,icrp_cancer_types_4,icrp_cancer_types_5,icrp_cso_categories,icrp_cso_1,icrp_cso_2,icrp_cso_3,icrp_cso_4,icrp_cso_5,domain,search_note,norm_rank
129,pub.1100193942,10.2337/dc17-1812,29301822,PMC5911783,Unstable Housing and Diabetes-Related Emergency Department Visits and Hospitalization: A Nationally Representative Study of Safety-Net Clinic Patients,Diabetes Care,,American Diabetes Association,"Adult; Aged; Cross-Sectional Studies; Diabetes Mellitus; Emergency Medical Services; Emergency Service, Hospital; Female; Homeless Persons; Hospitalization; Housing; Humans; Male; Middle Aged; Patient Acceptance of Health Care; Safety-net Providers; Surveys and Questionnaires; Young Adult",2018,41,5,dc171812,Closed,article,"Berkowitz, Seth A; Kalkhoran, Sara; Edwards, Samuel T; Essien, Utibe R; Baggett, Travis P","Berkowitz, Seth A (Massachusetts General Hospital; Harvard University; University of North Carolina at Chapel Hill); Kalkhoran, Sara (Massachusetts General Hospital; Harvard University); Edwards, Samuel T (Oregon Health & Science University); Essien, Utibe R (Massachusetts General Hospital; Harvard University); Baggett, Travis P (Massachusetts General Hospital; Harvard University; Boston Health Care for the Homeless Program)",Harvard University; Massachusetts General Hospital; Boston Health Care for the Homeless Program; University of North Carolina at Chapel Hill; Oregon Health & Science University,grid.38142.3c; grid.32224.35; grid.427661.0; grid.10698.36; grid.5288.7,Cambridge; Boston; Boston; Chapel Hill; Portland,Massachusetts; Massachusetts; Massachusetts; North Carolina; Oregon,United States; United States; United States; United States; United States,National Institute on Drug Abuse; National Institute of Diabetes and Digestive and Kidney Diseases,NIH,United States; United States,grant.5503476; grant.2418635,K23DK109200; K23DA034008,4,4,0,0,,https://app.dimensions.ai/details/publication/pub.1100193942,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research; Diabetes; Patient Safety; Health Services; Behavioral and Social Science,Clinical Research,Diabetes,Patient Safety,Health Services,Behavioral and Social Science,Metabolic and Endocrine,Metabolic and Endocrine,,,,,,,,,,,Health services & systems,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.227513228
129,pub.1108057175,10.1016/j.jneb.2018.07.008,30414667,,Communicating and Assessing Physical Activity: Outcomes From Cognitive Interviews With Low-Income Adults,Journal of Nutrition Education and Behavior,,Elsevier,,2018,50,10,984-992,Closed,article,"Li, Cheng; Auld, Garry; D'Alonzo, Karen; Palmer-Keenan, Debra","Li, Cheng (Rutgers University); Auld, Garry (Colorado State University); D'Alonzo, Karen (Rutgers University); Palmer-Keenan, Debra (Rutgers University)",Rutgers University; Colorado State University,grid.430387.b; grid.47894.36,New Brunswick; Fort Collins,New Jersey; Colorado,United States; United States,National Institute of Food and Agriculture,USDA,United States,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1108057175,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention; Clinical Research; Behavioral and Social Science; Nutrition; Basic Behavioral and Social Science,Prevention,Clinical Research,Behavioral and Social Science,Nutrition,Basic Behavioral and Social Science,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.227513228
129,pub.1023558213,10.1002/pam.21885,,,SUPPLEMENTING TANF'S WORK REQUIREMENT: A COMPROMISE,Journal of Policy Analysis and Management,,Wiley,,2016,35,1,238-240,Closed,article,"Haskins, Ron","Haskins, Ron ()",,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1023558213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.227513228
127,pub.1029479985,10.1001/archpedi.159.6.551,15939854,,Subsidized Housing and Children's Nutritional Status: Data From a Multisite Surveillance Study,JAMA Pediatrics,,American Medical Association (AMA),"Body Weight; Child Nutritional Physiological Phenomena; Child, Preschool; Cross-Sectional Studies; Food Supply; Health Status; Humans; Multivariate Analysis; Nutritional Status; Population Surveillance; Poverty; Public Housing; United States",2005,159,6,551-556,All OA; Bronze,article,"Meyers, Alan; Cutts, Diana; Frank, Deborah A.; Levenson, Suzette; Skalicky, Anne; Heeren, Timothy; Cook, John; Berkowitz, Carol; Black, Maureen; Casey, Patrick; Zaldivar, Nieves","Meyers, Alan (Boston Medical Center); Cutts, Diana (Hennepin County Medical Center); Frank, Deborah A. (Boston Medical Center); Levenson, Suzette (Boston University); Skalicky, Anne (Boston Medical Center); Heeren, Timothy (Boston University); Cook, John (Boston Medical Center); Berkowitz, Carol (); Black, Maureen (University of Maryland, Baltimore); Casey, Patrick (University of Arkansas for Medical Sciences); Zaldivar, Nieves ()","University of Maryland, Baltimore; Hennepin County Medical Center; Boston University; Boston Medical Center; University of Arkansas for Medical Sciences",grid.411024.2; grid.414021.2; grid.189504.1; grid.239424.a; grid.241054.6,Baltimore; Minneapolis; Boston; Boston; Little Rock,Maryland; Minnesota; Massachusetts; Massachusetts; Arkansas,United States; United States; United States; United States; United States,W.K. Kellogg Foundation; John A. Hartford Foundation,,United States; United States,,,60,11,1.45,4.69,https://jamanetwork.com/journals/jamapediatrics/articlepdf/486034/POA40260.pdf,https://app.dimensions.ai/details/publication/pub.1029479985,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Pediatric; Behavioral and Social Science; Clinical Research; Basic Behavioral and Social Science,Nutrition,Pediatric,Behavioral and Social Science,Clinical Research,Basic Behavioral and Social Science,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.223985891
127,pub.1013472818,10.1016/j.appet.2016.03.006,26970294,,Food-related behavior and intake of adult main meal preparers of 9–10 year-old children participating in iCook 4-H: A five-state childhood obesity prevention pilot study,Appetite,,Elsevier,Adult; Body Mass Index; Body Weight; Child; Child Behavior; Choice Behavior; Cooking; Diet; Eating; Educational Status; Exercise; Fast Foods; Female; Food Preferences; Fruit; Fruit and Vegetable Juices; Health Behavior; Health Promotion; Healthy Diet; Humans; Income; Male; Meals; Middle Aged; Nutrition Surveys; Parent-Child Relations; Pediatric Obesity; Pilot Projects; Surveys and Questionnaires; United States; Vegetables; Whole Grains,2016,101,,163-170,All OA; Bronze,article,"Miller, Ashley; Franzen-Castle, Lisa; Aguirre, Trina; Krehbiel, Michelle; Colby, Sarah; Kattelmann, Kendra; Olfert, Melissa D.; Mathews, Douglas; White, Adrienne","Miller, Ashley (University of Nebraska–Lincoln); Franzen-Castle, Lisa (University of Nebraska–Lincoln); Aguirre, Trina (University of Nebraska Medical Center); Krehbiel, Michelle (University of Nebraska–Lincoln); Colby, Sarah (University of Tennessee at Knoxville); Kattelmann, Kendra (South Dakota State University); Olfert, Melissa D. (West Virginia University); Mathews, Douglas (University of Maine); White, Adrienne (University of Maine)",University of Maine; University of Nebraska Medical Center; University of Tennessee at Knoxville; West Virginia University; South Dakota State University; University of Nebraska–Lincoln,grid.21106.34; grid.266813.8; grid.411461.7; grid.268154.c; grid.263791.8; grid.24434.35,Orono; Omaha; Knoxville; Morgantown; Brookings; Lincoln,Maine; Nebraska; Tennessee; West Virginia; South Dakota; Nebraska,United States; United States; United States; United States; United States; United States,National Institute of Food and Agriculture,USDA,United States,grant.3825958,2012-68001-19605,12,11,1.59,4.26,https://manuscript.elsevier.com/S0195666316300952/pdf/S0195666316300952.pdf,https://app.dimensions.ai/details/publication/pub.1013472818,1117 Public Health and Health Services; 1701 Psychology,1117 Public Health and Health Services,1701 Psychology,,,,Nutrition; Prevention; Behavioral and Social Science; Clinical Research; Obesity,Nutrition,Prevention,Behavioral and Social Science,Clinical Research,Obesity,Cardiovascular; Oral and Gastrointestinal; Stroke; Metabolic and Endocrine; Cancer,Cardiovascular,Oral and Gastrointestinal,Stroke,Metabolic and Endocrine,Cancer,3.1 Primary prevention interventions to modify behaviours or promote well-being,3.1 Primary prevention interventions to modify behaviours or promote well-being,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.223985891
126,pub.1090391207,10.1215/03616878-3940468,28663176,,"People, Places, Power: Medicaid Concentration and Local Political Participation",Journal of Health Politics Policy and Law,,Duke University Press,Health Policy; Humans; Medicaid; Political Activism; Politics; United States,2017,42,5,865-900,Closed,article,"Michener, Jamila D","Michener, Jamila D (Cornell University)",Cornell University,grid.5386.8,Ithaca,New York,United States,,,,,,7,7,1.48,8.19,,https://app.dimensions.ai/details/publication/pub.1090391207,1606 Political Science; 1605 Policy and Administration,1606 Political Science,1605 Policy and Administration,,,,,,,,,,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.222222222
126,pub.1093024753,10.1353/hpu.2017.0134,29176115,,The Cost-effectiveness Analysis of Nurse-Family Partnership in the United States,Journal of Health Care for the Poor and Underserved,,Johns Hopkins University Press,"Child, Preschool; Cohort Studies; Cost-Benefit Analysis; Family Nursing; Female; Health Policy; Humans; Infant; Infant, Newborn; Maternal-Child Nursing; Pregnancy; Professional-Family Relations; Program Evaluation; Quality-Adjusted Life Years; United States",2017,28,4,1578-1597,Closed,article,"Wu, Jinjing; Dean, Kelsey S.; Rosen, Zohn; Muennig, Peter A.","Wu, Jinjing (); Dean, Kelsey S. (); Rosen, Zohn (); Muennig, Peter A. ()",,,,,,,,,,,2,2,0.78,1.4,,https://app.dimensions.ai/details/publication/pub.1093024753,1117 Public Health and Health Services; 1402 Applied Economics,1117 Public Health and Health Services,1402 Applied Economics,,,,Pediatric; Clinical Research; Cost Effectiveness Research; Prevention,Pediatric,Clinical Research,Cost Effectiveness Research,Prevention,,,,,,,,,,,,,,Health services & systems,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.222222222
125,pub.1111098291,10.1097/htr.0000000000000458,30608307,,Healthcare Utilization and Missed Workdays for Parents of Children With Traumatic Brain Injury,Journal of Head Trauma Rehabilitation,,Wolters Kluwer,,2019,Publish Ahead of Print,&NA;,&na;,Closed,article,"Nelson, Richard E.; Ma, Junjie; Cheng, Yan; Ewing-Cobbs, Linda; Clark, Amy; Keenan, Heather","Nelson, Richard E. (); Ma, Junjie (); Cheng, Yan (); Ewing-Cobbs, Linda (); Clark, Amy (); Keenan, Heather ()",,,,,,Centers for Disease Control and Prevention; National Center for Injury Prevention and Control,CDC,United States; United States,grant.2689331,U01CE002188,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1111098291,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Injury - Traumatic brain injury; Injury (total) Accidents/Adverse Effects; Injury - Unintentional Childhood Injury; Brain Disorders; Clinical Research; Injury - Trauma - (Head and Spine); Pediatric; Injury - Childhood Injuries,Injury - Traumatic brain injury,Injury (total) Accidents/Adverse Effects,Injury - Unintentional Childhood Injury,Brain Disorders,Clinical Research,Injuries and Accidents,Injuries and Accidents,,,,,,,,,,,Clinical,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.220458554
122,pub.1003969424,10.1016/j.cedpsych.2016.01.004,28943708,PMC5603312,Executive functioning deficits increase kindergarten children's risk for reading and mathematics difficulties in first grade,Contemporary Educational Psychology,,Elsevier,,2017,50,Journal of Marriage and Family 67 2005,23-32,Closed,article,"Morgan, Paul L.; Li, Hui; Farkas, George; Cook, Michael; Pun, Wik Hung; Hillemeier, Marianne M.","Morgan, Paul L. (Pennsylvania State University); Li, Hui (Pennsylvania State University); Farkas, George (University of California, Irvine); Cook, Michael (Pennsylvania State University); Pun, Wik Hung (Pennsylvania State University); Hillemeier, Marianne M. (Pennsylvania State University)","Pennsylvania State University; University of California, Irvine",grid.29857.31; grid.266093.8,State College; Irvine,Pennsylvania; California,United States; United States,National Institute of Child Health and Human Development,NIH,United States,grant.2621392; grant.6377442,R24HD041025; P2CHD041025,7,7,1.4,4.43,,https://app.dimensions.ai/details/publication/pub.1003969424,1701 Psychology,1701 Psychology,,,,,Behavioral and Social Science; Pediatric; Basic Behavioral and Social Science; Mental Health,Behavioral and Social Science,Pediatric,Basic Behavioral and Social Science,Mental Health,,Mental Health,Mental Health,,,,,,,,,,,Clinical,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.215167549
121,pub.1067826905,10.1542/peds.2008-0286,18829785,,"A Brief Indicator of Household Energy Security: Associations With Food Security, Child Health, and Child Development in US Infants and Toddlers",Pediatrics,,American Academy of Pediatrics (AAP),"Child Development; Child Welfare; Child, Preschool; Cross-Sectional Studies; Energy-Generating Resources; Family Characteristics; Female; Food Supply; Humans; Infant; Male; Nutritional Status; Public Assistance; Retrospective Studies; Risk Factors; United States",2008,122,4,e867-e875,Closed,article,"Cook, John T.; Frank, Deborah A.; Casey, Patrick H.; Rose-Jacobs, Ruth; Black, Maureen M.; Chilton, Mariana; deCuba, Stephanie Ettinger; Appugliese, Danielle; Coleman, Sharon; Heeren, Timothy; Berkowitz, Carol; Cutts, Diana B.","Cook, John T. (Boston Medical Center); Frank, Deborah A. (Boston Medical Center); Casey, Patrick H. (University of Arkansas for Medical Sciences); Rose-Jacobs, Ruth (Boston Medical Center); Black, Maureen M. (University of Maryland, Baltimore); Chilton, Mariana (Drexel University); deCuba, Stephanie Ettinger (Boston University); Appugliese, Danielle (Boston University); Coleman, Sharon (Boston University); Heeren, Timothy (Boston University); Berkowitz, Carol (Harbor–UCLA Medical Center); Cutts, Diana B. (Hennepin County Medical Center)","Boston University; Hennepin County Medical Center; University of Arkansas for Medical Sciences; Harbor–UCLA Medical Center; Boston Medical Center; University of Maryland, Baltimore; Drexel University",grid.189504.1; grid.414021.2; grid.241054.6; grid.239844.0; grid.239424.a; grid.411024.2; grid.166341.7,Boston; Minneapolis; Little Rock; Torrance; Boston; Baltimore; Philadelphia,Massachusetts; Minnesota; Arkansas; California; Massachusetts; Maryland; Pennsylvania,United States; United States; United States; United States; United States; United States; United States,W.K. Kellogg Foundation; John A. Hartford Foundation,,United States; United States,,,59,13,1.29,5.29,,https://app.dimensions.ai/details/publication/pub.1067826905,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention; Pediatric; Behavioral and Social Science; Clinical Research,Prevention,Pediatric,Behavioral and Social Science,Clinical Research,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.21340388
121,pub.1016463777,10.1016/j.dhjo.2013.03.002,24060251,,Health care expenditures among working-age adults with physical disabilities: Variations by disability spans,Disability and Health Journal,,Elsevier,"Adolescent; Adult; Delivery of Health Care; Disabled Persons; Female; Health Expenditures; Humans; Insurance, Health; Male; Middle Aged; Reference Values; Young Adult",2013,6,4,287-296,Closed,article,"Pumkam, Chaiporn; Probst, Janice C.; Bennett, Kevin J.; Hardin, James; Xirasagar, Sudha","Pumkam, Chaiporn (University of South Carolina); Probst, Janice C. (University of South Carolina); Bennett, Kevin J. (University of South Carolina); Hardin, James (University of South Carolina); Xirasagar, Sudha (University of South Carolina)",University of South Carolina,grid.254567.7,Columbia,South Carolina,United States,,,,,,14,7,1.07,2.2,,https://app.dimensions.ai/details/publication/pub.1016463777,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Aging,Aging,,,,,,,,,,,,,,,,,Health services & systems,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.21340388
121,pub.1083739480,10.1111/cdev.12753,28186327,,The Development of Spatial Skills in Elementary School Students,Child Development,,Wiley,"Academic Success; Child; Child Development; Female; Humans; Longitudinal Studies; Male; Mathematics; Memory, Short-Term; Pattern Recognition, Visual; Sex Factors; Social Class; Space Perception; Verbal Learning",2018,89,2,446-460,All OA; Bronze,article,"Carr, Martha; Alexeev, Natalia; Wang, Lu; Barned, Nicole; Horan, Erin; Reed, Adam","Carr, Martha (University of Georgia); Alexeev, Natalia (University of Georgia); Wang, Lu (Ball State University); Barned, Nicole (University of Georgia); Horan, Erin (University of Georgia); Reed, Adam (University of Georgia)",University of Georgia; Ball State University,grid.213876.9; grid.252754.3,Athens; Muncie,Georgia; Indiana,United States; United States,Institute of Education Sciences,,United States,,,6,6,0,0,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cdev.12753,https://app.dimensions.ai/details/publication/pub.1083739480,1701 Psychology,1701 Psychology,,,,,Basic Behavioral and Social Science; Behavioral and Social Science,Basic Behavioral and Social Science,Behavioral and Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.21340388
120,pub.1003041892,10.1016/j.chiabu.2015.07.006,26234784,,Childhood adversity and behavioral health outcomes for youth: An investigation using state administrative data,Child Abuse & Neglect,,Elsevier,Adolescent; Child; Child Abuse; Child of Impaired Parents; Crime; Domestic Violence; Female; Homeless Persons; Humans; Logistic Models; Male; Mental Disorders; Parental Death; Parents; Risk Factors; Substance-Related Disorders; United States,2015,47,,48-58,Closed,article,"Lucenko, Barbara A; Sharkova, Irina V; Huber, Alice; Jemelka, Ron; Mancuso, David","Lucenko, Barbara A (Washington Department of Social and Health Services); Sharkova, Irina V (Washington Department of Social and Health Services); Huber, Alice (); Jemelka, Ron (Washington Department of Social and Health Services); Mancuso, David (Washington Department of Social and Health Services)",Washington Department of Social and Health Services,grid.422519.9,Olympia,Washington,United States,,,,,,8,7,0.9,1.99,,https://app.dimensions.ai/details/publication/pub.1003041892,1117 Public Health and Health Services; 1607 Social Work; 1701 Psychology,1117 Public Health and Health Services,1607 Social Work,1701 Psychology,,,Mental Health; Youth Violence; Brain Disorders; Child Abuse and Neglect Research; Clinical Research; Basic Behavioral and Social Science; Prevention; Behavioral and Social Science; Violence Research; Pediatric; Pediatric Research Initiative,Mental Health,Youth Violence,Brain Disorders,Child Abuse and Neglect Research,Clinical Research,Mental Health,Mental Health,,,,,"2.3 Psychological, social and economic factors; 7.1 Individual care needs","2.3 Psychological, social and economic factors",7.1 Individual care needs,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.211640212
120,pub.1005249751,10.1016/j.chiabu.2016.06.004,27318034,PMC4936919,"Intersections of family homelessness, CPS involvement, and race in Alameda County, California",Child Abuse & Neglect,,Elsevier,"Adolescent; Adult; California; Child Protective Services; Child, Preschool; Family Characteristics; Female; Homeless Persons; Humans; Infant; Infant, Newborn; Male; Middle Aged; Young Adult",2016,57,,41-52,"All OA; Green, Accepted",article,"Rodriguez, Jason M.; Shinn, Marybeth","Rodriguez, Jason M. (Vanderbilt University); Shinn, Marybeth (Vanderbilt University)",Vanderbilt University,grid.152326.1,Nashville,Tennessee,United States,United States Department of Housing and Urban Development; Abt Associates (United States); National Institute of Child Health and Human Development,NIH,United States; United States; United States,grant.2528251,R01HD066082,4,3,1.1,1.3,http://europepmc.org/articles/pmc4936919?pdf=render,https://app.dimensions.ai/details/publication/pub.1005249751,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Drug Abuse (NIDA Only); Behavioral and Social Science; Substance Abuse; Homelessness,Drug Abuse (NIDA Only),Behavioral and Social Science,Substance Abuse,Homelessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.211640212
120,pub.1110398023,10.1007/s13524-018-0744-x,30519845,PMC6396831,"Prevalence and Risk Factors for Early Motherhood Among Low-Income, Maltreated, and Foster Youth",Demography,,Springer Nature,,2019,56,1,261-284,Closed,article,"Font, Sarah A.; Cancian, Maria; Berger, Lawrence M.","Font, Sarah A. (Pennsylvania State University); Cancian, Maria (University of Wisconsin–Madison); Berger, Lawrence M. (University of Wisconsin–Madison)",University of Wisconsin–Madison; Pennsylvania State University,grid.14003.36; grid.29857.31,Madison; State College,Wisconsin; Pennsylvania,United States; United States,National Institute of Child Health and Human Development,NIH,United States,grant.6377442; grant.6618769,P2CHD041025; R21HD091459,2,2,0,0,,https://app.dimensions.ai/details/publication/pub.1110398023,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Youth Violence; Pediatric Research Initiative; Pediatric; Violence Research; Behavioral and Social Science; Prevention,Youth Violence,Pediatric Research Initiative,Pediatric,Violence Research,Behavioral and Social Science,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.211640212
120,pub.1007926299,10.1002/pam.21646,23074718,,Natalist Policies in the United States,Journal of Policy Analysis and Management,,Wiley,"Abortion, Induced; Age Factors; Child; Child Care; Family Characteristics; Family Planning Policy; Family Planning Services; Female; Fertility; Health Services Accessibility; Humans; Insurance Coverage; Marital Status; Medicaid; Public Assistance; Public Policy; Reproductive Behavior; Reproductive Techniques, Assisted; Social Welfare; Socioeconomic Factors; State Government; Taxes; United States",2012,31,4,905-946,Closed,article,"Lopoo, Leonard M; Raissian, Kerri M","Lopoo, Leonard M (Syracuse University); Raissian, Kerri M ()",Syracuse University,grid.264484.8,Syracuse,New York,United States,National Institute of Child Health and Human Development,NIH,United States,grant.2575311,R03HD060783,13,4,0.16,4.28,,https://app.dimensions.ai/details/publication/pub.1007926299,1402 Applied Economics; 1605 Policy and Administration,1402 Applied Economics,1605 Policy and Administration,,,,Behavioral and Social Science; Contraception/Reproduction; Basic Behavioral and Social Science,Behavioral and Social Science,Contraception/Reproduction,Basic Behavioral and Social Science,,,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.211640212
120,pub.1083811996,10.1177/0886260517691519,29294647,,Depression and Intimate Partner Violence Among African American Women Living in Impoverished Inner-City Neighborhoods,Journal of Interpersonal Violence,,SAGE Publications,,2017,0,0,8.86E+13,Closed,article,"Mugoya, George C. T.; Witte, Tricia; Bolland, Anneliese; Tomek, Sara; Hooper, Lisa M.; Bolland, John; Dalmida, Safiya George","Mugoya, George C. T. (University of Alabama, Tuscaloosa); Witte, Tricia (University of Alabama, Tuscaloosa); Bolland, Anneliese (University of Alabama, Tuscaloosa); Tomek, Sara (University of Alabama, Tuscaloosa); Hooper, Lisa M. (University of Louisville); Bolland, John (University of Alabama, Tuscaloosa); Dalmida, Safiya George (University of Alabama, Tuscaloosa)","University of Alabama, Tuscaloosa; University of Louisville",grid.411015.0; grid.266623.5,Tuscaloosa; Louisville,Alabama; Kentucky,United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1083811996,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Brain Disorders; Mental Health; Violence Research; Violence Against Women; Depression; Behavioral and Social Science; Clinical Research; Pediatric,Brain Disorders,Mental Health,Violence Research,Violence Against Women,Depression,Mental Health,Mental Health,,,,,"2.3 Psychological, social and economic factors","2.3 Psychological, social and economic factors",,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.211640212
119,pub.1035825932,10.1353/foc.2015.0012,26929590,PMC4768758,Cohabitation and Child Wellbeing,The Future of Children,,Johns Hopkins University Press,Adolescent; Child; Child Welfare; Family Characteristics; Female; Humans; Male; Marriage; Mothers; Parents; Pregnancy; Sexual Partners,2015,25,2,51-66,"All OA; Green, Accepted",article,"Manning, Wendy D","Manning, Wendy D ()",,,,,,National Institute of Child Health and Human Development,NIH,United States,grant.2621421,R24HD050959,17,14,0.75,5.84,http://europepmc.org/articles/pmc4768758?pdf=render,https://app.dimensions.ai/details/publication/pub.1035825932,1701 Psychology; 1603 Demography,1701 Psychology,1603 Demography,,,,Behavioral and Social Science; Pediatric; Clinical Research,Behavioral and Social Science,Pediatric,Clinical Research,,,,,,,,,1.2 Psychological and socioeconomic processes,1.2 Psychological and socioeconomic processes,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.209876543
119,pub.1032830532,10.1017/s1049096516002067,,,President Obama and the American Welfare State: Transformation or Punctuation?,Political Science and Politics,,Cambridge University Press (CUP),,2017,50,1,35-39,Closed,article,"Conley, Richard S.","Conley, Richard S. (University of Florida)",University of Florida,grid.15276.37,Gainesville,Florida,United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1032830532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.209876543
