title	url	dataset
Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel		BISTA, CSDB, SHS-BASE, GUV, ZISTA
A new perspective on the interest rate pass-through to non-maturing accounts		ZISTA
CDS and Credit: Testing the Small Bang Theory of the Financial Universe with Micro Data	https://ssrn.com/abstract=2607909	
Precautionary motives in short-term cash management: Evidence from German POS transactions	https://ssrn.com/abstract=2796927	
The Role of Structural Funding for Stability in the German Banking Sector	https://ssrn.com/abstract=2929408	
Bank stress testing under different balance sheet assumptions	https://ssrn.com/abstract=2956676	
Moral Suasion in Regional Government Bond Markets	https://ssrn.com/abstract=3083988	
Quantitative Easing, Portfolio Rebalancing and Credit Growth: Micro Evidence from Germany	https://ssrn.com/abstract=3234184	
A stress test framework for the German residential mortgage market - Methodology and Application		
Banks' Trading after the Lehman Crisis - The Role of Unconventional Monetary Policy		
