bbk_dataset_y,doi,journal,title,dataset,,,
ZentK,,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking,dataset-386,,,
MIMIK,,BBk Discussion Paper,Stress testing of real credit portfolios,dataset-005,,,
IFS-BASE,,BBk Discussion Paper,Sturm und Drang in money market funds: when money market funds cease to be narrow,dataset-383,,,
BISTA,,BBk Discussion Paper,Tax incentives and capital structure choice: Evidence from Germany,dataset-013,,,
MIDI,,ZEW Discussion Paper (No. 18-004),Tax Influence on Financial Structures of M&As,dataset-008,,,
MIDI,, Finanzarchiv,Tax Status and Tax Response Heterogeneity of Multinationals' Debt Finance,dataset-008,,,
MIDI,,Working Paper,Tax Status and Tax Response Heterogeneity of Multinationals’ Dept Finance,dataset-008,,,
MIDI,,"CESifo Working Paper Series No. 5500, available at SSRN Electronic Journal: https://ssrn.com/abstract=2669368","Tax vs. Regulation Policy and the Location of ,Financial Sector FDI*",dataset-008,,,
MIDI,, Economics Letters,Taxation and Capital Structure Choice – Evidence from a Panel of German Multinationals,dataset-008,,,
MIDI,, Review of World Economics (Weltwirtschaftliches Archiv) ,Taxes and the financial structure of German inward FDI,dataset-008,,,
MIDI,,Working Paper,Taxes and the financial structure of German outbound FDI,dataset-008,,,
BISTA,,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy,"dataset-013,dataset-385,dataset-012",,,
GUV,,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy,dataset-385,,,
ZISTA,,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy,dataset-012,,,
BISTA,,BBk Discussion Paper,Testing for Competition Among German Banks,"dataset-013,dataset-385",,,
GUV,,BBk Discussion Paper,Testing for Competition Among German Banks,dataset-385,,,
MIDI,,BBk Discussion Paper,Testing the O-ring theory for FDI,dataset-008,,,
BISTA,,BBk Discussion Paper,The cost efficiency of German banks: a comparison of SFA and DEA,"dataset-013,dataset-385",,,
GUV,,BBk Discussion Paper,The cost efficiency of German banks: a comparison of SFA and DEA,dataset-385,,,
MIMIK,,Journal of Financial Stability,The credit quality channel: Modeling contagion in the interbank market,dataset-005,,,
USTAN,,BBk Discussion Paper,The cross-section of firms over the business cycle: new facts and a DSGE exploration,dataset-003,,,
USTAN,,BBk Discussion Paper,The cross-sectional dynamics of German business cycles: a bird's eye view,dataset-003,,,
IFS-BASE,,BBk Discussion Paper,The dark and the bright side of liquidity risks: evidence from open-end real estate funds in Germany,dataset-383,,,
BISTA,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,"dataset-013,dataset-006,dataset-385",,,
BAKIS,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,dataset-006,,,
BISTA,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,dataset-013,,,
GUV,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,dataset-385,,,
SITS,,BBk Discussion Paper,The determinants of service imports: The role of cost pressure and financial constraints,"dataset-015,dataset-008",,,
MIDI,,BBk Discussion Paper,The determinants of service imports: The role of cost pressure and financial constraints,dataset-008,,,
MIDI,," WU International Taxation Research Paper Series (02/2017), available at SSRN Electronic Journal: https://ssrn.com/abstract=2929347)","The Effect of International Taxation on Organizational Form Choices: Evidence from Group Structures of Multinationals,International Taxation and the Role of Organizational Form,Choices for Group Structures of Multinationals",dataset-008,,,
MIDI,,BBk Discussion Paper,The Effect of Investing Abroad on Investment at Home,"dataset-008,dataset-003",,,
USTAN,,BBk Discussion Paper,The Effect of Investing Abroad on Investment at Home,dataset-003,,,
MIDI,,National Tax Journal,The Effects of Multinationals’ Profit Shifting Activities on Real Investments,dataset-008,,,
BISTA,,BBk Discussion Paper,The effects of privatization and consolidation on bank productivity: comparative evidence from Italy and Germany,"dataset-013,dataset-385",,,
GUV,,BBk Discussion Paper,The effects of privatization and consolidation on bank productivity: comparative evidence from Italy and Germany,dataset-385,,,
MIDI,, National Tax Journal,The effects of taxation on the location decision of multinational firms: M&A vs. Greenfield investments,dataset-008,,,
BISTA,,BBk Discussion Paper,The eurosystem money market auctions: a banking perspective,dataset-013,,,
BISTA,,BBk Discussion Paper,The Financial Market Effects of the ECB's Asset Purchase Programs,dataset-013,,,
BISTA,,Munich Discussion Paper,"The Good, the Bad, and the Ugly: Impact of Negative Interest Rates and QE on the Profitability and Risk-Taking of 1600 German Banks","dataset-013,dataset-385",,,
GUV,,Munich Discussion Paper,"The Good, the Bad, and the Ugly: Impact of Negative Interest Rates and QE on the Profitability and Risk-Taking of 1600 German Banks",dataset-385,,,
MIDI,,"International Tax and Public Finance, volume 16(3), pp. 298-320",The impact of nonprofit taxes on foreign direct investment: Evidence from German multinationals,dataset-008,,,
MIDI,,BBk Discussion Paper,The impact of thin-capitalization rules on multinationals' financing and investment decisions,dataset-008,,,
MIDI,,Journal of Public Economics,The Impact of Thin-Capitalization Rules on the Capital Structure of Multinational Firms,dataset-008,,,
BISTA,,BBk Discussion Paper,The implications of latent technology regimes for competition and efficiency in banking,dataset-013,,,
PaymentSurvey,,Journal of Official Statistics,The influence of an up-front experiment on respondents' recording behaviour in payment diaries: Evidence from Germany,dataset-004,,,
MIDI,,Journal of Macroeconomics,The Long Shadow of the Berlin Wall,dataset-008,,,
MIDI,,BBk Discussion Paper,The organization of knowledge in multinational firms,dataset-008,,,
BISTA,,Credit and Capital Markets,The payout behavior of German savings banks,dataset-013,,,
PHF,,BBk Discussion Paper,The PHF: A comprehensive panel survey on household finances and wealth in Germany,dataset-382,,,
BISTA,,BBk Discussion Paper,The price of liquidity: bank characteristics and market conditions,dataset-013,,,
AUSTA,, available at SSRN Electronic Journal: https://ssrn.com/abstract=31173,The Pricing of FX Forward Contracts: Micro Evidence from Banks' Dollar Hedging,"dataset-380,dataset-013",,,
BISTA,, available at SSRN Electronic Journal: https://ssrn.com/abstract=31173,The Pricing of FX Forward Contracts: Micro Evidence from Banks' Dollar Hedging,dataset-013,,,
MIMIK,,Journal of Banking and Finance,The role of interbank relationships and liquidity needs,"dataset-005,dataset-013",,,
BISTA,,Journal of Banking and Finance,The role of interbank relationships and liquidity needs,dataset-013,,,
MIDI,,Strategic Management Journal,The role of operational flexibility in the expansion of international production networks,dataset-008,,,
BISTA,,BBk Discussion Paper,The stability of efficiency rankings when risk-preferences and objectives are different,"dataset-013,dataset-385",,,
GUV,,BBk Discussion Paper,The stability of efficiency rankings when risk-preferences and objectives are different,dataset-385,,,
BISTA,,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy,"dataset-013,dataset-385,dataset-386",,,
GUV,,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy,dataset-385,,,
ZentK,,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy,dataset-386,,,
MIDI,,Canadian Journal of Economics,The taxation of passive foreign investment - Lessons from German experience,dataset-008,,,
MIDI,,Working Paper,The Taxation of Passive Foreign Investment: Lessons from German Experience,dataset-008,,,
MIDI,,BBk Discussion Paper,The use of tax havens in exemption regimes,dataset-008,,,
BAKIS,,BBk Discussion Paper,The winner's curse: Evidence on the danger of aggressive credit growth in banking,dataset-006,,,
USTAN,,BBk Discussion Paper,The within-distribution business cycle dynamics of German firms,dataset-003,,,
MIDI,,Working Paper,Thin-capitalization rules and company responses: Experience from German legislation,dataset-008,,,
USTAN,,BBk Discussion Paper,Time series properties of a rating system based on financial ratios,dataset-003,,,
MIDI,,BBk Discussion Paper,Trade balances of the central and east European EU member states and the role of foreign direct investment,dataset-008,,,
MIDI,,Beiträge zur Jahrestagung des Vereins für Socialpolitik,Transfer pricing as tax avoidance under different legislative schemes,"dataset-008,dataset-015",,,
SITS,,Beiträge zur Jahrestagung des Vereins für Socialpolitik,Transfer pricing as tax avoidance under different legislative schemes,dataset-015,,,
MIDI,,Working Paper,Transfer Pricing of Intrafirm Sales as a Profit Shifting Channel - Evidence from German Firm Data,dataset-008,,,
BISTA,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel","dataset-013,dataset-381,dataset-012,dataset-385,dataset-431",,,
VJKRE,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-381,,,
ZISTA,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-012,,,
GUV,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-385,,,
SHS-BASE,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-431,,,
PaymentSurvey,,"Journal of Money, Credit and Banking","Using cash to monitor liquidity: Implications for payments, currency demand and withdrawal behavior",dataset-004,,,
BAKIS,,Journal of Business Finance and Accounting,"Visible Reserves in Banks – Determinants of Initial Creation, Usage and Contribution to Bank Stability",dataset-006,,,
MIDI,,BBk Discussion Paper,Volatile multinationals? Evidence from the labor demand of German firms,dataset-008,,,
MIMIK,,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds,"dataset-005,dataset-431,dataset-383",,,
SHS-BASE,,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds,dataset-431,,,
IFS-BASE,,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds,dataset-383,,,
SHS-BASE,,BBk Discussion Paper,"Wealth shocks, credit-supply shocks, and asset allocation: Evidence from household and firm portfolios",dataset-431,,,
AUSTA,,IMF Economic Review,What Determines the Composition of International Bank Flows?,"dataset-380,dataset-013",,,
BISTA,,IMF Economic Review,What Determines the Composition of International Bank Flows?,dataset-013,,,
MIDI,,Working Paper,What determines the use of holding companies and ownership chains?,dataset-008,,,
AUSTA,,BBk Discussion Paper,What drives portfolio investments of German banks in emerging capital markets?,dataset-380,,,
MIMIK,,,What happens if private accounting information becomes public? The case of access to bank debt,"dataset-005,dataset-003",,,
USTAN,,,What happens if private accounting information becomes public? The case of access to bank debt,dataset-003,,,
BISTA,,BBk Discussion Paper,What macroeconomic shocks affect the German banking system? Analysis in an integrated micro-macro model,"dataset-013,dataset-434",,,
SRP,,BBk Discussion Paper,What macroeconomic shocks affect the German banking system? Analysis in an integrated micro-macro model,dataset-434,,,
MIDI,,European Economic Review,"Where Enterprises Lead, People Follow? Links Between Migration and German FDI",dataset-008,,,
BISTA,,International Journal of Banking Account and Finance,Which interest rate scenario is the worst one for a bank? Evidence from a tracking bank approach for German savings and cooperative banks,dataset-013,,,
MIDI,,The World Economy,Who Cares about Corporate Taxation? Asymmetric Tax Effects on Outbound FDI,dataset-008,,,
MIDI,,Working Paper,Who Goes East? The Impact of Enlargement on the Patterns of German FDI,dataset-008,,,
MIDI,,BBk Discussion Paper,Who is afraid of political risk? Multinational firms and their choice of capital structure,dataset-008,,,
SHS-BASE,,BBk Discussion Paper,Who trades on momentum?,dataset-431,,,
BAKIS,,BBk Discussion Paper,Why do banks bear interest rate risk?,"dataset-006,dataset-013,dataset-012",,,
BISTA,,BBk Discussion Paper,Why do banks bear interest rate risk?,dataset-013,,,
ZISTA,,BBk Discussion Paper,Why do banks bear interest rate risk?,dataset-012,,,
BISTA,,BBk Discussion Paper,Why do savings banks transform sight deposits into illiquid assets less intensively than the regulation allows?,dataset-013,,,
BISTA,,Economic Modelling,Why does bank credit not drive money in Germany (any more)?,dataset-013,,,
MIDI,,Working Paper,Why is the Response of Multinationals’ Capital Structure Choice to Tax Incentives That Low? Some Possible Explanations,dataset-008,,,
GUV,,BBk Discussion Paper,Will German banks earn their cost of capital?,"dataset-385,dataset-012",,,
ZISTA,,BBk Discussion Paper,Will German banks earn their cost of capital?,dataset-012,,,
PHF,,"Economics Letters, vloume 162,pp. 167-170","You might not get what you need: The discrepancy between financial,advice and commissions in Germany,You might not get what you need: The discrepancy between financial advice and commissions in Germany",dataset-382,,,
SITS,,Economic Policy (formerly: Economic Policy: A European Forum),You’re banned! The effect of sanctions on German cross-border financial flows,dataset-015,,,
PHF,,DIW Vierteljahreshefte zur Wirtschaftsforschung,Zur Finanziellen Bildung der Privaten Haushalte in Deutschland: Ergebnisse der Studie “Private Haushalte und ihre Finanzen (PHF)“,dataset-382,,,
