,bbk_dataset_y,doi,journal,title
308,PHF,,"Economics Letters, vloume 162,pp. 167-170","You might not get what you need: The discrepancy between financial,advice and commissions in Germany,You might not get what you need: The discrepancy between financial advice and commissions in Germany"
309,AUSTA,, available at SSRN Electronic Journal: https://ssrn.com/abstract=31173,The Pricing of FX Forward Contracts: Micro Evidence from Banks' Dollar Hedging
310,BISTA,, available at SSRN Electronic Journal: https://ssrn.com/abstract=31173,The Pricing of FX Forward Contracts: Micro Evidence from Banks' Dollar Hedging
311,BISTA,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel"
312,VJKRE,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel"
313,ZISTA,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel"
314,GUV,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel"
315,SHS-BASE,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel"
316,ZISTA,,"SAFE Working Paper No. 206., available at SSRN: https://ssrn.com/abstract=3174632",P2P Lenders versus Banks: Cream Skimming or Bottom Fishing?
317,BISTA,,"SAFE Working Paper No. 206., available at SSRN: https://ssrn.com/abstract=3174632",P2P Lenders versus Banks: Cream Skimming or Bottom Fishing?
318,USTAN,,"Journal of Political Economy (forthcoming), currently available at SSRN Electronic Journal",Rent-Seeking in Elite Networks
319,PHF,,available at SSRN Electronic Journal: https://ssrn.com/abstract=3175881,Household Financial Risk Tolerance in Europe
320,PHF,,"The Journal of the Economics of Ageing, Vol. 12.",Intra-household allocation of non-mandatory retirement savings
321,MIDI,," WU International Taxation Research Paper Series (02/2017), available at SSRN Electronic Journal: https://ssrn.com/abstract=2929347)","The Effect of International Taxation on Organizational Form Choices: Evidence from Group Structures of Multinationals,International Taxation and the Role of Organizational Form,Choices for Group Structures of Multinationals"
322,BISTA,,available at SSRN Electronic Journal: https://www.ssrn.com/abstract=2862034,Determinants of bank-level deposit volatility: Evidence from the German banking system
323,PHF,,The review of Economic Studies,"Historical Antisemitism, Ethnic Specialization, and Financial Development"
324,BISTA,,Munich Discussion Paper,"The Good, the Bad, and the Ugly: Impact of Negative Interest Rates and QE on the Profitability and Risk-Taking of 1600 German Banks"
325,GUV,,Munich Discussion Paper,"The Good, the Bad, and the Ugly: Impact of Negative Interest Rates and QE on the Profitability and Risk-Taking of 1600 German Banks"
326,USTAN,,American Economic Review,Investment dispersion and the business cycle
327,MIDI,,Beiträge zur Jahrestagung des Vereins für Socialpolitik,Transfer pricing as tax avoidance under different legislative schemes
328,SITS,,Beiträge zur Jahrestagung des Vereins für Socialpolitik,Transfer pricing as tax avoidance under different legislative schemes
329,SHS-BASE,,SSRN Discussion Paper,Ownership Disclosure and Ownership Structure: Investors' Response to Lower Reporting Thresholds
330,MIDI,,Canadian Journal of Economics,Investment Impact of Tax Loss Treatment - Empirical Insights from a Panel of Multinationals
331,MIDI,, National Tax Journal,Internal Debt and Multinational Profit Shifting: Empirical Evidence from Firm-Level Panel Data
332,MIDI,,Review of Quantitative Finance and Accounting,Bilateral Internal Debt Financing and Tax Planning of Muiltinational Firms
333,MIDI,,Journal of Public Economics,The Impact of Thin-Capitalization Rules on the Capital Structure of Multinational Firms
334,MIDI,,Global Strategy Journal,Information Costs and Internationalization Performance
335,MIDI,,Canadian Journal of Economics,The taxation of passive foreign investment - Lessons from German experience
336,MIDI,, Finanzarchiv,Tax Status and Tax Response Heterogeneity of Multinationals' Debt Finance
337,MIDI,, Zeitschrift für Betriebswirtschaft,Corporation Taxes and the Debt Policy of Multinational Firms - Evidence for German Multinationals
338,MIDI,,Strategic Management Journal,The role of operational flexibility in the expansion of international production networks
339,MIDI,,"Taxation in Developing Economics, MIT Press",International Profit Shifting and Multinational Firms in Developing Economies
340,MIDI,, National Tax Journal,The effects of taxation on the location decision of multinational firms: M&A vs. Greenfield investments
341,MIDI,,The B.E. Journals of Economic Analysis and Policy,FDI and Domestic Investment: An Industry-Level View
342,MIDI,,Review of World Economics,Debt financing and sharp currency depreciations: wholly versus partially-owned multinational affiliates
343,MIDI,,Applied Economics Quarterly,German Firms in Service Trade
344,SITS,,Applied Economics Quarterly,German Firms in Service Trade
345,MIDI,,Applied Economics,Corporate Tax Planning and Thin-Capitalzation Rules: Evidence from a Quasi-Experiment
346,MIDI,,Zeitschrift für betriebswirtschaftliche Forschung, Holding als Mittel der Steuerplanung zur Implementierung von steuerlich motiviertem Fremdkapital
347,MIDI,,Journal of Macroeconomics,The Long Shadow of the Berlin Wall
348,MIDI,, Economics Letters,Taxation and Capital Structure Choice – Evidence from a Panel of German Multinationals
349,MIDI,,National Tax Journal,The Effects of Multinationals’ Profit Shifting Activities on Real Investments
350,MIDI,,The World Economy,Who Cares about Corporate Taxation? Asymmetric Tax Effects on Outbound FDI
351,MIDI,, International Tax and Public Finance, Profit shifting in the EU: Evidence from Germany
352,MIDI,, The Analysis of Firms and Employees: Quantitative and Qualitative Approaches,Job Creation Abroad and Worker Retention at Home
353,MIDI,,Applied Economics,Corporate Tax Planning and Thin-Capitalization Rules: Evidence from a Quasi Experiment
354,MIDI,,Czech Journal of Economics and Finance," Foreign direct investment, corporate finance, and the life cycle of investment"
355,MIDI,,"Financial Stability Report 2006, Czech National Bank",Foreign direct investment and the Czech corporate sector: potential risks to financial stability
356,MIDI,,European Economic Review,"Where Enterprises Lead, People Follow? Links Between Migration and German FDI"
357,MIDI,,Review of World Economics, Location Choice and Employment Decisions: A Comparison of German and Swedish Multinationals
358,MIDI,,BBk Discussion Paper,The organization of knowledge in multinational firms
359,MIDI,,,Environmental Regulation and Foreign Direct Investment: The Role of Mode of Entry
360,MIDI,,,At Your Service! The Role of Tax Havens in International Trade with Services
