,bbk_dataset_y,doi,journal,title,dataset
275,BISTA,,BBk Discussion Paper,Measurement matters: Input price proxies and bank efficiency in Germany,dataset-268
276,GUV,,BBk Discussion Paper,Measurement matters: Input price proxies and bank efficiency in Germany,dataset-269
277,MIDI,,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks,dataset-270
278,BISTA,,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks,dataset-271
279,GUV,,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks,dataset-272
280,MIMIK,,BBk Discussion Paper,How will Basel II affect bank lending to emerging markets? An analysis based on German bank level data,dataset-273
281,MIDI,,BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks,dataset-274
282,BISTA,,BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks,dataset-275
283,GUV,,BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks,dataset-276
284,MIMIK,,BBk Discussion Paper,German bank lending during emerging market crises: A bank level analysis,dataset-277
285,BISTA,,BBk Discussion Paper,Does capital regulation matter for bank behaviour? Evidence for German savings banks,dataset-278
286,MIDI,,BBk Discussion Paper,"Does co-financing by multilateral development banks increase ""risky"" direct investment in emerging markets'",dataset-279
287,USTAN,,BBk Discussion Paper,Forecasting Credit Portfolio Risk,dataset-280
288,MIDI,,BBk Discussion Paper,Foreign Bank Entry into Emerging Economies: An Empirical Assessment of the Determinants and Risks Predicated on German FDI Data,dataset-281
289,MIDI,,BBk Discussion Paper,Determinants of German Foreign Direct Investment in Latin American and Asian Emerging Markets in the 1990s,dataset-282
290,MIDI,,Economic Policy 20 ,Determinants of German FDI: New Evidence from Micro-Data,dataset-283
291,USTAN,,BBk Discussion Paper,A Vectorautoregressive Investment Model (VIM) and Monetary Policy Transmission: Panel Evidence from German Firms,dataset-284
292,USTAN,,BBk Discussion Paper,Dynamic Q-investment functions for Germany using panel balance sheet data and a new algorithm for the capital stock at replacement values,dataset-285
293,BISTA,,BBk Discussion Paper,Estimating Bilateral Exposures in the German Interbank Market: Is there a Danger of Contagion?,dataset-286
294,BISTA,,BBk Discussion Paper,Testing for Competition Among German Banks,dataset-287
295,GUV,,BBk Discussion Paper,Testing for Competition Among German Banks,dataset-288
296,USTAN,,BBk Discussion Paper,Firm Investment and Monetary Policy Transmission in the Euro Area,dataset-289
297,USTAN,,BBk Discussion Paper,Monetary transmission in Germany: New Perspectives on Financial Constraints and Investment Spending,dataset-290
298,BISTA,,BBk Discussion Paper,Monetary policy effects on bank loans in Germany: A panel-econometric analysis,dataset-291
299,BISTA,,BBk Discussion Paper,Interbank lending and monetary policy transmission: evidence for Germany,dataset-292
300,USTAN,,BBk Discussion Paper,Exploring the role of uncertainty for corporate investment decisions in Germany,dataset-293
301,USTAN,,BBk Discussion Paper,Enterprises' financing structure and their response to monetary policy stimuli: An analysis based on the Deutsche Bundesbank's corporate balance sheet statistics,dataset-294
302,MIDI,,"International Tax and Public Finance, volume 16(3), pp. 298-320",The impact of nonprofit taxes on foreign direct investment: Evidence from German multinationals,dataset-295
303,MIDI,,Quarterly Journal of Economics,Global Production with Export Platforms,dataset-296
304,MIDI,,"The Review of Economics and Statistics, volume 98(4), pp. 713–727",Multinational Firms and Tax Havens,dataset-297
305,MIDI,,"Journal of Public Economics, volume 156, pp. 131-149",Evaluating the effects of ACE systems on multinational debt financing and investment,dataset-298
306,MIMIK,,,What happens if private accounting information becomes public? The case of access to bank debt,dataset-299
307,USTAN,,,What happens if private accounting information becomes public? The case of access to bank debt,dataset-300
308,PHF,,"Economics Letters, vloume 162,pp. 167-170","You might not get what you need: The discrepancy between financial,advice and commissions in Germany,You might not get what you need: The discrepancy between financial advice and commissions in Germany",dataset-301
309,AUSTA,, available at SSRN Electronic Journal: https://ssrn.com/abstract=31173,The Pricing of FX Forward Contracts: Micro Evidence from Banks' Dollar Hedging,dataset-302
310,BISTA,, available at SSRN Electronic Journal: https://ssrn.com/abstract=31173,The Pricing of FX Forward Contracts: Micro Evidence from Banks' Dollar Hedging,dataset-303
311,BISTA,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-304
312,VJKRE,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-305
313,ZISTA,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-306
314,GUV,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-307
315,SHS-BASE,, Deutsche Bundesbank Discussion Paper (22/2018),"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-308
316,ZISTA,,"SAFE Working Paper No. 206., available at SSRN: https://ssrn.com/abstract=3174632",P2P Lenders versus Banks: Cream Skimming or Bottom Fishing?,dataset-309
317,BISTA,,"SAFE Working Paper No. 206., available at SSRN: https://ssrn.com/abstract=3174632",P2P Lenders versus Banks: Cream Skimming or Bottom Fishing?,dataset-310
318,USTAN,,"Journal of Political Economy (forthcoming), currently available at SSRN Electronic Journal",Rent-Seeking in Elite Networks,dataset-311
319,PHF,,available at SSRN Electronic Journal: https://ssrn.com/abstract=3175881,Household Financial Risk Tolerance in Europe,dataset-312
320,PHF,,"The Journal of the Economics of Ageing, Vol. 12.",Intra-household allocation of non-mandatory retirement savings,dataset-313
321,MIDI,," WU International Taxation Research Paper Series (02/2017), available at SSRN Electronic Journal: https://ssrn.com/abstract=2929347)","The Effect of International Taxation on Organizational Form Choices: Evidence from Group Structures of Multinationals,International Taxation and the Role of Organizational Form,Choices for Group Structures of Multinationals",dataset-314
322,BISTA,,available at SSRN Electronic Journal: https://www.ssrn.com/abstract=2862034,Determinants of bank-level deposit volatility: Evidence from the German banking system,dataset-315
323,PHF,,The review of Economic Studies,"Historical Antisemitism, Ethnic Specialization, and Financial Development",dataset-316
324,BISTA,,Munich Discussion Paper,"The Good, the Bad, and the Ugly: Impact of Negative Interest Rates and QE on the Profitability and Risk-Taking of 1600 German Banks",dataset-317
325,GUV,,Munich Discussion Paper,"The Good, the Bad, and the Ugly: Impact of Negative Interest Rates and QE on the Profitability and Risk-Taking of 1600 German Banks",dataset-318
326,USTAN,,American Economic Review,Investment dispersion and the business cycle,dataset-319
327,MIDI,,Beiträge zur Jahrestagung des Vereins für Socialpolitik,Transfer pricing as tax avoidance under different legislative schemes,dataset-320
328,SITS,,Beiträge zur Jahrestagung des Vereins für Socialpolitik,Transfer pricing as tax avoidance under different legislative schemes,dataset-321
329,SHS-BASE,,SSRN Discussion Paper,Ownership Disclosure and Ownership Structure: Investors' Response to Lower Reporting Thresholds,dataset-322
330,MIDI,,Canadian Journal of Economics,Investment Impact of Tax Loss Treatment - Empirical Insights from a Panel of Multinationals,dataset-323
331,MIDI,, National Tax Journal,Internal Debt and Multinational Profit Shifting: Empirical Evidence from Firm-Level Panel Data,dataset-324
332,MIDI,,Review of Quantitative Finance and Accounting,Bilateral Internal Debt Financing and Tax Planning of Muiltinational Firms,dataset-325
333,MIDI,,Journal of Public Economics,The Impact of Thin-Capitalization Rules on the Capital Structure of Multinational Firms,dataset-326
334,MIDI,,Global Strategy Journal,Information Costs and Internationalization Performance,dataset-327
335,MIDI,,Canadian Journal of Economics,The taxation of passive foreign investment - Lessons from German experience,dataset-328
336,MIDI,, Finanzarchiv,Tax Status and Tax Response Heterogeneity of Multinationals' Debt Finance,dataset-329
337,MIDI,, Zeitschrift für Betriebswirtschaft,Corporation Taxes and the Debt Policy of Multinational Firms - Evidence for German Multinationals,dataset-330
338,MIDI,,Strategic Management Journal,The role of operational flexibility in the expansion of international production networks,dataset-331
339,MIDI,,"Taxation in Developing Economics, MIT Press",International Profit Shifting and Multinational Firms in Developing Economies,dataset-332
340,MIDI,, National Tax Journal,The effects of taxation on the location decision of multinational firms: M&A vs. Greenfield investments,dataset-333
341,MIDI,,The B.E. Journals of Economic Analysis and Policy,FDI and Domestic Investment: An Industry-Level View,dataset-334
342,MIDI,,Review of World Economics,Debt financing and sharp currency depreciations: wholly versus partially-owned multinational affiliates,dataset-335
343,MIDI,,Applied Economics Quarterly,German Firms in Service Trade,dataset-336
344,SITS,,Applied Economics Quarterly,German Firms in Service Trade,dataset-337
345,MIDI,,Applied Economics,Corporate Tax Planning and Thin-Capitalzation Rules: Evidence from a Quasi-Experiment,dataset-338
346,MIDI,,Zeitschrift für betriebswirtschaftliche Forschung, Holding als Mittel der Steuerplanung zur Implementierung von steuerlich motiviertem Fremdkapital,dataset-339
347,MIDI,,Journal of Macroeconomics,The Long Shadow of the Berlin Wall,dataset-340
348,MIDI,, Economics Letters,Taxation and Capital Structure Choice – Evidence from a Panel of German Multinationals,dataset-341
349,MIDI,,National Tax Journal,The Effects of Multinationals’ Profit Shifting Activities on Real Investments,dataset-342
350,MIDI,,The World Economy,Who Cares about Corporate Taxation? Asymmetric Tax Effects on Outbound FDI,dataset-343
351,MIDI,, International Tax and Public Finance, Profit shifting in the EU: Evidence from Germany,dataset-344
352,MIDI,, The Analysis of Firms and Employees: Quantitative and Qualitative Approaches,Job Creation Abroad and Worker Retention at Home,dataset-345
353,MIDI,,Applied Economics,Corporate Tax Planning and Thin-Capitalization Rules: Evidence from a Quasi Experiment,dataset-346
354,MIDI,,Czech Journal of Economics and Finance," Foreign direct investment, corporate finance, and the life cycle of investment",dataset-347
355,MIDI,,"Financial Stability Report 2006, Czech National Bank",Foreign direct investment and the Czech corporate sector: potential risks to financial stability,dataset-348
356,MIDI,,European Economic Review,"Where Enterprises Lead, People Follow? Links Between Migration and German FDI",dataset-349
357,MIDI,,Review of World Economics, Location Choice and Employment Decisions: A Comparison of German and Swedish Multinationals,dataset-350
358,MIDI,,BBk Discussion Paper,The organization of knowledge in multinational firms,dataset-351
359,MIDI,,,Environmental Regulation and Foreign Direct Investment: The Role of Mode of Entry,dataset-352
360,MIDI,,,At Your Service! The Role of Tax Havens in International Trade with Services,dataset-353
