title,dataset,abstract,authors,doi,journal,keywords,adrf_id
Does Globalization of the Scientific/Engineering Workforce Threaten U.S. Economic Leadership?,dataset-370,"This paper develops four propositions that show that changes in the global job market for science and engineering (S&E) workers are eroding U.S. dominance in S&E, which diminishes comparative advantage in high tech production and creates problems for American industry and workers: 1. The U.S. share of the world's science and engineering graduates is declining rapidly as European and Asian universities, particularly from China, have increased S&E degrees while U.S. degree production has stagnated. 2. The job market has worsened for young workers in S&E fields relative to many other high-level occupations, which discourages U.S. students from going on in S&E, but which still has sufficient rewards to attract large immigrant flows, particularly from developing countries. 3. Populous low income countries such as China and India can compete with the U.S. in high tech by having many S&E specialists although those workers are a small proportion of their work forces. This threatens to undo the ""North-South"" pattern of trade in which advanced countries dominate high tech while developing countries specialize in less skilled manufacturing. 4. Diminished comparative advantage in high-tech will create a long period of adjustment for U.S. workers, of which the offshoring of IT jobs to India, growth of high-tech production in China, and multinational R&D facilities in developing countries, are harbingers. To ease the adjustment to a less dominant position in science and engineering, the U.S. will have to develop new labor market and R&D policies that build on existing strengths and develop new ways of benefiting from scientific and technological advances in other countries.",Richard B. Freeman,10.1086/ipe.6.25056182,Innovation Policy and the Economy,,adrf-000142
Does scientist immigration harm US science? An examination of the knowledge spillover channel,dataset-370,"The recruitment of foreign-trained scientists enhances US science through an expanded workforce but could also cause harm by displacing better connected domestically-trained scientists, thereby reducing localized knowledge spillovers. We develop a model in which a sufficient condition for the absence of overall harm is that foreign-trained scientists generate at least the same level of localized spillovers as the domestically-trained scientists they displace. To test this condition, we conduct a hypothetical experiment in which each foreign-trained displaces an appropriately matched domestically-trained scientist. Overall, we do not find evidence that foreign-trained scientists harm US science by crowding out better-connected domestically-trained scientists, measured by citations by the US scientific community to their publications.","Ajay Prakash Agrawal,John McHale,Alexander Oettl",10.1016/j.respol.2019.01.005,Research Policy,,adrf-000142
Editors Notes,dataset-370,"Although there is literature that addresses successful academic practices for underrepresented minorities (Campbell & Campbell 2007; Davis, 2008; Kendricks, Nedunuri, & Arment, 2013), and mentoring specifically for American Indians and Alaska Natives (AI/ANs) (Guillory, 2009; Shotton, Oosahwe, & Cintrón, 2007), the specific goal of this project1 is to develop, progress, and evaluate a culturally congruent graduate education and a career preparation model that supports AI/ANs in Science, Technology, Engineering, and Mathematics (STEM) graduate programs. This goal is rooted in, and a response to, the fact that AI/ANs are not represented in STEM fields at parity with their non‐AI/AN counterparts.","Karlene A. Hoo,Sweeney Windchief",10.1002/he.20331,New Directions for Higher Education,,adrf-000142
"Employment Trends Among Public Health Doctoral Recipients, 2003-2015",dataset-370,"Objectives. To examine postgraduation employment trends among graduates of doctoral programs in public health from 2003 to 2015.
Methods. We analyzed pooled cross-sectional data from a census of graduates receiving a research doctorate from US accredited institutions. The outcome of interest was employment status. Covariates included public health discipline, sociodemographic characteristics, and institutional attributes.
Results. Of 11 771 graduates, nearly two thirds secured employment in either academic (34.8%) or nonacademic (31.4%) settings at the time of graduation. The proportion of those still seeking employment increased over time. Individuals who were White, younger, trained in either biostatistics or epidemiology, or from an institution with the highest level of research intensity were significantly more likely to secure employment. Academic employment was the most common setting for all 5 public health disciplines, but we observed differences in employment patterns (e.g., government, nonprofit, for-profit) across disciplines.
Conclusions. Certain characteristics among public health doctoral recipients are correlated with postgraduation employment. More research is needed, but the observed increase in individuals still seeking employment may be attributable to increases in general public health graduates from for-profit institutions.","Brittany L. Brown-Podgorski, Elizabeth H. Golembiewski,Ann M. Holmes,Joanna R. Jackson,Nir Menachemi",10.2105/ajph.2018.304553,American Journal of Public Health,,adrf-000142
Examining the Carnegie Classification Methodology for Research Universities,dataset-428,"University ranking is a popular yet controversial endeavor. Most rankings are based on both public data, such as student test scores and retention rates, and proprietary data, such as school reputation as perceived by high school counselors and academic peers. The weights applied to these characteristics to compute the rankings are often determined in a subjective fashion. Of significant importance in the academic field, the Carnegie Classification was developed by the Carnegie Foundation for the Advancement of Teaching. It has been updated approximately every 5 years since 1973, most recently in February 2016. Based on bivariate scores, Carnegie assigns one of three classes (R1/R2/R3) to doctorate-granting universities according to their level of research activity. The Carnegie methodology uses only publicly available data and determines weights via principal component analysis. In this article, we review Carnegie’s stated goals and the extent to which their methodology achieves those goals. In particular, we examine Carnegie’s separation of aggregate and per capita (per tenured/tenure-track faculty member) variables and its use of two separate principal component analyses on each; the resulting bivariate scores are very highly correlated. We propose and evaluate two alternatives and provide a graphical tool for evaluating and comparing the three scenarios.","Robert Kosar, David W. Scott",10.1080/2330443x.2018.1442271,Statistics and Public Policy,"Data transformation, Dimension reduction, Factor rotation, Research university rankings",adrf-000136
"Exit, Voice, Loyalty: Using an Exit Phone Interview to Mitigate the Silent Departure Phenomenon",dataset-370,"Doctoral student attrition is often referred to as a silent epidemic whereby students tacitly withdraw without ever being given an exit interview or follow-up. While most studies focus on the departing students, few studies focus on the institution's implicit and explicit policies and practices that encourage silence. Drawing upon the  ""Exit, Voice, Loyalty"" framework, we examined how the pathways to student voice that institutions provide for departing students contribute to the silent departure phenomenon. We recommend that campus stakeholders, policymakers, and administrators solicit critical feedback from departing students and develop instruments to assess their own departure process, rather than relying on national assessments.","Wendy Y. Carter-Veale, Michelle Beadle Holder, Lenisa N. Joseph",10.1007/s10755-019-9469-z,Innovative Higher Education,"Exit phone interview, Silent departure, Doctoral attrition, Exit-voice-loyalty, Doctoral training, Graduate audience",adrf-000142
Factors in Decisions of Underrepresented Minorities to Forego Science and Engineering Doctoral Study: A Pilot Study,dataset-371,"The research described here comprised a pilot study that attempted to identify the factors in decisions of highly capable students from underrepresented minority groups to forego study for science or engineering doctorates. Underrepresented students are defined as Blacks, Hispanics, and Indians. While these groups will soon comprise 30% or more of the population, they receive only 5% of the S & E (Science and Engineering) doctorates. The research was completed under NSF (National Science Foundation) grant no. REC 9908861. The research built on a previous NSF study (RED-9355867) that identified the most effective colleges and universities in the country in the preparation of Black, Hispanic, and Indian science and engineering students for study toward the PhD degree. One of the major concerns raised during the site visits to the top 10 institutions serving these groups was the loss of capable students to other careers. The study obtained information from minority graduates about factors impacting persistence to graduate studies in science and engineering and solicited suggestions for attracting more people like themselves to S & E doctoral study. Twelve underrepresented minority S & E graduates who decided to forego doctoral study in favor of other pursuits. Themes emerging from these conversations regarding reluctance to pursue advanced study included the following: concern for ability to finance such study; weaknesses in advisement practices and systems; lack of full knowledge, early on, about the rewards of doctoral employment; and concern about opportunities for employment after graduation. Suggestions proffered for attracting more underrepresented minorities to S & E doctoral study included the following: early socialization of youngsters into the world of science and its practice; expanded funding for scholarships and fellowships; expanded outreach by colleges and universities; expanded efforts by churches and community groups and deeper commitments by colleges and universities.","Marian E. Brazziel, William F. Brazziel",10.1023/a:1016694701704,Journal of Science Education and Technology,"Minority Group, Educational Technology, Community Group, Site Visit, Engineering Student",adrf-000144
Fast Facts,dataset-370,"Faculty attitudes on online education, book sales figures, Colleges in the USA, Wikipedia and scientific accuracy, News sources: Twitter and Facebook - These are the topics summarized in this Fast Facts overview",Gary Pattillo,10.5860/crln.80.10.536,College & Research Libraries News,,adrf-000142
Federal Funding For Research On The Leading Causes Of Death Among Children And Adolescents,dataset-428,"Firearm injuries are the second-leading cause of death for US children and adolescents (ages\u00a01-18). This analysis quantified the federal dollars granted to research for the leading US causes of death for this age group in 2008-17. Several federal data sources were queried. On average, in the study period, $88\u00a0million per year was granted to research motor vehicle crashes, the leading cause of death in this age group. Cancer, the third-leading cause of mortality, received $335\u00a0million per year. In contrast, $12\u00a0million-only thirty-two grants, averaging $597 in research dollars per death-went to firearm injury prevention research among children and adolescents. According to a regression analysis, funding for pediatric firearm injury prevention was only 3.3\u00a0percent of what would be predicted by mortality burden, and that level of funding resulted in fewer scientific articles than predicted. A thirtyfold increase in firearm injury research funding focused on this age group, or at least $37\u00a0million per year, is needed for research funding to be commensurate with the mortality burden.","Rebecca M. Cunningham,  Megan L. Ranney, Jason E Goldstick, Sonia V Kamat, Jessica S Roche, Patrick M. Carter",10.1377/hlthaff.2019.00476,Health Affairs,"Cessation of life, Neoplasms, Firearms, prevention research, Cumulative Trauma Disorders, Adolescent (age group), funding grant, Brain Injuries",adrf-000136
Federal funding of doctoral recipients: What can be learned from linked data,dataset-370,"This technical note describes the results of a pilot approach to link administrative and survey data to better describe the richness and complexity of the research enterprise. In particular, we demonstrate how multiple funding channels can be studied by bringing together two disparate datasets: UMETRICS, which is based on university payroll and financial records, and the Survey of Earned Doctorates (SED), which is one of the most important US survey datasets about the doctoral workforce. We show how it is possible to link data on research funding and the doctorally qualified workforce to describe how many individuals are supported in different disciplines and by different agencies. We outline the potential for more work as the UMETRICS data expands to incorporate more linkages and more access is provided.","Wan-Ying Chang,Wei Cheng,Julia Lane,Bruce A. Weinberg",10.1016/j.respol.2019.03.001,Research Policy,"UMETRICS, Linked survey transaction data, Doctoral workforce, Survey of earned doctorates, Research impact",adrf-000142
Female computer science doctorates: what does the survey of earned doctorates reveal?,dataset-370,"Based on the National Center for Education Statistics (2000), in the 1997-1998 academic year 26.7% of earned bachelors' degrees, 29.0% of earned masters' degrees and 16.3% of earned doctorates' degrees in computer science were awarded to women. As these percentages suggest, women are underrepresented at all academic levels in computer science (Camp, 1997). The most severe shortage occurs at the top level---the doctorate in computer science. We know very little about the women who persist to the top level of academic achievement in computer science.This paper examines a subset of data collected through the Survey of Earned Doctorates (SED). The specific focus of this paper is to identify trends that have emerged from the SED with respect to females completing doctorates in computer science between the academic years 1990-1991 and 1999-2000. Although computer science doctorates include doctorates in information science, prior research (Camp, 1997) suggests that the percentage of women completing doctorates in information science as compared to computer science is low. The specific research questions are:1. How does the percentage of women who complete doctorates in computer science compare to those that complete doctorates in other fields?2. How does the length of time in school and the sources of funding differ for females as compared to males who complete doctorates in computer science?3. Where do women go after completing doctorates in computer science and what positions do they acquire? How do these experiences differ from their male peers?",Barbara Moskal,10.1145/543812.543841,ACM SIGCSE Bulletin,,adrf-000142
First-Generation Students in Pursuit of the PhD: Comparing Socialization Experiences and Outcomes to Continuing-Generation Peers,dataset-428,"Although first-generation students represent a substantial proportion of doctoral students, few studies have examined their experiences and outcomes. We contribute to this nascent area of inquiry by comparing experiences and outcomes of first-generation and continuing-generation students during the first 3 years of doctoral education. Contrary to expectations, the results based on a national sample of PhD students in biology revealed remarkable similarity in experiences and outcomes between first-generation and continuing-generation students. One notable exception to this overall pattern of similarity was research productivity in the second year. By examining the relationships between students' experiences and outcomes over time, the findings illuminate the unique ways in which socialization experiences are related to specific outcomes and the extent to which those relationships change across years. Thus, this study offers initial insights into the nuanced ways in which students' socialization exp...","Josipa Roksa, David F. Feldon, Michelle A. Maher",10.1080/00221546.2018.1435134,The Journal of Higher Education,,adrf-000136
Foreign-born academic scientists and engineers: producing more and getting less than their U.S.-born peers?,dataset-371,"The Chronicle of Higher Education recently reported that the number of doctoral degrees awarded in the U.S. rose 3.4 percent in 2004, largely because of an increase in foreign students [Smallwood (2005). Doctoral degrees rose 3.4% in 2004, survey finds. The Chronicle of Higher Education, December 9, 2005]. Currently, 20.9 percent [National Science Board (2003). The science and engineering workforce realizing America\u2019s potential. NSB, vol. 3, National Science Foundation] of all science and engineering faculty positions at U.S. universities are held by foreign-born scientists (with even larger percentages in computer science and engineering)\u2014and we can expect higher numbers of foreign-born faculty at U.S. universities in the future. In this paper, we use 2001 Survey of Doctorate Recipients (SDR) data from the National Science Foundation to compare productivity levels, work satisfaction levels and career trajectories of foreign-born scientists and U.S.-born scientists. The results indicate that foreign-born academic scientists and engineers are more productive than their U.S.-born peers in all areas. Yet, average salaries and work satisfaction levels for foreign-born scientists are lower than for U.S.-born scientists."",","Elizabeth A. Corley, Meghna Sabharwal",10.1007/s11162-007-9055-6,Research in Higher Education,"Universities, Awards, ETSI Satellite Digital Radio, Large, Doctorate Degree",adrf-000144
"Gender differences between faculty members in higher education: A literature review of selected higher education journals,",dataset-428,"Abstract Gender issues in higher educational institutions have attracted increasing levels of attention from researchers in recent decades. As a result, many studies have called for greater gender equity between men and women in universities. However, there is a lack of sufficient literature review studies that investigate gender differences between faculty members of universities. This paper offers a review of the literature on gender differences between faculty members in higher education during the period from 2000 to 2013. The objectives of the review are to: identify and explore patterns and trends in publication outlets; collect, document, scrutinise and critically analyse the current literature on this field; to identify gaps in the literature; and make recommendations for further research in this field. To accomplish this task, we collected the data from fourteen specialist academic journals that focus on higher education.,","Mamen Gomez Cama, Manuel Larron Jorge, Francisco Javier Andrades Peña",10.1016/j.edurev.2016.03.001,Educational Research Review,,adrf-000136
Gender Differences in Salary and Promotion in the Humanities,dataset-371,"This study finds differences in employment outcomes by gender using two methods: the Oaxaca decomposition is used to examine salary differentials, and duration analysis is used to estimate promotion to tenure. While gender salary differences can largely be explained by academic rank, substantial gender differences in promotion to tenure exist after controlling for productivity, demographic characteristics, and primary work activity.","Kathy J. Hayes, Donna K. Ginther",10.1257/aer.89.2.397,American Economic Review,,adrf-000144
Immigration in High-Skill Labor Markets: The Impact of Foreign Students on the Earnings of Doctorates,dataset-370,"The rapid growth in the number of foreign students enrolled in American universities has transformed the higher education system, particularly at the graduate level. Many of these newly minted doctorates remain in the United States after receiving their doctoral degrees, so that the foreign student influx can have a significant impact in the labor market for high-skill workers. Using data drawn from the Survey of Earned Doctorates and the Survey of Doctoral Recipients, the study shows that a foreign student influx into a particular doctoral field at a particular time had a significant and adverse effect on the earnings of doctorates in that field who graduated at roughly the same time. A 10 percent immigration-induced increase in the supply of doctorates lowers the wage of competing workers by about 3 to 4 percent. About half of this adverse wage effect can be attributed to the increased prevalence of low-pay postdoctoral appointments in fields that have softer labor market conditions because of large-scale immigration.",George J. Borjas,10.3386/w12085,NATIONAL BUREAU OF ECONOMIC RESEARCH,,adrf-000142
Infrastructure investments and entrepreneurial dynamism in the U.S.,dataset-428,"Abstract Investments in physical infrastructure induce environmental changes that serve both an enabling and disabling function, potentially acting to simultaneously stimulate new business establishment and provoke exit by some incumbent establishments. The opening of a new establishment results in the creation of jobs that did not previously exist. Similarly, the closing of an establishment results in the permanent loss of jobs. I develop a theoretical model that depicts this external enabler/disabler process and test the model's predictions empirically tested using annual state-level data spanning the period 1993-2015. The results from dynamic panel system GMM estimation suggest that public and private infrastructure investments exert opposite effects on dynamism. Whereas private infrastructure investment is positively and significantly associated with the creation of businesses and jobs, public infrastructure investments are associated with the destruction of businesses and jobs. These results point to private infrastructure investment serving primarily an entrepreneurial enabler role and public infrastructure investment an entrepreneurial disabler role.",Daniel L. Bennett,10.1016/j.jbusvent.2018.10.005,Journal of Business Venturing,"Entry, Exit, External Enabler/Disabler, Infrastructure investments, Institutions, Regional entrepreneurship",adrf-000136
"Interdisciplinary Dissertation Research Among Public Health Doctoral Trainees, 2003-2015",dataset-370,"Given the call for more interdisciplinary research in public health, the objectives of this study were to (1) examine the correlates of interdisciplinary dissertation completion and (2) identify secondary fields most common among interdisciplinary public health graduates. METHODS: We analyzed pooled cross-sectional data from 11 2009 doctoral graduates in the Survey of Earned Doctorates, 2003-2015. The primary outcome was interdisciplinary dissertation completion. Covariates included primary public health field, sociodemographic characteristics, and institutional attributes. RESULTS: From 2003 to 2015, a total of 4005 of 2009 (36.0%) doctoral graduates in public health reported interdisciplinary dissertations, with significant increases observed in recent years. Compared with general public health graduates, graduates of environmental health (odds ratio [OR] = 1.74; P < .001) and health services administration (OR = 1.38; P < .001) doctoral programs were significantly more likely to report completing interdisciplinary dissertation work, whereas graduates from biostatistics (OR = 0.51; P < .001) and epidemiology (OR = 0.76; P < .001) were less likely to do so. Completing an interdisciplinary dissertation was associated with being male, a non-US citizen, a graduate of a private institution, and a graduate of an institution with high but not the highest level of research activity. Many secondary dissertation fields reported by interdisciplinary graduates included other public health fields. CONCLUSION: Although interdisciplinary dissertation research among doctoral graduates in public health has increased in recent years, such work is bounded in certain fields of public health and certain types of graduates and institutions. Academic administrators and other stakeholders may use these results to inform greater interdisciplinary activity during doctoral training and to evaluate current and future collaborations across departments or schools.","Elizabeth H. Golembiewski,Ann M. Holmes,Joanna R Jackson,Brittany L. Brown-Podgorski,Nir Menachemi",10.1177/0033354918754558,Public Health Reports,,adrf-000142
"Investigating the US biomedical workforce: gender, field of training, and retention",dataset-370,"The biomedical research workforce plays a crucial role in fostering economic growth and improving public health through discoveries and innovations. This study fills a knowledge gap by providing a comprehensive portrait of this workforce and retention within it. A distinguishing feature is that we use an occupation-based definition which allows us to look ‘backward’ to field of training and assess the extent to which it has grown more interdisciplinary, and how this differs by gender. The analysis is conducted using restricted-use SESTAT data, the most comprehensive dataset on the scientific workforce in the USA, for the years 1993, 2003, and 2010. Among the findings, we identify differences in interdisciplinarity in training by gender, and these differences have widened. In the retention analysis, which focuses on the 7-year period, 2003–10, we find that retention is negatively and significantly associated with interdisciplinary training for women, but not for men.","Anne E. Winkler,Sharon G. Levin,Michael T. Allison",10.1093/scipol/scz039,Science and Public Policy,,adrf-000142
Investigation of an equity ethic in engineering and computing doctoral students,dataset-370,"Background: Research shows that engineering and computing students who are marginalized by race and/or gender and experience social suffering often wish to challenge social inequities through their vocation, an attribute we refer to as an equity ethic. This study explores how doctoral engineering and computing students develop this attribute even when they do not directly experience social suffering. Purpose: We explored the relationship between (a) doctoral engineering and computing students' experiences with social suffering and their development of an equity ethic and (b) their equity ethic and career interests. Methods:We present a thematic analysis of the transcripts of in‐depth, semistructured interviews with 18 engineering and computing PhD students, coding for experiences with social suffering, degree of equity ethic, and their career interests. Results: Students with an equity ethic who aspired to reduce inequities within their disciplines personally experienced or witnessed social suffering within and outside academia. Students with “high potential” for developing this attribute who aspired to help others with their disciplines acknowledged social suffering. While both those with an equity ethic and those with high potential saw inequities as socially caused, those with an equity ethic reported more impactful experiences with social suffering, resulting in greater empathy and responsibility to respond. Several students described neither altruistic nor social justice concerns (students with low potential) and did not experience social suffering directly or indirectly. Those with an equity ethic or high potential often showed interest in academia. Conclusions: Most participants expressed concerns for helping others in their occupations. This result suggests a nascent equity ethic that could be cultivated through intentional programmatic efforts.","Dara E. Naphan Kingery,Monica Miles,Amanda J. Brockman,Rachel G. McKane,Portia K. Botchway,Ebony O. McGee",10.1002/jee.20284,Journal of Engineering Education,,adrf-000142
Issues of validity in reporting the number of doctorates in mathematics education,dataset-370,"The Survey of Earned Doctorates (SED) has historically been used to report the number of new doctorates entering over 100 different academic disciplines annually, including the field of mathematics education. In this article, we examine the validity of the use of this measure for this purpose by analyzing data from 23 institutions that grant mathematics education doctoral degrees and a specific university. Results showed that the SED underestimated the number of doctoral graduates by 5\u201315%, raising concerns about the use of the SED for this purpose."," Jeffrey C. Shih,Christopher Engledowl,Robert E. Reys",10.1080/19477503.2017.1375356,Investigations in Mathematics Learning,,adrf-000142
Marriage and Baby Blues: Redefining Gender Equity in the Academy,dataset-371,"The results of the study discussed in this article indicate that gender equity in terms of familial gains is as elusive as gender equity in terms of professional employment, raising the issue of what gender eq","Mary Ann Mason, Marc Goulden",10.1177/000271620459600104,The ANNALS of the American Academy of Political and Social Science,,adrf-000144
Measuring time to the doctorate: reinterpretation of the evidence,dataset-371,"There has been increasing concern that the length of time it takes to earn a doctorate in this country has increased dramatically over the last 20 years. The regularly cited evidence-organized by the year in which recipients of doctorates were awarded their degrees-s seriously misleading, however. The application of stable population theory to the problem suggests that the steady fall in the sizes of entering cohorts to graduate school has inflated both the measure of the absolute level of median time to degree and the increase in time to degree. When the same underlying data are reorganized by the year in which recipients of doctorates received their bac-calaureate, the statistical bias is eliminated, and the median total time to degree in the humanities is shown to have risen 15-20% rather than the reported 40%. ","William G. Bowen, Graham Lord, Julie Ann Sosa",10.1073/pnas.88.3.713,Proceedings of the National Academy of Sciences,,adrf-000144
Militarized Universities Endanger Global Public Health,dataset-428,This piece examines the ways in which universities are becoming increasingly militarized in the 21st century.,Mozhgan Savabieasfahani,10.25148/crcp.2.1.16092108,Class Race Corporate Power,,adrf-000136
Modeling research universities: Predicting probable futures of public vs. private and large vs. small research universities,dataset-428,"The future of the American academic research enterprise is considered. Data are presented that characterize the resources available for the 160 best-resourced research universities, a small subset of the 2,285 4-year, nonprofit, higher education institutions. A computational model of research universities was extended and used to simulate three strategic scenarios: status quo, steady decline in foreign graduate student enrollments, and downward tuition pressures from high-quality, online professional master's programs. Four specific universities are modeled: large public and private, and small public and private. The former are at the top of the 160 in terms of resources, while the latter are at the bottom of the 160. The model's projections suggest how universities might address these competitive forces. In some situations, it would be in the economic interests of these universities to restrict research activities to avoid the inherent subsidies these activities require. The computational projections portend the need for fundamental change of approaches to business for universities without large institutional resources.","Willian Bill Rouse, John V. Lombardi, Diane D. Craig",10.1073/pnas.1807174115,Proceedings of the National Academy of Sciences,"Universities, Probability, Projections and Predictions, Status Epilepticus, Subgroup",adrf-000136
National health innovation systems: Clustering the OECD countries by innovative output in healthcare using a multi indicator approach,dataset-370,"he importance of innovation in healthcare has increased within the last decades as challenges, like rising costs and an aging demographic, have to be solved. The degree of innovativeness in healthcare is strongly influenced by the National Health Innovation System, which as a sectoral innovation system encompasses a wide variety of actors and related knowledge. Despite the highly practical relevance of the topic, there are only a few studies that analyze innovation in healthcare on a national level. Thus, this study is a starting point and, building on the theoretical framework of national innovation systems, answers the following questions: \u201cCan countries be grouped by their innovation output in healthcare and do those groups differ in factors describing the healthcare system? Do countries with strong national innovation systems also have strong national health innovation systems and vice versa?\u201d We compare the healthcare innovation output of 30 OECD countries using a multi-indicator approach and categorize them into four distinct groups using cluster analysis. The cluster consisting of the Scandinavian countries, the Netherlands and Switzerland shows the highest innovation output measured in knowledge production and knowledge commercialization. Surprisingly, these countries, with the exception of Switzerland, only rank in the medium group when considering the entire national innovation system. Policymakers and researchers might be particularly interested in studying the healthcare systems of these countries.","Dorian Proksch,Julia Busch-Casler,Marcus Max Haberstroh,Andreas Pinkwart",10.1016/j.respol.2018.08.004,Research Policy,,adrf-000142
National Institute of Health (NIH) funding patterns in Schools of Nursing: Who is funding nursing science research and who is conducting research at Schools of Nursing?,dataset-370,"Abstract Background Developing the next generation of nurse researchers must be a priority to advance the discipline's science. A comprehensive description of the current federally-funded research is useful for understanding the research enterprise in Schools of Nursing. Purpose To describe the past 5 years of National Institute of Health (NIH) funding patterns in US Schools of Nursing. Method Data were extracted from NIH RePORTER for years 2014, 2013, 2018. The total number of award types (F, K, R, U, P and T) granted to a School of Nursing in the US was summarized and organized by Institute. Grants were then characterized according to whether the Principal Investigator had a nursing degree (yes or no). Finally, the total funding from each NIH Institute/Center that was awarded to a School of Nursing was assessed. Findings Nearly 50% of the National Institute of Nursing Research's (NINR) extramural budget is awarded through grants to Schools of Nursing in the US. NINR funds 80% of training grants and >70% of Center grants, which support the education and infrastructure for research, respectively, at Schools of Nursing. Among top ranked research-intensive Schools of Nursing, awards to non-nurse Principal Investigators (PIs) averaged 34.5% across all years. The percentage of NIH funds awarded to non-nurse PIs ranged from 0% at 3 Schools to as high as 97% at 1 School of Nursing. Over the past 5 fyears, the following Institutes have consistently been the largest funders (total dollars) to Schools of Nursing: NINR, National Institute of Aging, National Institute of Minority and Health Disparities, National Cancer Institute and National Institute of Child Health and Human Development. Conclusion These findings highlight the current funding streams for Schools of Nursing as well as opportunities for expansion. Preparing a cadre of nurse scientists who can generate new knowledge to advance our health care is critical to the success of our profession and to ensuring the health of the people for whom we provide care.",Rebecca Schnall,10.1016/j.profnurs.2019.07.003,Journal of Professional Nursing,,adrf-000142
National Scientific Funding for Interdisciplinary Research: A Comparison Study of Infectious Diseases in the US and EU,dataset-428,"Infectious diseases have been continuously and increasingly threatening human health and welfare due to a variety of factors such as globalisation, environmental, demographic changes, and emerging pathogens. In order to establish an interdisciplinary approach for coordinating R&D via funding, it is imperative to discover research trends in the field. In this paper, we apply machine learning methodologies and network analyses to understand how the European Union (EU) and the United States (US) have invested their funding in infectious diseases research utilising an interdisciplinary approach. The purpose of this paper is to use public R&D project data as data and to grasp the research trends of epidemic diseases in the US and EU through scientometric analysis.","Yoseob Heo, Jongseok Kang, Keun-hwan Kim",10.3390/su11154120,Sustainability,"infectious diseases, United States, European Union, interdisciplinary, funding data",adrf-000136
"New linked data on research investments: Scientific workforce, productivity, and public value","dataset-370, dataset-371","Longitudinal micro-data derived from transaction level information about wage and vendor payments made by federal grants on multiple U.S. campuses are being developed in a partnership involving researchers, university administrators, representatives of federal agencies, and others. This paper describes the UMETRICS data initiative that has been implemented under the auspices of the Committee on Institutional Cooperation. The resulting data set reflects an emerging conceptual framework for analyzing the process, products, and impact of research. It grows from and engages the work of a diverse and vibrant community. This paper situates the UMETRICS effort in the context of research evaluation and ongoing data infrastructure efforts in order to highlight its novel and valuable features. Refocusing data construction in this field around individuals, networks, and teams offers dramatic possibilities for data linkage, the evaluation of research investments, and the development of rigorous conceptual and empirical models. Two preliminary analyses of the scientific workforce and network approaches to characterizing scientific teams ground a discussion of future directions and a call for increased community engagement.","Julia Helen Lane,Jason Owen-Smith,Rebecca Rosen,Bruce D. Weinberg",10.1016/j.respol.2014.12.013,Research Policy,"IRIS,UMETRICS,STAR METRICS,Science of science policy,Linked data,Scientific workforce,Scientific networks,Occupation classification, funding grant, Investments, payment, teams","adrf-000142, adrf-000144"
"NEW REALITIES, NEW RELATIONSHIPS: The double life of the college campus: Striking a balance between reality and expectations",dataset-370,"La double vie des campus americains, l'une relle et l'autre imaginaire, n'est nulle part plus evidente que dans l'experience des etudiants, et en particulier dans leur implication dans l'enseignement. L'internationalisation croissante de la population etudiante, ainsi que l'acces a l'enseignement superieur pour les etudiants de condition modeste comptent parmi les points les plus urgents qui affectent la veritable nature du campus. La difficulte pour les bibliotheques academiques consiste a demeurer pertinentes pour les etudiants dans leur confrontation avec des obstacles qui defient leur experience imaginaire de l'universite.",William C. Welburn,10.5860/crln.63.10.718,College & Research Libraries News,,adrf-000142
"On the nexus between innovation, productivity and migration of US university graduates","dataset-371, dataset-370","This paper studies the link between the migration of US university graduates, innovation and productivity. Using migration flows extracted from the SESTAT database and following a simultane..."",",Pantelis Kazakis,10.1080/17421772.2019.1636127,Spatial Economic Analysis,"Skilled Worker Migration,Human Capital,?Innovation,?Total Factor Productivity","adrf-000142, adrf-000144"
Policy should change to improve invited speaker diversity and reflect trainee diversity,dataset-371,"The biomedical sciences have a problem retaining white women and underrepresented minorities in academia. Despite increases in the representation of these groups in faculty candidate pools, they are still underrepresented at the faculty level, particularly at the Full Professor level. The lack of diverse individuals at the Full Professor level contributes to the attrition of women and under-represented minorities, as it confirms unconscious biases. The presence of unconscious biases contribute to feelings of not belonging by trainees and are amplified by visual representation of who is presented as the top scientist in their field. Top scientists are not only defined by the attainment of Full Professorships, but also through invited seminar series. Invitations for faculty to present their research at other university departments is highly valued offer that provides an opportunity for collaborations and networking. However, if invited speakers do not represent the demographics of current trainees, these visual representations of successful scientists may contribute to decreased attitudes of self-identification as a scientist, ultimately resulting in trainees leaving the field or the academy. In this study, we compare invited-speaker demographics to the current trainee demographics in one microbiology and immunology department and find that trainees are not proportionally represented by speakers invited to the department. Our investigation prompted changes in policy for how invited speakers are selected in the future to invite a more diverse group of scientists. To facilitate this process, we developed a set of tips and a web-based resource that allows scientists, committees, and moderators to identify members of under-served groups. These resources can be easily adapted by other fields or sub-fields to promote inclusion and diversity at seminar series, conferences, and colloquia.","Ada K Hagan, Rebecca M Pollet, Josie Libertucci",10.1101/785717,BioRxiv,"Inclusion, Diversity, Invited Speakers, Academia, Graduate Programs",adrf-000144
Probing the National Geoscience Faculty Survey for reported use of practices that support inclusive learning environments in undergraduate courses,dataset-371,"AbstractWhat is the extent to which college and university geoscience faculty report using education practices that contribute to more inclusive learning environments and engage a diverse populatio..."",","Rachel J. Beane, Karen McNeal, R. Heather Macdonald",10.1080/10899995.2019.1621714,Journal of Geoscience Education,"Diversity,Inclusive pedagogy, Science teaching, Student success",adrf-000144
