title,journal,authors,doi,search_term,dataset_id
Spatial and temporal patterns of pesticide use on California almonds and associated risks to the surrounding environment.,The Science of the total environment,"Zhan, Yu, Zhang, Minghua",10.1016/j.scitotenv.2013.11.022,Integrated Surface Database,dataset-621
Delivering integrated HAZUS-MH flood loss analyses and flood inundation maps over the Web.,"Journal of emergency management (Weston, Mass.)","Hearn, Paul P, Longenecker, Herbert E, Aguinaldo, John J, Rahav, Ami N",,Integrated Surface Database,dataset-621
Analysis of cell surface markers specific for transplantable rod photoreceptors.,Molecular vision,"Postel, Kai, Bellmann, Jessica, Splith, Victoria, Ader, Marius",,Integrated Surface Database,dataset-621
Accurate spectroscopic models for methane polyads derived from a potential energy surface using high-order contact transformations.,The journal of physical chemistry. A,"Tyuterev, Vladimir, Tashkun, Sergei, Rey, Michael, Kochanov, Roman, Nikitin, Andrei, Delahaye, Thibault",10.1021/jp408116j,Integrated Surface Database,dataset-621
ROCK: a resource for integrative breast cancer data analysis.,Breast cancer research and treatment,"Ur-Rehman, Saif, Gao, Qiong, Mitsopoulos, Costas, Zvelebil, Marketa",10.1007/s10549-013-2593-z,Integrated Surface Database,dataset-621
Large-scale screening of zeolite structures for CO2 membrane separations.,Journal of the American Chemical Society,"Kim, Jihan, Abouelnasr, Mahmoud, Lin, Li-Chiang, Smit, Berend",10.1021/ja400267g,Integrated Surface Database,dataset-621
A dataset on 145 chemicals tested in alternative assays for skin sensitization undergoing prevalidation.,Journal of applied toxicology : JAT,"Natsch, Andreas, Ryan, Cindy A, Foertsch, Leslie, Emter, Roger, Jaworska, Joanna, Gerberick, Frank, Kern, Petra",10.1002/jat.2868,Integrated Surface Database,dataset-621
Integrated methodology for assessing the HCH groundwater pollution at the multi-source contaminated mega-site Bitterfeld/Wolfen.,Environmental science and pollution research international,"Wycisk, Peter, Stollberg, Reiner, Neumann, Christian, Gossel, Wolfgang, Weiss, Holger, Weber, Roland",10.1007/s11356-012-0963-4,Integrated Surface Database,dataset-621
The major outer sheath protein (Msp) of Treponema denticola has a bipartite domain architecture and exists as periplasmic and outer membrane-spanning conformers.,Journal of bacteriology,"Anand, Arvind, Luthra, Amit, Edmond, Maxwell E, Ledoyt, Morgan, Caimano, Melissa J, Radolf, Justin D",10.1128/JB.00078-13,Integrated Surface Database,dataset-621
Geosensor data representation using layered slope grids.,"Sensors (Basel, Switzerland)","Lee, Yongmi, Jung, Young Jin, Nam, Kwang Woo, Nittel, Silvia, Beard, Kate, Ryu, Keun Ho",10.3390/s121217074,Integrated Surface Database,dataset-621
Alpha-foetoprotein and/or liver ultrasonography for screening of hepatocellular carcinoma in patients with chronic hepatitis B.,The Cochrane database of systematic reviews,"Aghoram, Rajeswari, Cai, Pin, Dickinson, James A",10.1002/14651858.CD002799.pub2,Integrated Surface Database,dataset-621
Molecular modeling to investigate the binding of Congo red toward GNNQQNY protofibril and in silico virtual screening for the identification of new aggregation inhibitors.,Journal of molecular modeling,"Zhao, Jian-Hua, Liu, Hsuan-Liang, Elumalai, Pavadai, Chen, Wei-Hsi, Men, Lee-Chung, Liu, Kung-Tien",10.1007/s00894-012-1532-y,Integrated Surface Database,dataset-621
The relationship between inadvertent ingestion and dermal exposure pathways: a new integrated conceptual model and a database of dermal and oral transfer efficiencies.,The Annals of occupational hygiene,"Gorman Ng, Melanie, Semple, Sean, Cherrie, John W, Christopher, Yvette, Northage, Christine, Tielemans, Erik, Veroughstraete, Violaine, Van Tongeren, Martie",10.1093/annhyg/mes041,Integrated Surface Database,dataset-621
Optimization of patient radiation protection in pelvic X-ray examination in Ghana.,Journal of applied clinical medical physics,"Ofori, Eric K, Antwi, William K, Scutt, Diane N, Ward, Matt",10.1120/jacmp.v13i4.3719,Integrated Surface Database,dataset-621
PSC: protein surface classification.,Nucleic acids research,"Tseng, Yan Yuan, Li, Wen-Hsiung",10.1093/nar/gks495,Integrated Surface Database,dataset-621
Integration of the Image-Guided Surgery Toolkit (IGSTK) into the Medical Imaging Interaction Toolkit (MITK).,Journal of digital imaging,"Lu, Tong, Liang, Ping, Wu, Wen-Bo, Xue, Jin, Lei, Cheng-Long, Li, Yin-Yan, Sun, Yun-Na, Liu, Fang-Yi",10.1007/s10278-012-9477-3,Integrated Surface Database,dataset-621
PolysacDB: a database of microbial polysaccharide antigens and their antibodies.,PloS one,"Aithal, Abhijit, Sharma, Arun, Joshi, Shilpy, Raghava, Gajendra P S, Varshney, Grish C",10.1371/journal.pone.0034613,Integrated Surface Database,dataset-621
Including robustness in multi-criteria optimization for intensity-modulated proton therapy.,Physics in medicine and biology,"Chen, Wei, Unkelbach, Jan, Trofimov, Alexei, Madden, Thomas, Kooy, Hanne, Bortfeld, Thomas, Craft, David",10.1088/0031-9155/57/3/591,Integrated Surface Database,dataset-621
