doi,journal,search_term,title,url,dataset
10.1016/j.joi.2018.09.001,"{'id': 'jour.1043111', 'title': 'Journal of Informetrics'}",Higher Education Research and Development Survey,A comparison of two approaches for measuring interdisciplinary research output: The disciplinary diversity of authors vs the disciplinary diversity of the reference list,,
10.18356/39d55751-en,,Higher Education Research and Development Survey,United States of America,,
10.1080/00221546.2018.1435134,"{'id': 'jour.1086361', 'title': 'The Journal of Higher Education'}",Higher Education Research and Development Survey,First-Generation Students in Pursuit of the PhD: Comparing Socialization Experiences and Outcomes to Continuing-Generation Peers,,
10.1108/sgpe-d-17-00044,"{'id': 'jour.1300396', 'title': 'Studies in Graduate and Postdoctoral Education'}",Higher Education Research and Development Survey,"Doctoral student funding portfolios across and within engineering, life sciences and physical sciences",,
10.1163/22125868-12340100,"{'id': 'jour.1150780', 'title': 'International Journal of Chinese Education'}",Higher Education Research and Development Survey,Classifying Institutions to Guide Mission-Relevant Performance Assessment,,
10.1080/2330443x.2018.1442271,"{'id': 'jour.1050748', 'title': 'Statistics and Public Policy'}",Higher Education Research and Development Survey,Examining the Carnegie Classification Methodology for Research Universities,,
10.1016/j.acra.2017.07.013,"{'id': 'jour.1112792', 'title': 'Academic Radiology'}",Higher Education Research and Development Survey,Radiology Research Funding Current State and Future Opportunities,,
10.1007/978-3-319-71162-1,,Higher Education Research and Development Survey,Building Capacity in Institutional Research and Decision Support in Higher Education,,
10.1007/978-3-319-68984-5_9,,Higher Education Research and Development Survey,The Higher Education Community: Educating America’s Next Great Generation,,
10.2139/ssrn.3098510,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Higher Education Research and Development Survey,"Team Size, Noisy Signals, and the Career Prospects of Academic Scientists",,
10.1007/978-3-319-68984-5,,Higher Education Research and Development Survey,"A Battle Plan for Supporting Military Families, Lessons for the Leaders of Tomorrow",,
10.1007/s10961-018-9659-3,The Journal of Technology Transfer,Survey of Earned Doctorates,A conceptual framework for studying science research careers,,
10.1177/0034644619880562,The Review of Black Political Economy,Survey of Earned Doctorates,African Americans in Economics at the University of Michigan-Ann Arbor Since the Kerner Commission Report of 1968,,
10.1525/collabra.274,Collabra Psychology,Survey of Earned Doctorates,Rationality is Gendered,,
10.1007/s11162-019-09584-6,Research in Higher Education,Survey of Earned Doctorates,University and Department Influences on Scientists’ Occupational Outcomes,,
10.1080/03075079.2019.1672648,Studies in Higher Education,Survey of Earned Doctorates,Does employment during doctoral training reduce the PhD completion rate?,,
10.1111/hea.43_12138,Higher Education Abstracts,Survey of Earned Doctorates,Student Subgroups,,
10.1007/s10755-019-9469-z,Innovative Higher Education,Survey of Earned Doctorates,"Exit, Voice, Loyalty: Using an Exit Phone Interview to Mitigate the Silent Departure Phenomenon",,
10.1080/09645292.2019.1623177,Education Economics,Survey of Earned Doctorates,Are high-quality PhD programs at universities associated with more undergraduate students pursuing PhD study?,,
10.1002/he.20332,New Directions for Higher Education,Survey of Earned Doctorates,"Rationale for Cocreating a Community for Underrepresented Minorities in Science, Technology, Engineering, and Math: An Indigenous Paradigm",,
10.1177/1942775118763336,Journal of Research on Leadership Education,Survey of Earned Doctorates,Mentoring for the Educational Leadership Professoriate: Perspectives From Jay D. Scribner Mentoring Award Recipients and Mentees,,
10.1002/he.20337,New Directions for Higher Education,Survey of Earned Doctorates,"Designing and Implementing an Indigenous Mentoring Program for Faculty Who Mentor AI/AN Students in STEM Fields: Process, Outcomes, and Lessons Learned",,
10.1002/he.20331,New Directions for Higher Education,Survey of Earned Doctorates,Editors’ Notes,,
10.1080/10437797.2019.1656576,Journal of Social Work Education,Survey of Earned Doctorates,BPD Emerging Leaders 2010–2016: Identifying and Responding to the Need for New Academic Leadership,,
10.1007/s11162-019-09573-9,Research in Higher Education,Survey of Earned Doctorates,"Tenure and Promotion Outcomes at Four Large Land Grant Universities: Examining the Role of Gender, Race, and Academic Discipline",,
10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,Survey of Earned Doctorates,Why foreign STEM PhDs are unlikely to work for US technology startups,,
10.5860/crln.64.1.70,College & Research Libraries News,Survey of Earned Doctorates,Fast Facts,,
10.5860/crln.63.10.718,College & Research Libraries News,Survey of Earned Doctorates,"NEW REALITIES, NEW RELATIONSHIPS: The double life of the college campus: Striking a balance between reality and expectations",,
10.1111/emip.12284,Educational Measurement Issues and Practice,Survey of Earned Doctorates,An Analysis of College Choice Information Provided on Graduate Program Websites: Implications for Improving Applicant Diversity in Educational Measurement,,
10.1007/s12108-019-09421-4,The American Sociologist,Survey of Earned Doctorates,"Academic Familism, Spillover Prestige and Gender Segregation in Sociology Subfields: The Trajectory of Economic Sociology",,
10.1080/07481756.2018.1547619,Measurement and Evaluation in Counseling and Development,Survey of Earned Doctorates,Doctoral Student Perfectionism and Emotional Well-Being,,
