access_requirements,source_url,data_classification,data_provider,data_steward,adrf_id,geographical_coverage,geographical_unit,category,temporal_coverage_end,dataset_citation,external_id,data_usage_policy,filenames,access_actions_required,reference_url,data_steward_org,keywords,temporal_coverage_start,title,dataset_version,alias,dataset_documentation,dataset_header_desc,description,related_articles,source_archive
You must be enrolled in an ADRF class to access these data.,,Restricted,"Illinois Department of Employment Security, US Census Bureau",Julia Lane,adrf-000035,Illinois,"State,Point,Census Tract,Census Block",Economic Characteristics,2015,"Illinois Department of Economic Security, US Census Bureau, 2016, ""Illinois Department of Employment Security (IDES) establishment data addendum to employer records - 2012-2015"", Applied Data Analytics Course [Distributor], 1 [Version]",,"This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Economic Security (IDES). All data provided here are protected under the provisions of Title 13, U.S. Code and users accessing them are subject to the provisions of 820 ILCS 405/1900. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDES before export from this system.",adrf-000035-il_des_establishment.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",http://www.ides.illinois.gov/Pages/Unemployment%20Insurance.aspx,"Center for Urban Science and Progress (CUSP), NYU","income,welfare,poverty,socioeconomics",2005,Illinois Department of Employment Security (IDES) establishment data addendum to employer records - 2012-2015,1,Illinois Department of Employment Security IDES establishment data addendum to employer records,,adrf-000035-il_des_establishment.csv:adrf-000035-il_des_establishment_dd.csv,"More detailed quarterly location data for the employers in the employer records file above created by IDES using their preferred geocoding process. Only created from 2012 to present. Includes latitude and longitude as well as Census ID to the block level.


Location information for employers was derived quarterly, but only from 2012 to 2015.  Employers from wage records from earlier years might be present in this table, but it wouldn’t be historical data. Just location.


The summary of this dataset’s fields is a sample of records only. Please access the full dataset in course database table: il_des_establishment",,
You must be enrolled in an ADRF class to access these data.,,Restricted,Illinois Department of Corrections,Julia Lane,adrf-000036,Illinois,"State,Point,City,Zip Code",Inmate Populations,2015,"Illinois Department of Corrections, 2016, ""Illinois Department of Corrections (DOC) Parolee address data - 2009-2015"", Applied Data Analytics Course [Distributor], 1 [Version]",,"This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Economic Security (IDES). All data provided here are protected under the provisions of Title 13, U.S. Code and users accessing them are subject to the provisions of 820 ILCS 405/1900. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDES before export from this system.",adrf-000036-il_doc_parole.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",https://www.illinois.gov/idoc/Pages/default.aspx,"Center for Urban Science and Progress (CUSP), NYU","criminal justice system,inmates,jail,correctional facilities,health,employment,demographics,offenses",2009,Illinois Department of Corrections (DOC) Parolee address data - 2009-2015,1,Illinois Department of Corrections DOC Parolee address data,,adrf-000036-il_doc_parole.csv:adrf-000036-il_doc_parole_dd.csv,"Location information for persons active in the Illinois parole system from 2009 to 2015. A given person could have multiple rows in this table, one per year they were on parole. Each row contains a latitude/longitude coordinate based on the parolee’s address on file (redacted from this file), as well as additional information on original and derived county, city, and zip code and metadata that indicates who confident we are that the point corresponds to the address. Because the parole system doesn’t include historical data, parolees who exited the system before 2009 won’t be represented in this data set.


From IDOC:
please note you are receiving parolee address information as of the last day of the FY for all active parolees for the added period in question. There are some cautions associated with address data including; some parolees are showing as AWOL which means the parolee is currently not residing at a known/approved location. In addition, some addresses are actually county jail addresses where parolees are being held pending new criminal charges. Some addresses are treatment facilities, recovery homes, or homeless shelters where offenders may be residing temporarily. Finally, some address are merely places where the parolee meets with the agent but does not actually reside. While it is our policy to verify addresses to the best of our ability, there are a number of offenders who do not wish us to know where they really reside and as such, utilize the address of a family member or friend who they know will provide assurance that the parolee resides there. Also please note, addresses are input by Agents so there are always possibilities that human errors are contained in the dataset. These are a few of the reasons why we do not create policy based on address, as a number of our parolees live a transient lifestyle and do not necessarily reside where they work or commit new crimes.


Please access the full dataset in course database table: ildoc.il_doc_parole
","1,3,5,9,10",
You must be enrolled in an ADRF class to access these data.,,Restricted,US Department of Housing and Urban Development,Julia Lane,adrf-000037,Illinois,"State, Census Block",Socioeconomic Characteristics,2016,"US Department of Housing and Urban Development, 2016, ""US Department of Housing and Urban Development Program Microdata 2004-2016 - Households: Illinois"", Applied Data Analytics Course [Distributor], 1 [Version]",,This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the US Department of Housing and Urban Development. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by a data steward before export from this system. Export of whole or partial records from the data is not permitted.,adrf-000037-hud_household_block_data_il.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database.",https://www.huduser.gov/portal/pumd/index.html,"Center for Urban Science and Progress (CUSP), NYU","income,welfare,public housing,households,demographics,socioeconomics",2004,US Department of Housing and Urban Development Program Microdata 2004-2016 - Households: Illinois,1,US Department of Housing and Urban Development Program Microdata Households Illinois,"HUD-50058.pdf,HUD-50059.pdf",adrf-000037-hud_household_block_data_il.csv:adrf-000037-hud_household_block_data_il_dd.csv,"Detailed transactional data consisting of tenant-level data for households in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on households aggregated at the Census block level, including household family type, rent, years in program, and income. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).


Please access the full dataset in course database table: hud.hud_household_block_data_il","7,8",
You must be enrolled in an ADRF class to access these data.,,Restricted,Illinois Correctional Industries,Julia Lane,adrf-000055,Illinois,State,Inmate Populations,2016,"Illinois Correctional Industries, 2017, ""IL Corrections Industries Training dataset"", Applied Data Analytics Course [Distributor], 1 [Version]",,This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the US Department of Housing and Urban Development. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by a data steward before export from this system. Export of whole or partial records from the data is not permitted.,adrf-000055-il_ici_departures.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",http://www.ici.illinois.gov/(S(xstjb5250ujgsiqjdbz0o2zy)A(aaPj--PlzAEkAAAAOTE1ZmM0NTMtYzRhZC00OGUxLTljMTgtOGFlMGViMmU4ZDUzTpilbQ8Uxwiam45T0FLMVGA7WE81))/AnnualReport.aspx,"Center for Urban Science and Progress (CUSP), NYU","inmates,jail,correctional facilities,employment,training",2011,IL Corrections Industries Training dataset,1,IL Corrections Industries Training dataset,"ici_function_codes.pdf,ici_function_codes.csv,adrf-000055_dd.csv",adrf-000055-il_ici_departures.csv:adrf-000055-il_ici_departures_dd.csv,"This data contains the individuals who participated in an Illinois Correctional Industries vocational training program for forward years 2011 - 2016. The dataset includes a ""Shop Function Code"" designating the program, start and end dates of the program, and the result of that training program for the inmate in question. These data are tracked by hand by ICI's payroll unit. 


Please access the full dataset in course database table: idoc.il_ici_departures. Function codes details are stored in course database table: idoc.il_ici_function_codes","1,3,5,9,10",
You must be enrolled in an ADRF class to access these data.,,Restricted,"Chapin Hall, University of Chicago",Julia Lane,adrf-000075,Illinois,State,Inmate Populations,2015,"Chapin Hall, University of Chicago, 2017, ""Illinois Department of Corrections (IDOC) SPSS Holding Codes (HCLASS) and Education Level (EDUCLVL)"", Applied Data Analytics Course [Distributor], 1 [Version]",,This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Corrections (IDOC). The user shall not attempt to re-identify individuals represented in the data and agree to not disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDOC before export from this system.,adrf-000075-Offenses_and_SPSS_codes.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",,"Center for Urban Science and Progress (CUSP), NYU","inmates,jail,correctional facilities,offenses,charges",1990,Illinois Department of Corrections (IDOC) SPSS Holding Codes (HCLASS) and Education Level (EDUCLVL),1,Illinois Department of Corrections IDOC SPSS Holding Codes HCLASS and Education Level EDUCLVL,"adrf-000075-Notes_on_HCLASS_and_EDUCLVL.pdf,adrf-000075-Offenses_and_SPSS_codes.xlsx",adrf-000075-Offenses_and_SPSS_codes.csv:adrf-000075-Offenses_and_SPSS_codes_dd.csv,More details on the values contained in the hclass and educlvl fields in IDOC admits and exits data.,,
You must be enrolled in an ADRF class to access these data.,,Restricted,Illinois Department of Corrections,Julia Lane,adrf-000085,Illinois,State,Inmate Populations,2015,"Illinois Department of Corrections, 2016, ""Illinois Department of Corrections Person Relation Table"", Applied Data Analytics Course [Distributor], 1 [Version]",,This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Corrections (IDOC). The user shall not attempt to re-identify individuals represented in the data and agree to not disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDOC before export from this system.,adrf-000085-person.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",https://www.illinois.gov/idoc/Pages/default.aspx,"Center for Urban Science and Progress (CUSP), NYU","criminal justice system,inmates,jail,correctional facilities,health,employment,demographics,offenses",1990,Illinois Department of Corrections Person Relation Table,1,Illinois Department of Corrections Person Relation Table,,adrf-000085-person.csv:adrf-000085-person_dd.csv,"A relationship table to be used with Illinois Department of Corrections (ILDOC) Admission and Exit tables which join hashed names, hashed ssns, birthyear, race, sex, and ILDOC doc number for the purposes of easier matches across tables. Each unique doc number has a row in the person table. The docnbr is the unique identifier of record for a given person who is a part of the IL corrections system. The other fields in person are aggregated from all records in admits and/or exits (depending on where the value is present - SSN is only in admits, for example) with a given docnbr.  All the other fields in person (including SSN) are populated by looking at that field’s value across all records for a given docnbr. If all of the rows either contain the same value, or contain the same value or are empty, then that value is pulled up into the person record for that docnbr.  If there are either 1) no values or 2) different values for a given docnbr, no value is placed in person. It is found in the database at: ildoc.person
",,
You must be enrolled in an ADRF class to access these data.,,Restricted,"Illinois Department of Human Services (IDHS), Chapin Hall at the University of Chicago",Julia Lane,adrf-000061,Illinois,"State,County,Census Tract,Point",Health and Human Services,2/28/17 0:00,"Illinois Department of Human Services (IDHS), Chapin Hall at the University of Chicago, 2017, ""Illinois Department of Human Services (IDHS) Point-In-Time Files: Time Invariant Characteristics"", Applied Data Analytics Course [Distributor], 1 [Version]",,"This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Human Services (IDHS) and the ADRF. The user shall not attempt to re-identify individuals represented in the data and agree to not disclose any data contained therein to any unauthorized parties. Users of these data also agree to comply with all applicable Federal and State laws and regulations and with all applicable policies and procedures as set by the State of Illinois, including, but not limited to, the Illinois Public Aid Code (305 ILCS 5/1 et seq.), the Health Insurance Portability and Accountability Act (45 CFR Parts 160, 162, and 164), IRS Code (26 U.S.C. 1 et seq.), and other applicable state and federal laws. Any analyses and data products derived from the data must be reviewed by IDHS before export from this system. When access to the data is no longer required, the user agrees that they will not access or attempt to access any IDHS confidential information, or any confidential information in IDHS systems or other sources to which I have been given access. They agree also to return any and all reports, notes, memoranda, notebooks, drawings, and other confidential information or Data developed, received, compiled by or delivered to them in order to carry out functions under the contract or subcontract, regardless of the source of the confidential information or Data.
","adrf-000061-assistance_case.csv,adrf-000061-member.csv,adrf-000061-case_geocode.csv,adrf-000061-member_info.csv,adrf-000061-case_social.csv,adrf-000061-member_relation.csv","This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database.",https://enclave.chapinhall.org/?q=node/952,"Center for Urban Science and Progress (CUSP), NYU","welfare,public assistance,tanf,food stamps,human services,socioeconomics,medicaid,demographics",2/1/89 0:00,Illinois Department of Human Services (IDHS) Point-In-Time Files: Time Invariant Characteristics,1,Illinois Department of Human Services IDHS PointInTime Files Time Invariant Characteristics,"ILPARD_codebook_and_ERD.pdf,IDHS-data_for_appliedda_class.pdf","adrf-000061-assistance_case.csv:adrf-000061-assistance_case_dd.csv,adrf-000061-member.csv:adrf-000061-member_dd.csv,adrf-000061-case_geocode.csv:adrf-000061-case_geocode_dd.csv,adrf-000061-member_info.csv:adrf-000061-member_info_dd.csv,adrf-000061-case_social.csv:adrf-000061-case_social_dd.csv,adrf-000061-member_relation.csv:adrf-000061-member_relation_dd.csv
","The point-in-time files are extracts from Chapin Hall’s Illinois Public Assistance Research Database (ILPARD). This database is compiled from sequential monthly point-in-time extracts from DHS. They cover participation in a number of public assistance programs including Temporary Assistance to Needy Families (TANF) and specific TANF initiatives (e.g., Work Pays), Medicaid, KidCare, Food Stamps, Transitional Assistance, Aid to the Aged, Blind, and Disabled (AABD), and Family Assistance. The data are mainly cross-sectional but contain one historical component, an indicator of public assistance receipt for the preceding 24 months. The most recent version of the data is stored in the main tables and each table has an accompanying change history. Because the spell files contain the time-varying history of benefits receipt for individuals and cases, only the most recent version of these tables is presented.  As such, this data is presented as time-invariant, with one record of each characteristic for a given individual or case, even though some characteristics (like case addresses) obviously do vary over time.


You will find the complete data in the class database under the tables: idhs.assistance_case, idhs.case_geocode, idhs.case_social, idhs.member, idhs.member_info, idhs.member_relation



",,Illinois Public Assistance Research Database
You must be enrolled in an ADRF class to access these data.,,Restricted,"Illinois Department of Human Services (IDHS), Chapin Hall at the University of Chicago",Julia Lane,adrf-000062,Illinois,"State,County,Census Tract,Point",Health and Human Services,2/28/17 0:00,"Illinois Department of Human Services (IDHS), Chapin Hall at the University of Chicago, 2017, ""Illinois Department of Human Services (IDHS) Head of Household Files"", Applied Data Analytics Course [Distributor], 1 [Version]",,"This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Human Services (IDHS) and the ADRF. The user shall not attempt to re-identify individuals represented in the data and agree to not disclose any data contained therein to any unauthorized parties. Users of these data also agree to comply with all applicable Federal and State laws and regulations and with all applicable policies and procedures as set by the State of Illinois, including, but not limited to, the Illinois Public Aid Code (305 ILCS 5/1 et seq.), the Health Insurance Portability and Accountability Act (45 CFR Parts 160, 162, and 164), IRS Code (26 U.S.C. 1 et seq.), and other applicable state and federal laws. Any analyses and data products derived from the data must be reviewed by IDHS before export from this system. When access to the data is no longer required, the user agrees that they will not access or attempt to access any IDHS confidential information, or any confidential information in IDHS systems or other sources to which I have been given access. They agree also to return any and all reports, notes, memoranda, notebooks, drawings, and other confidential information or Data developed, received, compiled by or delivered to them in order to carry out functions under the contract or subcontract, regardless of the source of the confidential information or Data.
","adrf-000062-hh_indcase_spells.csv,adrf-000062-hh_member.csv","This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database.",https://enclave.chapinhall.org/?q=node/953,"Center for Urban Science and Progress (CUSP), NYU","welfare,public assistance,tanf,food stamps,human services,socioeconomics,medicaid,demographics",2/1/89 0:00,Illinois Department of Human Services (IDHS) Head of Household Files,1,Illinois Department of Human Services IDHS Head of Household Files,"ILPARD_codebook_and_ERD.pdf,IDHS-data_for_appliedda_class.pdf","adrf-000062-hh_indcase_spells.csv:adrf-000062-hh_indcase_spells_dd.csv,adrf-000062-hh_member.csv:adrf-000062-hh_member_dd.csv","As an introduction to the data provided by the Illinois Department of Human Services, we also provide a subset filtered to focus just on the individuals who are the heads of households, or grantees.  For this data, we define the head of household as an individual with relation type of 82 in the MemberRelationship table (“Grantee”).  There are other definitions one could use based on relation types that designate a person as head of household for only certain types of assistance or in certain circumstances, but the Grantee type was chosen because it is the simplest and least ambiguous.


You will find the complete data in the class database under the tables: idhs.hh_indcase_spells, idhs.hh_member
",,Illinois Public Assistance Research Database
You must be enrolled in an ADRF class to access these data.,,Restricted,"Illinois Department of Human Services (IDHS), Chapin Hall at the University of Chicago",Julia Lane,adrf-000063,Illinois,"State,County,Census Tract,Point",Health and Human Services,12/31/16 0:00,"Illinois Department of Human Services (IDHS), Chapin Hall at the University of Chicago, 2017, ""Illinois Department of Human Services (IDHS) Spell Files: Time-Varying Characteristics"", Applied Data Analytics Course [Distributor], 1 [Version]",,"This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Human Services (IDHS) and the ADRF. The user shall not attempt to re-identify individuals represented in the data and agree to not disclose any data contained therein to any unauthorized parties. Users of these data also agree to comply with all applicable Federal and State laws and regulations and with all applicable policies and procedures as set by the State of Illinois, including, but not limited to, the Illinois Public Aid Code (305 ILCS 5/1 et seq.), the Health Insurance Portability and Accountability Act (45 CFR Parts 160, 162, and 164), IRS Code (26 U.S.C. 1 et seq.), and other applicable state and federal laws. Any analyses and data products derived from the data must be reviewed by IDHS before export from this system. When access to the data is no longer required, the user agrees that they will not access or attempt to access any IDHS confidential information, or any confidential information in IDHS systems or other sources to which I have been given access. They agree also to return any and all reports, notes, memoranda, notebooks, drawings, and other confidential information or Data developed, received, compiled by or delivered to them in order to carry out functions under the contract or subcontract, regardless of the source of the confidential information or Data.
","adrf-000063-case_spells.csv,adrf-000063-indcase_spells.csv,adrf-000063-ind_spells.csv","This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database.",https://enclave.chapinhall.org/?q=node/953,"Center for Urban Science and Progress (CUSP), NYU","welfare,public assistance,tanf,food stamps,human services,socioeconomics,medicaid,demographics",2/1/89 0:00,Illinois Department of Human Services (IDHS) Spell Files: Time-Varying Characteristics,1,Illinois Department of Human Services IDHS Spell Files TimeVarying Characteristics,"ILPARD_codebook_and_ERD.pdf,IDHS-data_for_appliedda_class.pdf","adrf-000063-case_spells.csv:adrf-000063-case_spells_dd.csv,adrf-000063-indcase_spells.csv:adrf-000063-indcase_spells_dd.csv,adrf-000063-ind_spells.csv:adrf-000063-ind_spells_dd.csv","Spell files showing the months in which a give case or individual was receiving benefits based on the historical point-in-time extracts from DHS.  This information is derived from case and member status tables.  Note that the point-in-time extracts were created on a monthly basis, so it is not possible to identify daily or weekly variation in the caseload using this data.


Spell files are available for three types of benefits:

- TANF - coded “tanf46” in data files and database.
- SNAP - coded “foodstamp” in data files and database.
- general cash assistance – coded “grant” in data files and the database.  Grant spells include TANF and all other state cash assistance programs, such as disability and refugee assistance.


Spell data is available broken out by:

- case (ch_dpa_caseid) where there is a row for each unbroken spell of benefits received by at least one person with a  given case ID.
- individual (recipient number) where there is a row for each unbroken spell of benefits received by a given member, across any number of cases.
- individual/case (indcase) where there is a row for each unbroken spell of benefits received by a given individual on a given case.  These spells are similar to those in the individual file, but what is one spell in the individual file might be multiple spells in indcase if the individual moved across cases.


Note that prior work with the IL DHS data has identified both duplication and occasional reuse in the recipient number field.


You will find the complete data in the class database under the tables: idhs.case_spells, idhs.ind_spells, idhs.indcase_spells",,Illinois Public Assistance Research Database
You must be enrolled in an ADRF class and have agreed to and signed the Nondisclosure Agreement for these data.,,Restricted,"NYC Center for Innovation through Data Intelligence, NYC Human Resources Administration, New York State Department of Labor, NYC Department of Corrections, NYC Department of Homeless Services, NYC Department of Social Services",Julia Lane,adrf-000064,New York City,"City,Neighborhood Tabulation Area",Health and Human Services,12/31/16 0:00,"NYC Center for Innovation through Data Intelligence (CIDI), NYC Human Resources Administration (NYC HRA), New York State Department of Labor (NYS DOL), NYC Department of Corrections (NYC DOC), NYC Department of Homeless Services (NYC DHS), NYC Department of Social Services (NYC DSS), 2017, ""Understanding the Transition from Cash Assistance Receipt to Employment"", Applied Data Analytics Course [Distributor], 1 [Version]",,"This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the NYC Center for Innovation Through Data Intelligence (CIDI) and the ADRF. The user shall not attempt to re-identify individuals represented in the data and agree to not disclose any data contained therein to any unauthorized parties. For any questions about access please contact: 
","adrf-000064-df_hra_sample_linked.csv,adrf-000064-df_hra_geocoded_linked.csv,adrf-000064-df_dhs_lodge_history_and_application_linked.csv,adrf-000064-df_doc_admits_linked.csv,adrf-000064-df_doc_discharges_linked.csv,adrf-000064-df_dol_ui_linked.csv,adrf-000064-df_dol_wages_linked.csv,adrf-000064-df_hra_caselist_1_a_linked.csv,adrf-000064-df_hra_caselist_1_b_linked.csv,adrf-000064-df_hra_caselist_2_linked.csv,adrf-000064-df_hra_caselist_3_linked.csv,adrf-000064-df_hra_caselist_4_linked.csv,adrf-000064-df_dhs_lodge_history_single_adults_and_adult_families_w_application_linked.csv",This dataset was collected and deposited by the NYC Center for Innovation Through Data Intelligence (CIDI). Those who wish to access must agree to and sign the CIDI Non-Disclosure Agreement.,,"Center for Urban Science and Progress (CUSP), NYU","human services,criminal justice system,inmates,jail,correctional facilities,health,labor,employment,public assistance,cash assistance,workforce development,young adults,shelter lodge history,homeless shelter,shelter application history,homelessness",1/1/00 0:00,Understanding the Transition from Cash Assistance Receipt to Employment,1,Understanding the Transition from Cash Assistance Receipt to Employment,"NYC_CIDI_Data_Summary_and_Variables.pdf,doc_charge_lookup.xlsx,nys_crimes_and_penal_codes.xlsx,CA_caselist_2_case_reason_descriptions.csv","adrf-000064-df_hra_sample_linked.csv:adrf-000064-df_hra_sample_linked_dd.csv,adrf-000064-df_hra_geocoded_linked.csv:adrf-000064-df_hra_geocoded_linked_dd.csv,adrf-000064-df_dhs_lodge_history_and_application_linked.csv:adrf-000064-df_dhs_lodge_history_and_application_linked_dd.csv,adrf-000064-df_doc_admits_linked.csv:adrf-000064-df_doc_admits_linked_dd.csv,adrf-000064-df_doc_discharges_linked.csv:adrf-000064-df_doc_discharges_linked_dd.csv,adrf-000064-df_dol_ui_linked.csv:adrf-000064-df_dol_ui_linked_dd.csv,adrf-000064-df_dol_wages_linked.csv:adrf-000064-df_dol_wages_linked_dd.csv,adrf-000064-df_hra_caselist_1_a_linked.csv:adrf-000064-df_hra_caselist_1_a_linked_dd.csv,adrf-000064-df_hra_caselist_1_b_linked.csv:adrf-000064-df_hra_caselist_1_b_linked_dd.csv,adrf-000064-df_hra_caselist_2_linked.csv:adrf-000064-df_hra_caselist_2_linked_dd.csv,adrf-000064-df_hra_caselist_3_linked.csv:adrf-000064-df_hra_caselist_3_linked_dd.csv,adrf-000064-df_hra_caselist_4_linked.csv:adrf-000064-df_hra_caselist_4_linked_dd.csv,adrf-000064-df_dhs_lodge_history_single_adults_and_adult_families_w_application_linked.csv:adrf-000064-df_dhs_lodge_history_single_adults_and_adult_families_w_application_linked_dd.csv","Compiled, cleaned, and linked together by the New York City Center for Innovation through Data Intelligence (CIDI), this set of longitudinal, administrative data from New York City and New York State seeks to understand the factors that influence young adults’ (ages 18-24) transition from Cash Assistance to Employment. The data here comes from the Human Resources Administration (HRA), the New York State Department of Labor (NYSDOL),  the NYC Department of Corrections (DOC), and the NYC Department of Homeless Services (DHS). HRA provided data for a cohort of young adults (from 18 to 24 years of age) who were on cash assistance in the first six months of 2012. Data from DOC, DHS, and NYSDOL includes the same cohort and tracks their employment activity, incidents of incarceration, and service utilization through 2016. The data have been de-identified and linked with a unique ID for these individuals.",,
You must be enrolled in an ADRF class to access these data.,,Restricted,US Department of Housing and Urban Development,Julia Lane,adrf-000069,New York,"State, Census Block",Socioeconomic Characteristics,2016,"US Department of Housing and Urban Development, 2016, ""US Department of Housing and Urban Development Program Microdata 2004-2016 - Individuals: New York"", Applied Data Analytics Course [Distributor], 1 [Version]",,This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the US Department of Housing and Urban Development. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by a data steward before export from this system. Export of whole or partial records from the data is not permitted.,adrf-000069-hud_individual_block_data_ny.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database.",https://www.huduser.gov/portal/pumd/index.html,"Center for Urban Science and Progress (CUSP), NYU","income,welfare,public housing,households,demographics,socioeconomics",2004,US Department of Housing and Urban Development Program Microdata 2004-2016 - Individuals: New York,1,US Department of Housing and Urban Development Program Microdata Individuals New York,"HUD-50058.pdf,HUD-50059.pdf",adrf-000069-hud_individual_block_data_ny.csv:adrf-000069-hud_individual_block_data_ny_dd.csv,"Detailed transactional data consisting of tenant-level data for individuals in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on individuals aggregated at the Census block level, including rent, years in program, and income; and individual race and gender. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).


Please access the full dataset in course database table: hud.hud_individual_block_data_ny","7,8",
You must be enrolled in an ADRF class to access these data.,,Restricted,US Department of Housing and Urban Development,Julia Lane,adrf-000070,New York,"State, Census Block",Socioeconomic Characteristics,2016,"US Department of Housing and Urban Development, 2016, ""US Department of Housing and Urban Development Program Microdata 2004-2016 - Households: New York"", Applied Data Analytics Course [Distributor], 1 [Version]",,This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the US Department of Housing and Urban Development. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by a data steward before export from this system. Export of whole or partial records from the data is not permitted.,adrf-000070-hud_household_block_data_ny.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database.",https://www.huduser.gov/portal/pumd/index.html,"Center for Urban Science and Progress (CUSP), NYU","income,welfare,public housing,households,demographics,socioeconomics",2004,US Department of Housing and Urban Development Program Microdata 2004-2016 - Households: New York,1,US Department of Housing and Urban Development Program Microdata Households New York,"HUD-50058.pdf,HUD-50059.pdf",adrf-000070-hud_household_block_data_ny.csv:adrf-000070-hud_household_block_data_ny_dd.csv,"Detailed transactional data consisting of tenant-level data for households in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on households aggregated at the Census block level, including household family type, rent, years in program, and income. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).


Please access the full dataset in course database table: hud.hud_household_block_data_ny","7,8",
